NO2,C2H5OH,VOC,CO
105,99,212,760
105,99,211,760
105,99,210,760
104,99,210,760
104,99,209,760
103,99,209,760
104,99,209,761
104,99,208,760
103,99,208,761
103,99,208,761
103,98,207,762
103,98,207,761
102,99,206,761
102,98,205,762
102,98,205,761
102,98,205,762
102,99,204,762
102,98,205,762
101,99,204,762
101,99,204,762
101,98,204,763
101,98,203,763
101,99,203,763
102,99,203,763
100,98,203,763
101,98,202,763
101,98,202,763
101,98,202,763
101,98,201,764
101,98,201,763
100,98,200,763
100,98,200,764
100,98,200,764
100,98,200,764
100,98,199,764
100,98,200,763
100,98,199,763
100,98,200,764
100,98,199,764
99,98,199,765
99,98,198,765
100,98,198,765
99,98,198,765
100,98,198,766
100,98,198,766
100,98,197,766
100,98,197,767
100,98,198,767
99,98,197,767
99,98,197,767
100,98,197,767
99,98,196,767
99,98,196,768
99,98,196,767
100,98,196,767
100,98,197,767
100,98,196,767
99,97,196,767
100,98,195,768
100,98,196,767
99,98,196,768
100,98,196,768
100,98,196,767
100,98,196,768
100,98,195,768
100,98,195,768
100,97,196,768
100,98,195,767
100,97,195,768
100,98,195,767
99,98,195,768
100,98,194,768
100,98,194,768
99,98,195,768
100,98,195,768
100,98,194,768
100,98,194,769
100,98,194,769
100,98,194,770
100,98,194,769
100,98,194,769
99,98,194,770
100,98,194,769
100,98,194,769
100,98,194,769
100,98,194,769
100,98,194,770
99,98,194,770
100,98,194,770
100,98,195,770
100,98,194,770
100,98,194,770
100,98,195,771
100,98,194,771
100,98,194,771
100,98,194,771
100,98,195,770
100,98,194,771
101,98,194,771
101,98,194,771
100,98,195,771
100,98,195,771
101,98,195,771
101,98,195,772
101,98,195,773
101,98,195,774
101,98,195,774
101,98,195,774
101,97,196,775
101,98,196,775
102,98,196,775
102,98,196,774
101,98,197,774
102,98,196,774
102,98,197,774
102,99,197,774
103,97,197,773
102,98,197,774
102,98,197,774
103,98,198,773
103,98,198,773
103,98,198,773
103,98,197,774
103,98,197,773
103,98,198,774
103,98,199,773
104,99,198,774
104,99,198,774
103,98,199,774
