NO2,C2H5OH,VOC,CO
707.0,834.0,732.0,498.0
707.0,835.0,731.0,496.0
707.0,834.0,728.0,493.0
707.0,832.0,730.0,492.0
706.0,832.0,731.0,492.0
707.0,832.0,731.0,494.0
706.0,832.0,727.0,496.0
706.0,833.0,729.0,496.0
706.0,831.0,731.0,497.0
706.0,832.0,731.0,496.0
706.0,832.0,732.0,497.0
706.0,833.0,729.0,496.0
706.0,832.0,726.0,494.0
707.0,831.0,728.0,494.0
706.0,831.0,729.0,494.0
706.0,830.0,727.0,492.0
706.0,831.0,725.0,490.0
705.0,830.0,724.0,490.0
706.0,828.0,725.0,488.0
704.0,828.0,722.0,488.0
704.0,827.0,721.0,488.0
704.0,827.0,723.0,490.0
704.0,827.0,725.0,491.0
704.0,827.0,722.0,492.0
703.0,826.0,720.0,487.0
703.0,826.0,721.0,486.0
702.0,824.0,721.0,488.0
702.0,825.0,720.0,489.0
702.0,825.0,718.0,489.0
702.0,825.0,721.0,490.0
702.0,824.0,722.0,489.0
702.0,826.0,720.0,490.0
702.0,825.0,719.0,491.0
701.0,824.0,721.0,493.0
702.0,826.0,724.0,495.0
702.0,827.0,724.0,495.0
702.0,827.0,724.0,495.0
702.0,828.0,725.0,494.0
701.0,827.0,723.0,494.0
701.0,827.0,721.0,493.0
701.0,827.0,722.0,493.0
701.0,826.0,725.0,495.0
701.0,827.0,726.0,495.0
701.0,827.0,726.0,496.0
702.0,828.0,726.0,497.0
702.0,828.0,725.0,498.0
702.0,829.0,727.0,498.0
702.0,829.0,726.0,497.0
702.0,829.0,727.0,497.0
702.0,829.0,727.0,496.0
702.0,829.0,723.0,497.0
701.0,830.0,724.0,497.0
702.0,829.0,727.0,497.0
702.0,831.0,728.0,498.0
703.0,831.0,729.0,498.0
702.0,831.0,730.0,497.0
702.0,832.0,729.0,498.0
703.0,831.0,728.0,499.0
703.0,831.0,729.0,499.0
703.0,831.0,730.0,497.0
702.0,831.0,729.0,498.0
703.0,832.0,727.0,497.0
702.0,831.0,725.0,495.0
703.0,830.0,727.0,495.0
702.0,829.0,728.0,496.0
702.0,829.0,729.0,496.0
703.0,830.0,729.0,498.0
703.0,831.0,728.0,497.0
703.0,831.0,729.0,496.0
702.0,831.0,729.0,498.0
703.0,830.0,729.0,498.0
703.0,831.0,728.0,498.0
703.0,831.0,726.0,496.0
704.0,831.0,728.0,497.0
704.0,831.0,730.0,497.0
703.0,830.0,730.0,497.0
704.0,831.0,731.0,498.0
703.0,830.0,730.0,496.0
703.0,831.0,731.0,495.0
703.0,830.0,730.0,494.0
703.0,830.0,727.0,494.0
702.0,831.0,727.0,494.0
704.0,830.0,729.0,495.0
703.0,831.0,731.0,496.0
703.0,831.0,732.0,497.0
703.0,832.0,732.0,497.0
703.0,832.0,731.0,498.0
704.0,832.0,731.0,499.0
703.0,832.0,732.0,500.0
704.0,832.0,733.0,499.0
