NO2,C2H5OH,VOC,CO
868.0,929.0,878.0,854.0
868.0,929.0,878.0,856.0
869.0,930.0,878.0,858.0
869.0,929.0,879.0,858.0
869.0,929.0,879.0,859.0
869.0,930.0,879.0,858.0
870.0,930.0,879.0,860.0
871.0,930.0,880.0,861.0
870.0,930.0,880.0,862.0
871.0,930.0,880.0,864.0
871.0,931.0,880.0,865.0
872.0,931.0,880.0,866.0
872.0,931.0,880.0,867.0
872.0,931.0,881.0,868.0
872.0,932.0,882.0,871.0
872.0,931.0,880.0,872.0
873.0,931.0,881.0,871.0
872.0,932.0,881.0,872.0
873.0,931.0,882.0,873.0
873.0,933.0,882.0,875.0
873.0,931.0,882.0,874.0
873.0,932.0,883.0,876.0
875.0,932.0,882.0,876.0
874.0,932.0,883.0,877.0
874.0,933.0,882.0,878.0
875.0,933.0,883.0,878.0
875.0,933.0,883.0,878.0
876.0,932.0,883.0,878.0
875.0,932.0,883.0,876.0
876.0,932.0,882.0,875.0
875.0,933.0,883.0,873.0
876.0,933.0,883.0,873.0
876.0,933.0,882.0,876.0
878.0,933.0,882.0,878.0
878.0,933.0,882.0,879.0
877.0,933.0,882.0,878.0
877.0,934.0,883.0,877.0
878.0,934.0,883.0,878.0
878.0,934.0,883.0,880.0
879.0,934.0,884.0,881.0
878.0,935.0,883.0,881.0
879.0,934.0,884.0,880.0
879.0,934.0,884.0,881.0
878.0,935.0,884.0,884.0
879.0,934.0,884.0,886.0
879.0,934.0,885.0,889.0
879.0,935.0,884.0,890.0
880.0,934.0,885.0,890.0
880.0,936.0,885.0,892.0
881.0,936.0,885.0,891.0
881.0,935.0,885.0,892.0
881.0,935.0,886.0,895.0
881.0,936.0,886.0,896.0
881.0,936.0,886.0,898.0
881.0,936.0,886.0,899.0
882.0,937.0,887.0,901.0
882.0,936.0,888.0,901.0
882.0,936.0,887.0,901.0
883.0,936.0,888.0,900.0
882.0,937.0,888.0,899.0
882.0,937.0,886.0,899.0
882.0,937.0,888.0,900.0
883.0,937.0,888.0,900.0
882.0,936.0,888.0,901.0
882.0,938.0,888.0,900.0
882.0,937.0,888.0,901.0
883.0,937.0,888.0,901.0
883.0,938.0,888.0,901.0
883.0,936.0,888.0,903.0
883.0,936.0,888.0,902.0
884.0,936.0,888.0,905.0
884.0,938.0,888.0,905.0
883.0,937.0,889.0,905.0
884.0,938.0,889.0,907.0
884.0,937.0,889.0,908.0
884.0,938.0,889.0,909.0
884.0,937.0,889.0,909.0
885.0,937.0,890.0,910.0
885.0,938.0,889.0,910.0
885.0,938.0,890.0,910.0
885.0,938.0,889.0,910.0
885.0,938.0,889.0,910.0
886.0,938.0,889.0,910.0
886.0,939.0,890.0,910.0
886.0,939.0,890.0,909.0
887.0,938.0,890.0,908.0
886.0,938.0,890.0,910.0
886.0,937.0,889.0,908.0
887.0,938.0,890.0,909.0
887.0,938.0,889.0,909.0
