NO2,C2H5OH,VOC,CO
374.0,582.0,399.0,125.0
373.0,580.0,398.0,126.0
373.0,580.0,396.0,126.0
372.0,578.0,396.0,125.0
371.0,577.0,394.0,125.0
371.0,577.0,394.0,124.0
370.0,576.0,393.0,125.0
371.0,575.0,392.0,125.0
370.0,574.0,391.0,126.0
370.0,574.0,391.0,125.0
369.0,573.0,390.0,126.0
369.0,573.0,389.0,125.0
369.0,572.0,389.0,126.0
369.0,572.0,389.0,127.0
371.0,572.0,389.0,127.0
370.0,573.0,389.0,128.0
371.0,572.0,388.0,127.0
370.0,572.0,388.0,127.0
372.0,571.0,388.0,126.0
371.0,570.0,388.0,127.0
371.0,571.0,388.0,127.0
372.0,571.0,388.0,127.0
372.0,572.0,388.0,129.0
373.0,572.0,388.0,129.0
374.0,572.0,389.0,130.0
375.0,573.0,389.0,131.0
376.0,572.0,390.0,130.0
378.0,573.0,389.0,130.0
377.0,573.0,390.0,131.0
379.0,574.0,389.0,131.0
381.0,574.0,391.0,132.0
381.0,574.0,390.0,132.0
382.0,575.0,392.0,132.0
384.0,575.0,392.0,132.0
384.0,575.0,392.0,131.0
385.0,575.0,392.0,131.0
385.0,575.0,392.0,132.0
388.0,576.0,394.0,131.0
387.0,576.0,394.0,133.0
389.0,577.0,395.0,133.0
390.0,577.0,394.0,133.0
391.0,578.0,394.0,132.0
391.0,578.0,396.0,132.0
390.0,578.0,396.0,134.0
392.0,579.0,397.0,134.0
393.0,579.0,397.0,134.0
393.0,579.0,398.0,134.0
395.0,580.0,398.0,134.0
395.0,580.0,398.0,134.0
397.0,580.0,398.0,135.0
397.0,580.0,399.0,135.0
397.0,582.0,400.0,135.0
399.0,582.0,400.0,136.0
400.0,583.0,401.0,136.0
401.0,584.0,402.0,137.0
403.0,585.0,403.0,136.0
403.0,585.0,402.0,136.0
404.0,585.0,403.0,135.0
405.0,586.0,403.0,136.0
406.0,587.0,405.0,137.0
407.0,588.0,405.0,138.0
408.0,588.0,406.0,137.0
410.0,589.0,407.0,136.0
410.0,590.0,407.0,136.0
411.0,589.0,407.0,134.0
410.0,589.0,407.0,134.0
410.0,589.0,407.0,134.0
410.0,590.0,407.0,134.0
410.0,590.0,408.0,135.0
411.0,590.0,409.0,135.0
411.0,590.0,408.0,135.0
411.0,591.0,409.0,136.0
412.0,591.0,410.0,136.0
412.0,591.0,409.0,136.0
412.0,592.0,410.0,137.0
412.0,593.0,411.0,137.0
414.0,593.0,411.0,136.0
414.0,594.0,410.0,137.0
413.0,593.0,412.0,137.0
416.0,595.0,412.0,138.0
415.0,595.0,413.0,139.0
416.0,595.0,414.0,139.0
416.0,597.0,413.0,139.0
417.0,596.0,414.0,139.0
418.0,597.0,415.0,138.0
419.0,596.0,415.0,138.0
419.0,598.0,416.0,137.0
420.0,598.0,416.0,138.0
422.0,598.0,417.0,138.0
422.0,599.0,417.0,138.0
