NO2,C2H5OH,VOC,CO
407.0,597.0,408.0,126.0
407.0,598.0,411.0,128.0
406.0,597.0,410.0,130.0
404.0,594.0,406.0,127.0
401.0,592.0,405.0,127.0
399.0,589.0,403.0,125.0
396.0,588.0,401.0,125.0
395.0,587.0,400.0,124.0
394.0,586.0,401.0,125.0
393.0,585.0,399.0,127.0
391.0,584.0,397.0,126.0
390.0,585.0,397.0,128.0
389.0,581.0,395.0,127.0
388.0,580.0,394.0,126.0
386.0,580.0,394.0,128.0
385.0,577.0,392.0,127.0
384.0,576.0,391.0,125.0
382.0,575.0,390.0,125.0
380.0,573.0,389.0,127.0
379.0,571.0,387.0,126.0
378.0,570.0,386.0,126.0
377.0,568.0,385.0,124.0
375.0,568.0,384.0,125.0
374.0,568.0,386.0,127.0
375.0,568.0,385.0,128.0
372.0,565.0,382.0,126.0
370.0,562.0,379.0,124.0
369.0,560.0,377.0,123.0
366.0,558.0,376.0,123.0
365.0,558.0,375.0,123.0
364.0,556.0,374.0,123.0
363.0,555.0,372.0,122.0
361.0,553.0,371.0,122.0
360.0,552.0,371.0,123.0
359.0,552.0,371.0,124.0
358.0,549.0,368.0,122.0
357.0,548.0,366.0,121.0
354.0,546.0,365.0,120.0
352.0,544.0,363.0,120.0
352.0,543.0,363.0,119.0
351.0,543.0,362.0,120.0
351.0,542.0,362.0,120.0
349.0,540.0,361.0,120.0
348.0,540.0,359.0,121.0
346.0,538.0,358.0,120.0
346.0,536.0,357.0,120.0
344.0,536.0,356.0,120.0
344.0,535.0,354.0,120.0
343.0,533.0,353.0,120.0
343.0,534.0,353.0,121.0
341.0,532.0,354.0,122.0
341.0,531.0,353.0,123.0
339.0,531.0,353.0,123.0
340.0,531.0,352.0,124.0
340.0,530.0,352.0,126.0
340.0,530.0,353.0,128.0
339.0,528.0,350.0,125.0
339.0,526.0,349.0,123.0
338.0,526.0,348.0,124.0
338.0,527.0,348.0,126.0
339.0,526.0,349.0,126.0
339.0,524.0,348.0,125.0
338.0,522.0,346.0,123.0
337.0,521.0,344.0,123.0
337.0,520.0,343.0,121.0
337.0,520.0,343.0,121.0
336.0,519.0,343.0,121.0
335.0,519.0,343.0,122.0
334.0,517.0,342.0,122.0
335.0,517.0,342.0,122.0
335.0,516.0,341.0,122.0
333.0,515.0,339.0,120.0
333.0,514.0,338.0,119.0
332.0,513.0,338.0,119.0
332.0,512.0,337.0,119.0
331.0,511.0,336.0,118.0
331.0,510.0,335.0,118.0
330.0,509.0,334.0,118.0
329.0,507.0,333.0,118.0
328.0,508.0,333.0,118.0
327.0,506.0,333.0,117.0
326.0,505.0,331.0,116.0
326.0,504.0,329.0,117.0
324.0,502.0,328.0,116.0
323.0,502.0,328.0,116.0
322.0,502.0,328.0,117.0
321.0,500.0,328.0,118.0
320.0,499.0,326.0,116.0
319.0,498.0,324.0,116.0
318.0,497.0,325.0,116.0
