NO2,C2H5OH,VOC,CO
264.0,398.0,269.0,123.0
264.0,396.0,269.0,123.0
263.0,397.0,269.0,123.0
263.0,398.0,268.0,123.0
263.0,398.0,266.0,121.0
265.0,399.0,266.0,120.0
263.0,397.0,267.0,121.0
265.0,398.0,268.0,121.0
264.0,396.0,267.0,121.0
264.0,396.0,268.0,123.0
264.0,395.0,268.0,123.0
265.0,397.0,268.0,123.0
265.0,397.0,266.0,122.0
265.0,396.0,267.0,120.0
264.0,397.0,266.0,120.0
265.0,398.0,267.0,121.0
265.0,397.0,266.0,120.0
267.0,397.0,267.0,122.0
267.0,398.0,267.0,121.0
267.0,397.0,266.0,120.0
267.0,397.0,266.0,120.0
268.0,398.0,266.0,120.0
269.0,397.0,266.0,120.0
268.0,399.0,265.0,119.0
269.0,399.0,266.0,120.0
270.0,400.0,267.0,121.0
270.0,400.0,267.0,120.0
271.0,400.0,266.0,121.0
271.0,400.0,266.0,121.0
271.0,400.0,266.0,122.0
271.0,400.0,265.0,120.0
271.0,401.0,267.0,121.0
273.0,402.0,267.0,121.0
272.0,402.0,266.0,121.0
273.0,402.0,269.0,122.0
273.0,401.0,267.0,121.0
273.0,402.0,267.0,121.0
272.0,403.0,266.0,119.0
272.0,402.0,266.0,117.0
273.0,403.0,266.0,118.0
273.0,404.0,266.0,118.0
275.0,405.0,268.0,120.0
274.0,403.0,267.0,120.0
274.0,403.0,267.0,120.0
274.0,403.0,268.0,120.0
275.0,404.0,269.0,121.0
274.0,403.0,266.0,119.0
274.0,403.0,267.0,119.0
274.0,404.0,267.0,120.0
274.0,404.0,268.0,120.0
274.0,404.0,268.0,120.0
273.0,403.0,268.0,119.0
272.0,403.0,269.0,121.0
273.0,402.0,268.0,121.0
271.0,401.0,268.0,120.0
272.0,401.0,268.0,120.0
271.0,402.0,268.0,121.0
272.0,402.0,269.0,121.0
273.0,402.0,267.0,122.0
272.0,403.0,269.0,122.0
