NO2,C2H5OH,VOC,CO
252.0,379.0,246.0,126.0
252.0,377.0,245.0,126.0
251.0,379.0,245.0,126.0
253.0,377.0,247.0,127.0
252.0,377.0,246.0,126.0
252.0,377.0,246.0,126.0
252.0,379.0,245.0,126.0
252.0,378.0,247.0,126.0
253.0,377.0,245.0,124.0
252.0,377.0,244.0,122.0
252.0,376.0,246.0,122.0
253.0,375.0,246.0,123.0
252.0,374.0,245.0,121.0
252.0,376.0,245.0,121.0
252.0,375.0,244.0,121.0
253.0,376.0,244.0,120.0
254.0,376.0,244.0,120.0
252.0,379.0,244.0,120.0
255.0,378.0,244.0,120.0
256.0,378.0,245.0,120.0
256.0,380.0,245.0,121.0
258.0,381.0,246.0,122.0
259.0,381.0,246.0,124.0
260.0,381.0,246.0,125.0
259.0,379.0,248.0,126.0
260.0,380.0,245.0,124.0
259.0,380.0,244.0,123.0
259.0,380.0,247.0,124.0
259.0,378.0,247.0,123.0
259.0,380.0,247.0,124.0
258.0,378.0,247.0,125.0
258.0,379.0,247.0,123.0
258.0,378.0,248.0,124.0
259.0,381.0,247.0,123.0
258.0,381.0,245.0,122.0
258.0,381.0,246.0,121.0
258.0,380.0,245.0,121.0
259.0,381.0,248.0,122.0
258.0,379.0,248.0,123.0
257.0,378.0,247.0,121.0
257.0,378.0,248.0,123.0
258.0,380.0,249.0,123.0
258.0,379.0,248.0,121.0
258.0,378.0,247.0,121.0
259.0,378.0,248.0,121.0
258.0,380.0,247.0,120.0
257.0,381.0,247.0,120.0
258.0,380.0,248.0,121.0
259.0,379.0,249.0,122.0
258.0,379.0,248.0,125.0
257.0,377.0,248.0,127.0
258.0,378.0,248.0,127.0
256.0,376.0,247.0,128.0
255.0,376.0,247.0,127.0
256.0,376.0,248.0,126.0
255.0,376.0,248.0,127.0
254.0,375.0,245.0,124.0
254.0,377.0,246.0,123.0
254.0,376.0,247.0,124.0
253.0,378.0,245.0,123.0
