NO2,C2H5OH,VOC,CO
436.0,511.0,315.0,163.0
437.0,519.0,319.0,159.0
447.0,526.0,326.0,160.0
457.0,538.0,335.0,163.0
477.0,554.0,352.0,174.0
497.0,573.0,369.0,184.0
511.0,590.0,384.0,189.0
520.0,607.0,395.0,194.0
531.0,622.0,407.0,196.0
546.0,636.0,420.0,202.0
557.0,649.0,433.0,206.0
567.0,660.0,444.0,209.0
577.0,671.0,455.0,211.0
588.0,682.0,468.0,214.0
600.0,693.0,481.0,219.0
610.0,703.0,495.0,225.0
620.0,713.0,506.0,228.0
628.0,721.0,517.0,230.0
636.0,730.0,528.0,234.0
643.0,737.0,537.0,238.0
651.0,744.0,548.0,241.0
658.0,751.0,559.0,245.0
665.0,758.0,569.0,248.0
671.0,764.0,579.0,252.0
677.0,770.0,588.0,255.0
682.0,775.0,596.0,257.0
686.0,781.0,603.0,257.0
689.0,785.0,611.0,260.0
692.0,788.0,617.0,261.0
695.0,792.0,623.0,261.0
698.0,795.0,628.0,264.0
700.0,798.0,634.0,265.0
703.0,802.0,639.0,266.0
705.0,804.0,644.0,267.0
707.0,807.0,649.0,269.0
710.0,810.0,654.0,271.0
712.0,813.0,658.0,273.0
714.0,815.0,663.0,276.0
715.0,817.0,668.0,278.0
719.0,819.0,671.0,279.0
719.0,822.0,674.0,281.0
720.0,823.0,678.0,281.0
721.0,825.0,680.0,281.0
721.0,827.0,683.0,281.0
721.0,828.0,685.0,281.0
722.0,828.0,687.0,279.0
722.0,830.0,690.0,279.0
721.0,830.0,690.0,280.0
721.0,831.0,692.0,279.0
722.0,832.0,694.0,279.0
722.0,833.0,696.0,279.0
723.0,834.0,696.0,280.0
725.0,833.0,700.0,281.0
725.0,836.0,701.0,283.0
726.0,836.0,703.0,283.0
727.0,836.0,705.0,283.0
726.0,837.0,706.0,284.0
726.0,838.0,706.0,284.0
726.0,839.0,707.0,285.0
726.0,839.0,709.0,284.0
