NO2,C2H5OH,VOC,CO
688.0,834.0,710.0,273.0
689.0,833.0,711.0,272.0
688.0,833.0,710.0,270.0
688.0,833.0,710.0,269.0
687.0,833.0,708.0,268.0
687.0,831.0,708.0,268.0
687.0,832.0,708.0,267.0
685.0,832.0,706.0,267.0
685.0,831.0,705.0,266.0
684.0,830.0,706.0,266.0
683.0,830.0,705.0,266.0
682.0,829.0,704.0,266.0
682.0,830.0,704.0,266.0
682.0,829.0,705.0,267.0
682.0,829.0,704.0,266.0
680.0,829.0,702.0,267.0
680.0,828.0,702.0,268.0
679.0,829.0,702.0,268.0
679.0,828.0,701.0,268.0
677.0,828.0,701.0,268.0
676.0,827.0,699.0,267.0
674.0,826.0,699.0,267.0
674.0,826.0,699.0,268.0
674.0,826.0,699.0,268.0
674.0,825.0,698.0,267.0
673.0,826.0,699.0,268.0
674.0,826.0,700.0,268.0
674.0,826.0,699.0,268.0
673.0,826.0,698.0,267.0
674.0,826.0,698.0,266.0
674.0,825.0,698.0,266.0
673.0,825.0,698.0,265.0
673.0,825.0,698.0,264.0
671.0,824.0,697.0,263.0
671.0,824.0,696.0,262.0
670.0,823.0,695.0,261.0
670.0,823.0,694.0,261.0
670.0,823.0,693.0,261.0
669.0,822.0,693.0,261.0
669.0,822.0,692.0,261.0
669.0,822.0,693.0,262.0
667.0,821.0,692.0,262.0
666.0,821.0,692.0,261.0
664.0,821.0,691.0,262.0
664.0,820.0,691.0,262.0
664.0,820.0,690.0,261.0
663.0,819.0,690.0,262.0
662.0,819.0,689.0,262.0
661.0,819.0,689.0,262.0
662.0,818.0,688.0,263.0
661.0,819.0,689.0,263.0
662.0,818.0,689.0,263.0
661.0,818.0,689.0,262.0
661.0,818.0,688.0,262.0
660.0,818.0,687.0,262.0
659.0,816.0,686.0,261.0
657.0,816.0,685.0,260.0
656.0,815.0,684.0,259.0
653.0,814.0,683.0,259.0
652.0,814.0,681.0,258.0
