NO2,C2H5OH,VOC,CO
50,69,97,758
52,70,99,759
53,70,101,759
54,70,101,757
54,71,102,757
54,70,102,756
55,71,102,758
55,71,106,761
57,71,109,762
59,71,113,765
61,72,117,768
64,73,124,771
67,75,132,776
71,76,140,779
76,77,147,782
78,77,153,783
82,78,158,783
83,78,162,783
85,79,166,785
86,79,169,785
87,79,173,787
88,79,177,787
89,80,182,788
90,80,186,789
93,80,192,790
93,79,197,790
95,80,202,792
96,80,207,793
97,81,212,793
98,80,215,794
99,81,219,795
99,81,224,796
100,82,229,797
101,81,235,798
103,82,241,799
103,82,246,800
104,82,251,801
105,82,257,802
107,83,262,803
110,83,265,804
110,84,266,804
111,84,268,804
111,84,270,804
112,84,271,806
113,85,274,807
114,85,277,808
116,85,282,808
117,85,288,810
120,86,293,810
121,87,299,811
124,87,306,811
126,87,312,813
128,88,319,812
129,88,324,813
130,88,326,812
130,89,328,814
131,89,329,813
131,89,329,813
130,89,328,812
131,90,329,814
131,90,331,815
132,90,333,815
133,91,336,815
135,91,340,816
135,92,343,816
137,92,345,816
137,92,346,817
138,93,349,817
138,93,350,817
139,94,352,817
140,94,354,817
141,94,355,817
140,94,356,818
140,95,355,817
142,96,358,818
142,96,359,819
143,96,362,818
145,96,366,819
146,97,370,820
147,97,373,819
148,98,374,820
149,98,374,820
149,98,374,820
149,99,374,820
149,99,374,820
149,99,375,820
151,99,377,821
152,101,383,821
154,101,388,822
155,101,393,823
157,102,396,823
158,102,397,823
159,103,398,823
159,103,399,822
159,103,398,822
160,104,399,822
159,104,398,822
160,105,399,823
161,105,401,823
163,106,403,824
165,106,408,824
166,107,409,825
167,108,411,825
169,108,410,825
170,109,410,825
171,109,409,825
171,110,407,825
172,110,405,824
171,111,404,825
172,112,402,825
173,112,402,824
172,113,401,824
172,113,400,825
173,114,400,825
174,114,402,826
175,114,404,827
176,115,408,827
177,115,411,827
178,115,414,826
177,116,417,826
177,116,418,827
176,116,419,826
176,116,419,826
176,117,420,826
175,117,420,825
177,117,420,827
177,118,421,827
177,118,421,827
178,118,423,827
180,120,425,828
181,120,426,828
182,121,426,827
182,120,427,827
183,122,426,827
184,122,426,827
184,123,425,828
185,123,426,828
186,124,428,829
187,124,430,829
189,125,433,830
190,125,437,831
193,126,440,831
194,126,443,831
196,127,446,830
196,128,446,831
197,128,448,831
197,129,448,832
198,130,449,831
199,130,450,833
201,131,452,833
201,131,453,832
202,132,453,833
202,133,453,833
203,132,451,832
203,134,450,832
202,134,448,832
203,135,446,832
203,136,444,831
202,136,443,831
202,136,443,832
203,137,443,831
204,138,445,833
205,138,448,833
205,138,449,833
206,138,450,833
206,140,451,833
206,140,450,834
207,140,451,833
208,142,450,833
207,142,449,833
206,142,449,833
207,142,450,833
207,143,452,833
210,144,457,834
213,145,462,835
215,145,469,835
217,146,473,836
219,146,478,836
220,147,480,835
220,147,481,835
221,148,482,836
221,148,483,836
221,149,486,837
223,149,488,837
223,150,491,837
226,150,494,838
228,151,498,839
229,152,502,839
232,152,505,839
233,154,506,839
