NO2,C2H5OH,VOC,CO
187,267,441,817
187,267,443,819
187,266,445,820
188,266,450,821
190,266,456,822
190,265,460,823
191,265,465,825
192,264,469,825
191,264,474,826
191,263,480,827
191,262,484,828
192,262,489,828
193,262,495,829
193,261,500,829
194,261,506,830
195,260,511,831
195,259,515,832
197,260,519,833
196,258,523,834
196,259,528,834
198,258,530,835
198,257,532,835
197,257,535,834
197,256,535,835
196,256,535,835
197,256,535,835
196,255,534,835
195,255,533,834
194,254,531,835
193,254,529,835
194,254,527,834
193,254,525,834
192,253,523,834
192,253,525,835
192,253,526,835
192,252,527,835
192,252,527,835
192,251,526,834
192,251,525,834
192,250,524,834
192,251,526,834
191,250,528,834
193,250,531,836
193,250,535,837
194,249,536,837
193,250,536,836
194,250,536,836
194,249,535,836
194,249,532,837
194,249,530,835
194,249,529,836
194,249,528,837
195,249,529,837
196,249,528,836
194,248,528,837
196,249,528,837
196,248,526,836
195,248,526,836
195,247,524,837
195,248,523,836
195,248,520,836
195,247,518,835
195,247,515,835
194,247,513,835
194,247,511,833
194,247,507,833
194,247,505,832
194,247,504,833
194,246,502,833
194,246,500,833
195,246,500,833
195,246,499,833
195,246,498,833
194,246,499,834
195,246,498,834
194,246,499,834
196,246,499,835
195,246,499,835
196,245,499,835
197,246,499,835
197,246,500,835
198,246,499,835
198,246,499,836
199,246,497,836
199,246,495,836
200,247,496,836
200,246,494,835
200,246,493,835
202,246,495,836
202,247,499,837
205,246,502,837
207,247,507,838
208,247,511,839
212,247,515,841
214,248,519,842
217,248,522,842
219,248,525,841
221,248,528,843
222,249,530,843
224,250,531,842
225,250,530,842
225,249,531,842
225,249,530,842
226,250,528,841
226,251,526,842
226,250,525,841
226,250,524,842
227,251,524,842
228,251,523,843
228,252,525,842
229,252,527,843
230,252,529,843
231,253,532,844
233,252,532,844
233,253,532,844
234,254,531,844
233,254,530,844
234,254,529,843
234,254,528,844
233,255,525,843
233,255,525,843
233,255,522,842
233,255,522,843
233,255,520,843
233,255,519,843
234,256,519,843
234,256,518,843
234,256,518,843
234,257,518,844
235,258,517,843
234,258,516,843
235,258,514,843
236,258,513,843
236,258,513,842
235,258,512,842
235,259,511,842
236,259,512,844
237,259,513,843
237,259,516,844
238,260,518,844
238,261,519,846
240,261,522,846
240,261,523,845
242,261,523,846
243,262,524,846
242,262,525,847
243,263,526,846
244,263,525,846
244,263,525,846
244,263,524,845
244,264,523,845
245,264,523,845
245,264,522,845
245,265,522,845
245,264,521,846
245,265,521,846
244,265,521,846
245,266,521,846
245,266,520,846
245,267,520,846
245,267,519,845
245,267,517,846
246,268,518,845
245,268,517,846
246,268,516,846
247,269,516,847
246,269,516,845
246,269,514,846
246,269,515,846
246,269,514,845
246,270,515,845
248,270,516,847
248,270,522,846
249,270,526,847
250,271,531,848
251,271,536,849
252,271,540,849
254,272,542,849
255,272,545,849
256,272,545,850
258,273,546,849
257,272,545,849
258,273,544,848
258,274,544,849
258,274,545,850
259,273,547,849
258,273,550,850
