NO2,C2H5OH,VOC,CO
218,304,455,812
217,304,453,811
215,303,451,811
212,302,448,811
210,302,446,811
209,302,445,811
207,301,443,811
206,301,441,811
205,300,439,811
203,299,437,811
202,299,435,810
200,298,433,810
199,298,431,810
198,297,429,809
197,297,427,810
195,297,426,809
193,296,424,811
192,296,423,810
190,296,421,810
190,295,420,810
189,295,418,811
189,294,416,810
189,295,415,811
189,295,414,811
189,294,413,811
188,294,411,812
188,294,411,811
187,294,409,812
186,293,408,812
186,293,407,811
185,293,407,812
184,293,404,812
185,293,403,812
184,293,403,812
185,292,402,812
184,292,402,812
183,291,400,813
183,292,399,812
183,292,399,812
183,292,397,813
183,292,397,813
183,291,396,812
183,291,396,812
183,291,394,812
182,291,395,813
182,291,393,812
183,290,394,812
183,290,393,812
182,290,393,812
184,290,392,813
184,289,392,813
183,289,391,813
183,289,391,812
184,289,390,812
184,289,390,812
183,289,390,811
184,288,390,812
184,288,390,812
185,288,390,812
185,288,390,813
186,287,390,813
185,287,390,813
186,288,390,813
186,287,389,812
188,287,389,813
187,288,390,812
188,288,390,812
189,287,390,813
190,287,391,813
190,287,391,812
191,287,390,813
192,287,391,812
192,287,391,813
193,287,390,813
193,286,392,812
192,287,392,812
193,286,392,812
194,287,392,813
194,287,392,813
195,286,392,812
194,286,392,813
195,286,393,812
195,286,392,813
195,286,392,812
196,285,392,812
196,285,392,813
196,285,392,812
196,286,392,812
196,286,392,812
197,286,392,813
197,284,392,812
197,285,392,812
196,284,391,812
196,285,391,812
197,285,391,812
196,285,392,812
196,284,391,811
197,285,391,812
197,285,391,811
197,284,391,812
197,284,391,811
197,284,391,812
198,284,390,812
198,283,391,812
198,284,392,812
198,283,392,812
199,284,392,812
199,283,392,811
199,283,392,811
199,284,393,811
200,283,393,811
200,283,393,811
200,283,392,812
200,284,393,812
201,284,393,812
200,284,394,812
200,283,394,811
201,283,394,812
202,283,395,812
202,283,394,812
201,283,394,812
202,283,395,812
202,283,395,811
202,283,395,812
202,282,394,812
203,283,396,812
202,283,395,812
203,282,395,812
202,283,395,811
203,283,395,812
203,283,396,812
203,283,396,812
203,283,397,812
203,282,397,812
204,283,397,812
204,283,397,812
204,282,397,812
204,283,397,813
204,282,398,813
204,283,398,813
205,283,399,813
205,283,399,813
206,283,398,813
206,283,400,813
207,283,400,814
207,283,400,813
207,283,400,813
208,283,401,813
207,283,402,813
208,283,402,812
209,283,402,812
209,283,403,812
209,283,403,813
210,283,404,812
209,283,404,813
209,283,404,813
210,283,405,813
211,283,404,813
211,283,405,812
211,283,406,812
211,283,406,813
211,283,407,813
211,283,407,812
212,284,407,813
213,283,407,813
213,284,407,813
213,284,408,814
213,284,408,814
214,284,409,814
213,284,409,813
214,284,409,813
214,284,410,813
214,284,410,814
214,284,410,813
215,284,411,814
215,284,411,814
215,284,412,815
216,285,412,815
216,285,412,815
216,285,413,815
217,284,414,814
217,285,413,815
218,285,414,814
216,285,414,815
217,285,415,814
217,285,415,815
217,285,415,815
217,285,415,815
218,286,414,815
218,286,415,815
218,285,416,815
218,285,415,815
218,286,416,816
218,286,417,815
218,286,416,815
218,286,416,816
219,285,417,814
219,286,417,815
219,286,417,815
219,286,418,815
219,286,416,814
218,285,418,815
218,286,417,815
218,286,416,814
217,286,417,815
217,286,418,815
218,286,418,815
