NO2,C2H5OH,VOC,CO
750.0,836.0,677.0,215.0
751.0,837.0,679.0,215.0
752.0,838.0,678.0,217.0
752.0,838.0,678.0,216.0
752.0,837.0,679.0,217.0
752.0,838.0,679.0,217.0
751.0,837.0,679.0,216.0
751.0,838.0,680.0,216.0
752.0,838.0,680.0,216.0
751.0,838.0,680.0,217.0
751.0,838.0,680.0,215.0
750.0,838.0,679.0,216.0
750.0,839.0,680.0,214.0
751.0,838.0,680.0,215.0
751.0,838.0,680.0,216.0
751.0,839.0,680.0,216.0
751.0,838.0,680.0,216.0
751.0,839.0,680.0,217.0
752.0,839.0,681.0,217.0
751.0,840.0,680.0,217.0
753.0,839.0,680.0,217.0
752.0,839.0,682.0,218.0
752.0,840.0,682.0,219.0
753.0,840.0,682.0,218.0
754.0,840.0,682.0,218.0
753.0,840.0,682.0,218.0
752.0,840.0,682.0,219.0
752.0,840.0,682.0,217.0
751.0,839.0,681.0,217.0
750.0,839.0,682.0,218.0
751.0,839.0,681.0,217.0
752.0,840.0,682.0,218.0
751.0,840.0,682.0,218.0
752.0,840.0,682.0,217.0
750.0,841.0,682.0,217.0
750.0,839.0,680.0,216.0
749.0,839.0,680.0,217.0
748.0,839.0,680.0,216.0
749.0,839.0,681.0,214.0
750.0,839.0,680.0,217.0
751.0,838.0,681.0,216.0
751.0,838.0,682.0,218.0
752.0,839.0,682.0,218.0
752.0,840.0,682.0,218.0
752.0,840.0,682.0,219.0
753.0,840.0,682.0,219.0
754.0,840.0,683.0,218.0
752.0,840.0,682.0,218.0
751.0,840.0,681.0,218.0
751.0,840.0,682.0,215.0
751.0,840.0,682.0,217.0
751.0,840.0,682.0,216.0
750.0,840.0,681.0,215.0
751.0,840.0,682.0,216.0
749.0,839.0,681.0,215.0
748.0,838.0,680.0,214.0
748.0,839.0,680.0,215.0
747.0,838.0,680.0,215.0
747.0,839.0,679.0,215.0
748.0,838.0,679.0,216.0
