NO2,C2H5OH,VOC,CO
746.0,845.0,750.0,262.0
747.0,845.0,751.0,261.0
747.0,844.0,750.0,260.0
747.0,844.0,750.0,262.0
747.0,844.0,749.0,259.0
745.0,842.0,749.0,258.0
742.0,842.0,748.0,259.0
742.0,841.0,749.0,262.0
744.0,842.0,749.0,263.0
745.0,843.0,750.0,263.0
745.0,843.0,749.0,261.0
743.0,841.0,750.0,261.0
743.0,843.0,750.0,265.0
747.0,846.0,751.0,268.0
750.0,847.0,753.0,271.0
752.0,848.0,755.0,273.0
754.0,849.0,755.0,271.0
752.0,850.0,755.0,268.0
750.0,848.0,753.0,263.0
745.0,846.0,753.0,261.0
743.0,844.0,751.0,259.0
740.0,841.0,750.0,255.0
734.0,838.0,745.0,246.0
723.0,833.0,738.0,235.0
716.0,832.0,731.0,237.0
724.0,835.0,732.0,250.0
737.0,842.0,738.0,264.0
748.0,847.0,746.0,268.0
752.0,848.0,748.0,264.0
749.0,847.0,747.0,256.0
742.0,843.0,744.0,251.0
736.0,842.0,741.0,253.0
738.0,843.0,742.0,258.0
743.0,845.0,744.0,262.0
748.0,848.0,747.0,263.0
749.0,848.0,747.0,261.0
748.0,848.0,746.0,257.0
744.0,847.0,745.0,253.0
741.0,845.0,744.0,255.0
741.0,845.0,742.0,254.0
741.0,845.0,743.0,254.0
740.0,843.0,741.0,249.0
734.0,839.0,737.0,241.0
727.0,835.0,734.0,239.0
727.0,834.0,733.0,240.0
727.0,833.0,731.0,242.0
730.0,834.0,732.0,241.0
728.0,832.0,729.0,238.0
725.0,829.0,727.0,233.0
718.0,825.0,722.0,227.0
708.0,820.0,719.0,225.0
710.0,820.0,718.0,231.0
717.0,822.0,719.0,232.0
720.0,822.0,720.0,234.0
721.0,823.0,722.0,237.0
727.0,826.0,724.0,242.0
730.0,829.0,725.0,243.0
731.0,830.0,727.0,243.0
731.0,831.0,727.0,243.0
730.0,831.0,728.0,244.0
730.0,831.0,729.0,248.0
732.0,834.0,730.0,251.0
736.0,837.0,734.0,254.0
739.0,839.0,736.0,255.0
741.0,840.0,736.0,251.0
738.0,839.0,734.0,244.0
731.0,835.0,731.0,239.0
726.0,832.0,729.0,240.0
725.0,832.0,730.0,243.0
728.0,833.0,729.0,246.0
731.0,834.0,730.0,242.0
726.0,832.0,727.0,236.0
721.0,828.0,724.0,233.0
718.0,826.0,723.0,233.0
719.0,825.0,721.0,234.0
719.0,824.0,721.0,232.0
717.0,822.0,718.0,229.0
712.0,820.0,716.0,231.0
714.0,821.0,719.0,238.0
721.0,826.0,722.0,246.0
728.0,830.0,727.0,251.0
734.0,833.0,730.0,254.0
737.0,837.0,732.0,253.0
737.0,837.0,734.0,253.0
736.0,838.0,734.0,254.0
738.0,839.0,736.0,257.0
740.0,841.0,738.0,258.0
741.0,842.0,739.0,258.0
741.0,843.0,739.0,257.0
740.0,843.0,740.0,256.0
