NO2,C2H5OH,VOC,CO
740.0,835.0,744.0,249.0
738.0,837.0,742.0,239.0
731.0,831.0,735.0,223.0
723.0,824.0,728.0,212.0
719.0,818.0,722.0,205.0
720.0,816.0,719.0,204.0
725.0,816.0,719.0,208.0
729.0,820.0,723.0,216.0
734.0,825.0,730.0,228.0
739.0,833.0,736.0,240.0
742.0,838.0,740.0,254.0
740.0,839.0,745.0,262.0
733.0,834.0,750.0,252.0
724.0,827.0,750.0,239.0
718.0,821.0,749.0,230.0
714.0,816.0,748.0,226.0
712.0,812.0,749.0,225.0
717.0,812.0,752.0,228.0
726.0,819.0,752.0,236.0
731.0,826.0,754.0,246.0
731.0,826.0,758.0,247.0
726.0,823.0,758.0,240.0
721.0,818.0,759.0,233.0
719.0,813.0,758.0,229.0
718.0,811.0,758.0,232.0
719.0,810.0,759.0,237.0
715.0,806.0,759.0,234.0
706.0,800.0,753.0,221.0
706.0,799.0,747.0,217.0
712.0,804.0,747.0,230.0
711.0,803.0,751.0,234.0
709.0,800.0,754.0,229.0
710.0,800.0,754.0,230.0
712.0,801.0,756.0,234.0
709.0,800.0,757.0,230.0
709.0,799.0,757.0,228.0
712.0,801.0,758.0,234.0
716.0,803.0,760.0,238.0
718.0,806.0,762.0,238.0
725.0,811.0,761.0,241.0
730.0,819.0,762.0,248.0
734.0,826.0,763.0,256.0
734.0,830.0,765.0,260.0
730.0,829.0,767.0,254.0
730.0,828.0,764.0,252.0
729.0,827.0,759.0,243.0
719.0,820.0,753.0,231.0
708.0,811.0,745.0,220.0
697.0,802.0,734.0,209.0
684.0,794.0,725.0,200.0
671.0,786.0,713.0,194.0
680.0,789.0,708.0,202.0
694.0,796.0,709.0,217.0
698.0,801.0,716.0,225.0
699.0,799.0,724.0,226.0
699.0,798.0,731.0,229.0
700.0,797.0,736.0,229.0
700.0,795.0,739.0,227.0
703.0,794.0,744.0,229.0
708.0,796.0,746.0,230.0
713.0,801.0,748.0,233.0
721.0,809.0,749.0,238.0
726.0,818.0,749.0,243.0
728.0,826.0,746.0,241.0
727.0,827.0,740.0,231.0
726.0,828.0,734.0,224.0
725.0,826.0,731.0,219.0
726.0,827.0,730.0,220.0
724.0,829.0,726.0,219.0
723.0,831.0,721.0,217.0
724.0,836.0,718.0,228.0
730.0,839.0,724.0,239.0
730.0,839.0,732.0,244.0
731.0,839.0,738.0,248.0
732.0,838.0,741.0,241.0
723.0,833.0,738.0,232.0
702.0,825.0,733.0,220.0
684.0,810.0,724.0,207.0
675.0,801.0,715.0,200.0
676.0,794.0,711.0,196.0
678.0,790.0,706.0,195.0
684.0,790.0,703.0,200.0
692.0,792.0,708.0,207.0
696.0,794.0,716.0,215.0
698.0,794.0,723.0,219.0
700.0,794.0,729.0,222.0
702.0,795.0,733.0,225.0
704.0,795.0,738.0,228.0
705.0,796.0,741.0,229.0
706.0,797.0,742.0,227.0
