NO2,C2H5OH,VOC,CO
725.0,824.0,741.0,225.0
726.0,827.0,737.0,227.0
729.0,832.0,739.0,238.0
730.0,832.0,745.0,245.0
728.0,832.0,747.0,245.0
729.0,831.0,751.0,247.0
729.0,831.0,751.0,246.0
725.0,830.0,751.0,241.0
723.0,826.0,750.0,236.0
719.0,821.0,748.0,230.0
713.0,814.0,743.0,220.0
706.0,807.0,739.0,214.0
699.0,799.0,735.0,208.0
697.0,793.0,732.0,204.0
700.0,791.0,731.0,205.0
707.0,795.0,732.0,211.0
713.0,799.0,735.0,217.0
713.0,801.0,737.0,219.0
713.0,800.0,739.0,221.0
712.0,801.0,741.0,221.0
714.0,803.0,739.0,220.0
717.0,808.0,737.0,220.0
719.0,810.0,735.0,219.0
715.0,805.0,733.0,216.0
705.0,797.0,733.0,209.0
696.0,787.0,729.0,203.0
692.0,781.0,725.0,199.0
695.0,781.0,722.0,199.0
701.0,786.0,724.0,209.0
704.0,791.0,728.0,217.0
703.0,792.0,732.0,220.0
701.0,791.0,737.0,220.0
698.0,791.0,740.0,221.0
695.0,787.0,740.0,218.0
696.0,787.0,742.0,221.0
697.0,788.0,745.0,225.0
692.0,785.0,746.0,222.0
690.0,782.0,746.0,220.0
692.0,782.0,747.0,221.0
694.0,782.0,747.0,221.0
701.0,789.0,748.0,226.0
704.0,794.0,749.0,233.0
702.0,792.0,750.0,229.0
699.0,790.0,749.0,224.0
700.0,788.0,748.0,224.0
699.0,789.0,748.0,226.0
703.0,789.0,749.0,226.0
707.0,793.0,749.0,226.0
712.0,799.0,748.0,231.0
716.0,805.0,749.0,237.0
719.0,811.0,749.0,242.0
721.0,814.0,751.0,244.0
720.0,811.0,752.0,241.0
714.0,808.0,750.0,234.0
701.0,800.0,747.0,222.0
695.0,793.0,743.0,215.0
699.0,793.0,742.0,221.0
704.0,797.0,743.0,231.0
709.0,800.0,744.0,237.0
712.0,802.0,745.0,234.0
713.0,802.0,744.0,228.0
707.0,797.0,742.0,224.0
701.0,793.0,741.0,219.0
697.0,788.0,740.0,215.0
694.0,787.0,738.0,215.0
693.0,786.0,738.0,217.0
688.0,784.0,740.0,217.0
688.0,781.0,740.0,217.0
694.0,783.0,740.0,218.0
699.0,788.0,741.0,222.0
707.0,797.0,743.0,230.0
712.0,804.0,745.0,235.0
717.0,810.0,746.0,243.0
720.0,819.0,745.0,245.0
718.0,819.0,742.0,240.0
703.0,809.0,740.0,224.0
686.0,797.0,732.0,211.0
678.0,790.0,726.0,204.0
676.0,785.0,724.0,204.0
678.0,782.0,724.0,205.0
687.0,785.0,728.0,213.0
699.0,792.0,733.0,224.0
707.0,802.0,737.0,234.0
713.0,810.0,741.0,237.0
716.0,814.0,738.0,231.0
710.0,809.0,729.0,218.0
708.0,809.0,721.0,216.0
704.0,814.0,712.0,214.0
699.0,817.0,702.0,215.0
695.0,813.0,695.0,209.0
