NO2,C2H5OH,VOC,CO
227,461,545,839
225,460,543,839
223,458,541,839
222,456,538,838
220,455,536,838
219,453,534,838
217,452,532,837
216,451,530,836
215,448,529,836
213,447,527,835
212,446,525,836
210,445,523,835
209,443,521,835
208,442,520,835
207,440,518,835
206,439,517,835
206,437,515,834
205,437,514,833
204,435,513,834
205,434,511,832
204,433,510,832
205,433,509,832
206,431,509,831
207,430,509,832
207,429,509,831
206,429,508,831
206,428,507,831
205,427,506,832
205,426,507,831
205,425,506,831
205,424,506,831
206,423,506,831
207,422,506,832
207,422,505,831
208,421,505,832
210,421,505,831
210,420,505,832
210,419,505,831
210,419,504,831
210,419,503,831
210,417,503,832
211,417,502,831
209,415,500,831
208,414,500,830
207,414,499,830
206,413,498,830
205,412,497,830
206,411,497,830
206,411,500,831
208,410,501,830
209,410,503,831
211,410,507,830
217,410,518,832
224,410,530,833
229,410,536,833
234,411,544,834
245,412,558,834
256,413,570,835
263,414,580,836
270,415,590,837
273,416,600,837
275,415,608,838
275,416,612,838
272,416,611,839
271,416,609,840
269,415,606,840
269,415,604,840
269,415,602,840
269,415,600,840
268,415,598,840
269,414,600,842
270,415,600,841
270,414,600,841
269,414,600,842
269,414,600,842
270,413,601,841
271,414,603,842
272,414,604,842
277,414,612,842
284,414,620,843
290,415,626,843
294,416,630,844
297,417,632,844
297,418,632,845
294,417,629,845
290,417,625,844
288,416,621,844
287,416,618,845
283,416,615,844
282,416,613,845
279,415,610,844
276,415,606,844
273,413,603,844
272,414,602,844
271,413,600,844
270,413,600,844
270,412,600,844
272,412,601,843
273,412,602,843
271,412,601,844
271,412,599,844
271,411,600,844
276,412,607,844
280,411,614,844
284,412,620,844
292,413,627,845
300,414,633,845
306,415,637,845
309,416,639,845
311,417,641,846
312,417,641,846
311,418,640,846
307,418,638,846
305,418,634,846
303,418,632,847
301,418,629,846
298,417,626,847
295,416,622,846
293,416,619,846
290,416,617,846
287,414,613,846
283,414,611,846
279,413,608,846
276,412,604,846
273,411,600,845
271,410,597,844
268,409,594,844
265,408,593,844
263,407,589,843
261,406,587,843
260,405,586,843
257,404,582,842
254,403,580,842
253,403,579,842
253,401,576,842
253,401,575,842
253,400,575,841
254,400,575,841
257,400,575,841
258,400,576,841
261,400,579,841
263,401,583,841
267,401,585,841
269,402,587,841
270,402,587,842
268,402,587,842
