NO2,C2H5OH,VOC,CO
199,424,505,827
198,422,503,827
197,421,501,827
196,420,500,827
195,419,498,826
195,417,496,826
194,416,494,826
192,415,494,826
192,413,491,826
190,412,490,825
189,411,489,825
188,410,487,824
188,408,486,825
187,407,484,825
186,406,483,824
185,405,481,825
185,404,480,824
183,403,479,824
183,402,478,823
183,401,477,823
181,400,476,823
181,398,474,823
181,398,473,823
181,397,472,823
181,396,471,823
181,395,471,823
181,394,470,823
183,393,470,823
183,392,469,822
184,391,469,822
184,390,469,822
185,390,469,822
186,389,469,821
186,389,468,822
188,388,469,822
190,387,469,822
191,387,470,822
194,387,471,822
195,386,471,822
197,386,472,822
198,386,473,822
199,386,473,822
201,385,474,822
203,385,474,822
205,385,476,823
208,385,477,822
209,384,479,823
211,385,479,823
213,385,481,823
215,385,482,823
219,385,484,823
220,385,486,823
222,386,487,823
222,386,488,823
223,386,488,824
225,386,489,824
227,386,490,823
230,386,492,824
232,386,494,824
234,387,495,824
236,387,496,824
238,387,498,824
241,388,499,825
243,388,501,824
245,388,503,824
246,389,505,825
248,390,507,825
250,390,508,825
252,391,509,826
253,391,511,826
255,391,512,827
258,392,514,827
258,392,516,827
260,392,517,827
261,393,517,827
263,393,519,827
265,393,521,828
266,394,522,828
266,395,523,828
265,395,524,828
264,395,524,829
264,395,523,829
265,396,523,829
267,396,525,829
268,396,526,830
270,396,528,830
272,396,528,830
274,398,530,830
275,398,532,830
277,398,534,830
279,399,535,830
282,400,536,830
281,400,538,830
281,401,539,830
280,401,538,831
278,401,538,831
278,402,537,832
280,401,538,832
282,402,539,832
284,403,542,832
286,403,542,832
287,404,544,833
289,405,546,832
289,405,547,832
290,406,549,833
291,407,549,833
292,407,550,832
291,407,549,833
292,407,551,834
293,408,552,833
294,408,552,834
296,409,553,833
298,409,555,834
299,410,556,834
301,411,558,834
302,411,560,834
304,412,561,834
305,413,562,834
305,413,564,835
305,413,565,834
306,415,565,835
307,415,566,835
308,416,567,835
308,416,568,835
309,417,568,835
310,417,569,836
310,418,571,835
311,419,572,836
313,420,572,836
314,421,573,836
314,421,574,836
314,422,576,836
314,422,577,837
316,423,577,837
317,424,578,837
316,424,579,838
316,424,579,838
315,424,579,837
313,424,577,837
312,425,577,838
311,424,577,838
312,425,577,838
313,425,578,838
313,426,578,838
312,426,578,838
312,425,578,838
313,426,578,838
314,426,579,839
314,427,579,839
315,427,580,839
316,427,581,839
317,428,582,839
318,428,583,839
319,429,585,839
320,430,585,840
321,430,586,840
322,430,587,840
323,431,588,840
323,432,589,840
325,433,590,841
325,434,591,841
326,434,592,841
327,435,593,841
328,436,594,842
329,436,595,842
329,437,596,842
330,438,597,842
331,438,598,842
332,439,599,843
332,440,599,843
332,441,600,842
330,441,601,842
331,441,600,843
331,442,600,842
331,442,602,843
331,443,601,843
331,443,601,843
332,443,601,844
333,444,602,843
333,445,603,843
333,445,604,843
334,445,604,844
334,445,605,843
334,446,605,844
335,447,605,843
335,447,606,844
336,448,607,844
336,448,607,844
337,448,607,844
338,450,609,844
338,450,609,844
339,450,610,844
340,451,611,845
341,452,612,845
342,452,613,845
342,454,613,845
343,453,615,846
343,455,615,846
343,455,615,846
343,455,615,845
344,455,616,846
344,456,616,845
345,457,617,846
345,457,618,846
346,458,618,846
345,459,618,846
346,459,618,847
345,459,619,848
345,460,620,847
346,461,619,847
345,461,621,847
345,461,620,847
346,462,621,848
345,462,621,848
347,462,622,848
349,463,623,848
351,464,624,848
351,465,625,849
352,465,627,849
353,467,627,849
353,467,628,849
354,468,629,849
353,468,630,849
354,469,630,850
355,470,631,850
355,471,631,850
356,471,632,851
356,472,632,850
357,472,633,850
358,474,634,851
359,474,634,851
358,474,635,851
356,475,635,852
356,474,635,851
356,475,635,852
354,475,634,852
354,475,634,852
351,475,633,852
347,475,632,852
346,475,630,852
345,474,628,852
344,474,627,852
345,473,627,851
346,473,627,852
348,473,629,852
347,473,628,851
349,473,629,852
347,473,628,852
346,473,628,851
345,473,627,852
346,473,627,852
346,474,626,852
347,474,627,851
349,474,627,852
349,474,628,852
350,474,630,852
353,475,631,852
354,475,632,852
354,476,634,853
356,477,635,852
357,478,635,853
359,479,636,853
359,479,638,853
360,479,638,852
360,480,638,853
362,481,639,853
362,482,639,854
363,483,641,853
361,483,641,853
362,484,641,854
363,484,642,854
363,485,642,855
362,486,643,854
363,486,643,854
364,486,643,855
364,487,643,855
366,487,644,854
366,488,645,855
367,489,645,855
368,489,646,855
368,490,647,855
368,491,647,856
369,491,649,856
370,492,649,856
371,492,650,856
372,493,650,856
372,494,650,856
373,495,651,856
373,495,653,856
375,496,653,856
375,497,654,856
375,497,655,856
372,498,653,857
368,498,653,857
367,498,651,857
364,497,649,857
362,496,648,857
359,497,646,857
356,495,644,857
355,496,642,857
356,495,642,856
357,495,642,856
358,495,643,856
360,495,644,857
361,495,645,857
361,496,646,856
362,496,646,856
362,497,646,857
363,497,646,857
