NO2,C2H5OH,VOC,CO
478.0,674.0,524.0,218.0
476.0,672.0,523.0,218.0
475.0,671.0,522.0,220.0
475.0,669.0,522.0,217.0
473.0,667.0,520.0,214.0
471.0,667.0,519.0,221.0
473.0,668.0,520.0,231.0
477.0,670.0,522.0,237.0
480.0,670.0,524.0,240.0
481.0,671.0,526.0,241.0
483.0,672.0,528.0,240.0
483.0,672.0,529.0,240.0
484.0,673.0,529.0,237.0
484.0,675.0,529.0,234.0
483.0,674.0,528.0,233.0
484.0,675.0,527.0,232.0
483.0,675.0,528.0,227.0
483.0,674.0,526.0,221.0
482.0,674.0,524.0,219.0
481.0,674.0,524.0,226.0
483.0,675.0,525.0,240.0
489.0,678.0,528.0,247.0
491.0,679.0,530.0,242.0
490.0,680.0,530.0,236.0
489.0,679.0,530.0,236.0
489.0,679.0,531.0,242.0
491.0,681.0,533.0,247.0
493.0,681.0,535.0,247.0
493.0,682.0,536.0,243.0
494.0,682.0,537.0,241.0
493.0,682.0,536.0,239.0
491.0,682.0,536.0,238.0
492.0,682.0,537.0,240.0
493.0,682.0,537.0,241.0
491.0,682.0,538.0,243.0
492.0,682.0,539.0,244.0
492.0,682.0,540.0,246.0
491.0,682.0,540.0,244.0
491.0,683.0,540.0,244.0
492.0,683.0,540.0,244.0
492.0,684.0,541.0,245.0
493.0,683.0,540.0,243.0
492.0,684.0,541.0,242.0
492.0,683.0,540.0,236.0
491.0,684.0,538.0,227.0
490.0,684.0,537.0,221.0
490.0,683.0,534.0,215.0
487.0,681.0,531.0,214.0
486.0,680.0,530.0,225.0
490.0,681.0,531.0,241.0
495.0,684.0,535.0,252.0
499.0,686.0,536.0,250.0
500.0,686.0,538.0,246.0
499.0,687.0,539.0,241.0
498.0,687.0,538.0,240.0
498.0,687.0,539.0,244.0
500.0,690.0,540.0,249.0
502.0,691.0,541.0,250.0
502.0,691.0,543.0,249.0
502.0,692.0,544.0,247.0
502.0,692.0,544.0,246.0
502.0,693.0,544.0,240.0
499.0,690.0,543.0,230.0
494.0,687.0,540.0,229.0
491.0,686.0,539.0,235.0
493.0,686.0,540.0,245.0
498.0,688.0,543.0,251.0
499.0,689.0,544.0,251.0
499.0,690.0,546.0,249.0
499.0,690.0,546.0,251.0
500.0,691.0,547.0,255.0
505.0,692.0,549.0,257.0
506.0,694.0,551.0,251.0
502.0,691.0,550.0,235.0
496.0,688.0,548.0,234.0
497.0,688.0,548.0,243.0
497.0,689.0,548.0,239.0
494.0,687.0,547.0,232.0
492.0,686.0,545.0,227.0
488.0,684.0,542.0,221.0
483.0,681.0,539.0,219.0
483.0,680.0,538.0,229.0
485.0,681.0,538.0,236.0
487.0,681.0,537.0,236.0
486.0,681.0,537.0,232.0
485.0,680.0,537.0,230.0
486.0,680.0,536.0,234.0
487.0,680.0,537.0,236.0
488.0,681.0,536.0,236.0
488.0,681.0,536.0,235.0
