NO2,C2H5OH,VOC,CO
461.0,657.0,501.0,242.0
463.0,658.0,503.0,244.0
464.0,659.0,504.0,241.0
464.0,659.0,504.0,234.0
460.0,658.0,504.0,227.0
457.0,656.0,504.0,227.0
456.0,655.0,503.0,229.0
454.0,654.0,504.0,229.0
456.0,654.0,503.0,229.0
456.0,654.0,503.0,230.0
456.0,654.0,503.0,227.0
455.0,653.0,502.0,226.0
452.0,652.0,501.0,230.0
454.0,652.0,503.0,234.0
455.0,652.0,504.0,237.0
456.0,653.0,505.0,237.0
457.0,654.0,505.0,237.0
458.0,655.0,505.0,235.0
458.0,656.0,506.0,234.0
459.0,655.0,505.0,232.0
459.0,656.0,505.0,229.0
459.0,657.0,506.0,232.0
460.0,656.0,506.0,235.0
458.0,658.0,507.0,239.0
462.0,660.0,507.0,241.0
463.0,661.0,508.0,240.0
463.0,661.0,509.0,239.0
464.0,662.0,509.0,240.0
464.0,663.0,510.0,243.0
465.0,664.0,511.0,245.0
467.0,665.0,512.0,240.0
467.0,664.0,513.0,239.0
466.0,665.0,513.0,238.0
466.0,666.0,513.0,239.0
467.0,666.0,514.0,239.0
469.0,666.0,514.0,240.0
467.0,667.0,515.0,241.0
468.0,668.0,516.0,241.0
468.0,668.0,515.0,240.0
466.0,667.0,516.0,239.0
466.0,667.0,516.0,242.0
467.0,666.0,517.0,245.0
468.0,668.0,518.0,246.0
468.0,669.0,519.0,245.0
469.0,668.0,519.0,244.0
469.0,669.0,520.0,244.0
468.0,668.0,521.0,246.0
470.0,669.0,521.0,248.0
471.0,670.0,523.0,250.0
472.0,671.0,522.0,251.0
473.0,672.0,526.0,252.0
472.0,672.0,524.0,249.0
470.0,671.0,525.0,242.0
468.0,670.0,523.0,235.0
468.0,671.0,522.0,234.0
468.0,670.0,521.0,232.0
469.0,669.0,520.0,231.0
468.0,670.0,519.0,232.0
467.0,669.0,519.0,236.0
466.0,669.0,520.0,239.0
467.0,669.0,521.0,240.0
466.0,669.0,520.0,238.0
465.0,669.0,520.0,235.0
464.0,669.0,519.0,234.0
464.0,668.0,519.0,233.0
464.0,668.0,518.0,235.0
464.0,668.0,519.0,237.0
466.0,669.0,519.0,237.0
465.0,669.0,518.0,237.0
465.0,669.0,518.0,235.0
464.0,668.0,518.0,233.0
464.0,668.0,517.0,235.0
463.0,668.0,518.0,237.0
464.0,668.0,517.0,236.0
464.0,669.0,516.0,233.0
464.0,668.0,516.0,233.0
464.0,668.0,516.0,233.0
464.0,669.0,516.0,233.0
465.0,668.0,514.0,233.0
464.0,668.0,514.0,233.0
464.0,668.0,514.0,232.0
464.0,668.0,513.0,231.0
462.0,667.0,513.0,227.0
458.0,665.0,512.0,221.0
455.0,663.0,508.0,219.0
453.0,660.0,507.0,219.0
452.0,659.0,504.0,218.0
450.0,658.0,502.0,214.0
450.0,657.0,501.0,215.0
450.0,655.0,499.0,217.0
