NO2,C2H5OH,VOC,CO
420.0,651.0,498.0,302.0
419.0,651.0,498.0,302.0
419.0,651.0,497.0,301.0
420.0,651.0,497.0,302.0
420.0,650.0,497.0,301.0
416.0,650.0,496.0,300.0
416.0,650.0,496.0,300.0
416.0,650.0,496.0,300.0
415.0,649.0,496.0,301.0
416.0,649.0,495.0,301.0
416.0,649.0,495.0,301.0
415.0,649.0,495.0,300.0
416.0,649.0,495.0,300.0
416.0,648.0,495.0,300.0
416.0,649.0,494.0,298.0
416.0,648.0,495.0,296.0
416.0,648.0,494.0,295.0
416.0,648.0,492.0,296.0
415.0,648.0,493.0,295.0
416.0,648.0,493.0,295.0
415.0,647.0,494.0,295.0
415.0,647.0,492.0,297.0
415.0,648.0,493.0,297.0
415.0,646.0,492.0,298.0
414.0,647.0,492.0,299.0
415.0,647.0,493.0,300.0
415.0,647.0,491.0,300.0
415.0,647.0,492.0,301.0
415.0,646.0,492.0,300.0
416.0,647.0,492.0,301.0
418.0,647.0,491.0,301.0
419.0,647.0,492.0,303.0
418.0,646.0,493.0,301.0
419.0,646.0,493.0,302.0
419.0,646.0,492.0,302.0
420.0,646.0,492.0,302.0
420.0,646.0,492.0,302.0
420.0,647.0,493.0,301.0
419.0,647.0,492.0,302.0
420.0,646.0,492.0,302.0
420.0,646.0,493.0,301.0
420.0,647.0,492.0,301.0
420.0,646.0,492.0,301.0
420.0,646.0,492.0,301.0
421.0,647.0,493.0,299.0
420.0,646.0,492.0,299.0
420.0,646.0,492.0,298.0
420.0,646.0,492.0,298.0
417.0,646.0,492.0,298.0
416.0,646.0,492.0,298.0
415.0,646.0,492.0,296.0
415.0,645.0,491.0,297.0
415.0,646.0,491.0,297.0
414.0,646.0,491.0,295.0
416.0,645.0,491.0,295.0
414.0,645.0,490.0,296.0
414.0,645.0,490.0,295.0
415.0,645.0,490.0,295.0
415.0,646.0,490.0,295.0
415.0,645.0,489.0,296.0
415.0,646.0,490.0,296.0
415.0,645.0,489.0,297.0
415.0,645.0,489.0,298.0
414.0,645.0,490.0,297.0
414.0,646.0,490.0,297.0
415.0,646.0,489.0,296.0
418.0,645.0,490.0,296.0
418.0,645.0,488.0,296.0
419.0,646.0,489.0,297.0
418.0,645.0,489.0,298.0
416.0,646.0,489.0,299.0
416.0,646.0,490.0,299.0
417.0,646.0,490.0,300.0
416.0,645.0,490.0,299.0
416.0,646.0,490.0,299.0
415.0,645.0,490.0,299.0
414.0,646.0,490.0,300.0
415.0,645.0,490.0,301.0
414.0,646.0,490.0,302.0
415.0,646.0,490.0,305.0
414.0,646.0,490.0,308.0
416.0,647.0,491.0,310.0
417.0,646.0,491.0,312.0
417.0,647.0,492.0,315.0
417.0,647.0,492.0,317.0
419.0,648.0,494.0,318.0
420.0,649.0,494.0,320.0
421.0,649.0,494.0,319.0
420.0,650.0,495.0,319.0
421.0,649.0,496.0,322.0
