NO2,C2H5OH,VOC,CO
423.0,647.0,492.0,307.0
423.0,646.0,492.0,307.0
423.0,647.0,493.0,306.0
423.0,647.0,492.0,306.0
423.0,646.0,492.0,306.0
423.0,646.0,492.0,306.0
423.0,647.0,492.0,306.0
423.0,647.0,492.0,305.0
423.0,647.0,492.0,306.0
423.0,646.0,492.0,305.0
423.0,646.0,492.0,306.0
423.0,646.0,492.0,306.0
423.0,646.0,492.0,307.0
422.0,646.0,493.0,307.0
422.0,646.0,492.0,308.0
422.0,647.0,492.0,308.0
423.0,646.0,491.0,309.0
423.0,646.0,492.0,311.0
423.0,646.0,493.0,313.0
423.0,646.0,493.0,316.0
424.0,647.0,493.0,317.0
425.0,647.0,494.0,317.0
425.0,648.0,495.0,318.0
425.0,648.0,495.0,320.0
423.0,649.0,496.0,320.0
423.0,650.0,497.0,322.0
423.0,650.0,497.0,323.0
424.0,651.0,498.0,323.0
425.0,651.0,498.0,323.0
426.0,651.0,498.0,323.0
427.0,652.0,499.0,322.0
427.0,652.0,500.0,322.0
426.0,653.0,500.0,320.0
426.0,653.0,501.0,319.0
426.0,654.0,501.0,317.0
424.0,653.0,500.0,316.0
424.0,653.0,501.0,314.0
423.0,653.0,500.0,312.0
423.0,652.0,500.0,311.0
422.0,652.0,499.0,310.0
422.0,652.0,499.0,308.0
420.0,651.0,499.0,306.0
420.0,651.0,498.0,307.0
419.0,650.0,496.0,306.0
419.0,649.0,498.0,306.0
419.0,649.0,497.0,306.0
419.0,650.0,496.0,307.0
419.0,649.0,496.0,305.0
419.0,648.0,495.0,307.0
419.0,648.0,495.0,307.0
419.0,648.0,494.0,306.0
418.0,648.0,495.0,307.0
419.0,648.0,495.0,306.0
419.0,648.0,494.0,307.0
419.0,648.0,495.0,308.0
420.0,648.0,494.0,307.0
420.0,648.0,494.0,308.0
419.0,648.0,495.0,308.0
420.0,648.0,494.0,308.0
419.0,648.0,495.0,308.0
419.0,647.0,494.0,310.0
420.0,648.0,495.0,309.0
420.0,647.0,495.0,309.0
419.0,648.0,495.0,308.0
419.0,647.0,494.0,308.0
420.0,648.0,495.0,307.0
419.0,647.0,495.0,307.0
419.0,648.0,494.0,306.0
420.0,647.0,494.0,307.0
419.0,647.0,495.0,305.0
419.0,647.0,494.0,305.0
419.0,647.0,494.0,305.0
420.0,647.0,494.0,304.0
420.0,647.0,494.0,303.0
418.0,646.0,494.0,302.0
418.0,647.0,494.0,301.0
417.0,646.0,493.0,295.0
414.0,644.0,492.0,283.0
402.0,641.0,488.0,241.0
386.0,636.0,481.0,209.0
371.0,629.0,472.0,188.0
360.0,622.0,462.0,176.0
350.0,617.0,455.0,169.0
343.0,610.0,447.0,163.0
335.0,604.0,440.0,159.0
329.0,598.0,432.0,155.0
323.0,592.0,425.0,152.0
318.0,587.0,418.0,150.0
312.0,581.0,412.0,148.0
307.0,576.0,405.0,145.0
