NO2,C2H5OH,VOC,CO
426.0,615.0,447.0,196.0
426.0,615.0,447.0,197.0
426.0,616.0,447.0,197.0
427.0,616.0,448.0,196.0
431.0,617.0,448.0,197.0
427.0,616.0,448.0,196.0
428.0,617.0,449.0,197.0
427.0,617.0,448.0,197.0
428.0,618.0,449.0,198.0
428.0,618.0,450.0,197.0
428.0,617.0,450.0,197.0
432.0,619.0,451.0,199.0
433.0,618.0,450.0,199.0
433.0,619.0,451.0,199.0
430.0,618.0,450.0,198.0
429.0,619.0,450.0,197.0
429.0,619.0,452.0,197.0
430.0,619.0,452.0,197.0
430.0,619.0,451.0,198.0
431.0,620.0,452.0,198.0
430.0,620.0,452.0,197.0
431.0,620.0,452.0,197.0
430.0,619.0,453.0,196.0
429.0,620.0,453.0,196.0
430.0,620.0,452.0,195.0
429.0,620.0,452.0,194.0
429.0,620.0,453.0,195.0
428.0,619.0,451.0,195.0
431.0,619.0,452.0,195.0
432.0,619.0,452.0,195.0
432.0,618.0,453.0,195.0
432.0,619.0,452.0,194.0
431.0,618.0,452.0,195.0
431.0,618.0,451.0,194.0
430.0,618.0,452.0,194.0
430.0,617.0,451.0,194.0
425.0,618.0,452.0,194.0
424.0,617.0,451.0,193.0
425.0,617.0,451.0,193.0
425.0,617.0,451.0,194.0
424.0,617.0,451.0,194.0
424.0,617.0,452.0,195.0
424.0,617.0,451.0,195.0
424.0,617.0,452.0,197.0
424.0,617.0,452.0,197.0
423.0,617.0,452.0,198.0
424.0,617.0,453.0,197.0
424.0,617.0,453.0,197.0
423.0,617.0,455.0,196.0
424.0,617.0,456.0,196.0
423.0,617.0,454.0,196.0
422.0,617.0,455.0,195.0
423.0,617.0,455.0,196.0
423.0,617.0,455.0,195.0
423.0,616.0,455.0,195.0
426.0,616.0,455.0,195.0
426.0,616.0,456.0,194.0
428.0,615.0,455.0,193.0
428.0,615.0,454.0,194.0
428.0,616.0,456.0,194.0
423.0,616.0,455.0,194.0
422.0,615.0,455.0,194.0
423.0,616.0,455.0,194.0
423.0,615.0,456.0,195.0
423.0,615.0,455.0,193.0
423.0,614.0,455.0,193.0
422.0,615.0,455.0,191.0
422.0,614.0,454.0,192.0
421.0,615.0,455.0,192.0
421.0,614.0,454.0,192.0
421.0,614.0,453.0,191.0
421.0,614.0,455.0,192.0
420.0,614.0,453.0,193.0
420.0,614.0,455.0,194.0
421.0,614.0,454.0,194.0
421.0,614.0,454.0,193.0
420.0,614.0,453.0,195.0
421.0,615.0,454.0,195.0
421.0,615.0,454.0,195.0
421.0,614.0,453.0,194.0
420.0,614.0,455.0,196.0
421.0,615.0,454.0,195.0
421.0,615.0,454.0,195.0
423.0,615.0,455.0,195.0
423.0,615.0,454.0,196.0
426.0,615.0,454.0,196.0
426.0,616.0,455.0,197.0
424.0,616.0,455.0,197.0
424.0,616.0,456.0,198.0
423.0,616.0,456.0,198.0
