NO2,C2H5OH,VOC,CO
447.0,679.0,488.0,246.0
447.0,680.0,488.0,247.0
444.0,680.0,489.0,246.0
445.0,679.0,489.0,247.0
448.0,680.0,489.0,247.0
444.0,680.0,489.0,246.0
444.0,680.0,490.0,247.0
444.0,680.0,490.0,247.0
444.0,681.0,490.0,246.0
444.0,680.0,490.0,247.0
443.0,681.0,491.0,247.0
444.0,681.0,491.0,247.0
444.0,681.0,490.0,247.0
444.0,681.0,492.0,247.0
443.0,681.0,491.0,247.0
444.0,681.0,492.0,247.0
444.0,682.0,492.0,247.0
446.0,681.0,491.0,247.0
444.0,682.0,493.0,248.0
444.0,681.0,492.0,248.0
444.0,683.0,492.0,248.0
444.0,683.0,493.0,247.0
444.0,682.0,493.0,248.0
444.0,682.0,493.0,249.0
444.0,683.0,494.0,250.0
444.0,683.0,494.0,249.0
445.0,684.0,495.0,251.0
448.0,684.0,495.0,251.0
445.0,684.0,496.0,251.0
446.0,685.0,496.0,251.0
446.0,685.0,495.0,251.0
446.0,685.0,496.0,251.0
447.0,685.0,495.0,251.0
447.0,685.0,497.0,251.0
449.0,686.0,497.0,251.0
450.0,687.0,497.0,251.0
447.0,687.0,497.0,250.0
447.0,686.0,497.0,250.0
448.0,687.0,499.0,249.0
448.0,687.0,499.0,249.0
451.0,687.0,499.0,248.0
450.0,686.0,498.0,249.0
447.0,687.0,499.0,248.0
446.0,686.0,498.0,249.0
446.0,686.0,499.0,249.0
446.0,686.0,499.0,249.0
446.0,686.0,499.0,249.0
446.0,686.0,499.0,249.0
447.0,686.0,499.0,249.0
446.0,686.0,499.0,250.0
446.0,687.0,499.0,250.0
446.0,687.0,499.0,249.0
447.0,686.0,499.0,248.0
450.0,686.0,500.0,248.0
446.0,685.0,500.0,249.0
444.0,686.0,499.0,248.0
446.0,686.0,500.0,249.0
445.0,686.0,500.0,248.0
445.0,686.0,500.0,248.0
444.0,685.0,500.0,248.0
444.0,685.0,499.0,248.0
445.0,684.0,500.0,248.0
444.0,685.0,499.0,248.0
444.0,685.0,499.0,248.0
446.0,685.0,499.0,248.0
444.0,686.0,500.0,249.0
448.0,686.0,500.0,249.0
445.0,686.0,501.0,249.0
446.0,686.0,500.0,252.0
447.0,686.0,501.0,252.0
447.0,687.0,501.0,253.0
446.0,687.0,501.0,253.0
450.0,687.0,502.0,252.0
451.0,687.0,502.0,252.0
451.0,688.0,503.0,251.0
451.0,688.0,502.0,251.0
450.0,688.0,502.0,250.0
450.0,687.0,503.0,249.0
450.0,688.0,502.0,249.0
450.0,688.0,503.0,250.0
450.0,688.0,503.0,249.0
450.0,688.0,503.0,249.0
451.0,688.0,503.0,250.0
450.0,688.0,503.0,250.0
451.0,688.0,503.0,250.0
451.0,688.0,502.0,251.0
453.0,688.0,503.0,251.0
452.0,688.0,503.0,250.0
451.0,689.0,503.0,249.0
451.0,688.0,503.0,250.0
