NO2,C2H5OH,VOC,CO
458.0,702.0,526.0,260.0
459.0,702.0,526.0,260.0
458.0,702.0,527.0,260.0
461.0,702.0,526.0,260.0
463.0,703.0,527.0,260.0
462.0,702.0,527.0,260.0
462.0,702.0,527.0,260.0
459.0,703.0,527.0,259.0
458.0,703.0,527.0,259.0
458.0,703.0,527.0,258.0
457.0,702.0,526.0,258.0
457.0,703.0,527.0,258.0
458.0,703.0,526.0,259.0
458.0,702.0,527.0,259.0
458.0,702.0,527.0,257.0
458.0,702.0,526.0,255.0
458.0,702.0,526.0,256.0
457.0,702.0,526.0,254.0
456.0,701.0,525.0,253.0
455.0,700.0,526.0,253.0
454.0,700.0,524.0,253.0
453.0,700.0,524.0,254.0
452.0,699.0,525.0,256.0
454.0,700.0,524.0,257.0
452.0,700.0,523.0,258.0
451.0,699.0,523.0,256.0
452.0,699.0,524.0,257.0
451.0,699.0,524.0,256.0
451.0,699.0,523.0,256.0
450.0,699.0,523.0,256.0
450.0,699.0,523.0,255.0
452.0,699.0,522.0,256.0
452.0,699.0,522.0,256.0
453.0,699.0,522.0,256.0
453.0,699.0,522.0,256.0
454.0,699.0,522.0,257.0
454.0,699.0,522.0,257.0
455.0,699.0,522.0,258.0
455.0,699.0,522.0,257.0
456.0,699.0,522.0,259.0
457.0,700.0,523.0,258.0
457.0,700.0,523.0,258.0
457.0,700.0,523.0,258.0
456.0,700.0,523.0,258.0
457.0,700.0,523.0,257.0
456.0,700.0,523.0,257.0
457.0,701.0,523.0,257.0
456.0,701.0,522.0,256.0
456.0,701.0,522.0,256.0
457.0,701.0,522.0,255.0
456.0,701.0,523.0,256.0
456.0,700.0,522.0,256.0
457.0,701.0,523.0,257.0
456.0,700.0,522.0,258.0
457.0,701.0,523.0,258.0
452.0,701.0,523.0,258.0
453.0,701.0,523.0,257.0
453.0,701.0,523.0,258.0
453.0,702.0,523.0,258.0
453.0,702.0,524.0,259.0
454.0,702.0,524.0,259.0
454.0,702.0,524.0,259.0
458.0,702.0,524.0,259.0
455.0,703.0,524.0,260.0
454.0,702.0,524.0,260.0
455.0,703.0,525.0,259.0
456.0,704.0,524.0,260.0
455.0,702.0,524.0,259.0
455.0,702.0,525.0,258.0
456.0,704.0,525.0,258.0
459.0,703.0,525.0,259.0
459.0,703.0,525.0,259.0
459.0,703.0,525.0,260.0
460.0,703.0,524.0,259.0
460.0,703.0,525.0,260.0
460.0,703.0,525.0,261.0
461.0,704.0,526.0,261.0
456.0,704.0,525.0,261.0
457.0,703.0,525.0,261.0
457.0,704.0,526.0,260.0
457.0,704.0,527.0,260.0
457.0,704.0,526.0,260.0
458.0,705.0,526.0,260.0
458.0,705.0,526.0,261.0
458.0,705.0,527.0,260.0
458.0,705.0,527.0,260.0
458.0,705.0,527.0,261.0
458.0,705.0,527.0,260.0
459.0,706.0,527.0,260.0
459.0,706.0,527.0,260.0
