NO2,C2H5OH,VOC,CO
387.0,597.0,389.0,191.0
386.0,597.0,389.0,191.0
383.0,597.0,389.0,190.0
382.0,596.0,389.0,190.0
381.0,595.0,389.0,189.0
380.0,594.0,388.0,189.0
379.0,593.0,388.0,188.0
377.0,593.0,387.0,188.0
375.0,592.0,386.0,188.0
375.0,592.0,387.0,188.0
374.0,590.0,386.0,188.0
373.0,590.0,385.0,187.0
373.0,589.0,385.0,187.0
372.0,589.0,384.0,188.0
371.0,588.0,385.0,187.0
370.0,588.0,384.0,186.0
369.0,586.0,383.0,185.0
367.0,585.0,383.0,186.0
367.0,585.0,382.0,185.0
366.0,583.0,382.0,185.0
364.0,583.0,381.0,185.0
363.0,581.0,381.0,185.0
363.0,581.0,380.0,184.0
361.0,580.0,381.0,185.0
360.0,579.0,380.0,185.0
359.0,579.0,379.0,185.0
359.0,578.0,379.0,186.0
358.0,577.0,378.0,186.0
358.0,576.0,378.0,186.0
358.0,576.0,378.0,186.0
359.0,574.0,377.0,187.0
357.0,573.0,378.0,186.0
357.0,573.0,378.0,186.0
356.0,572.0,378.0,185.0
356.0,572.0,376.0,184.0
354.0,571.0,376.0,185.0
355.0,570.0,376.0,186.0
353.0,569.0,375.0,187.0
354.0,570.0,376.0,188.0
353.0,568.0,376.0,188.0
355.0,569.0,376.0,189.0
355.0,569.0,376.0,189.0
356.0,569.0,376.0,189.0
356.0,568.0,377.0,189.0
357.0,567.0,376.0,190.0
357.0,567.0,376.0,191.0
357.0,567.0,377.0,191.0
359.0,567.0,376.0,192.0
358.0,567.0,377.0,192.0
359.0,567.0,378.0,193.0
360.0,568.0,378.0,194.0
361.0,568.0,379.0,196.0
363.0,569.0,379.0,196.0
363.0,569.0,380.0,197.0
365.0,568.0,381.0,198.0
365.0,568.0,382.0,198.0
366.0,570.0,382.0,200.0
367.0,570.0,383.0,201.0
369.0,571.0,385.0,201.0
370.0,571.0,385.0,201.0
371.0,571.0,386.0,201.0
371.0,572.0,387.0,202.0
373.0,572.0,388.0,202.0
374.0,573.0,388.0,203.0
374.0,573.0,389.0,203.0
377.0,574.0,390.0,204.0
377.0,574.0,391.0,205.0
378.0,576.0,391.0,206.0
379.0,577.0,393.0,205.0
380.0,577.0,394.0,206.0
380.0,577.0,394.0,207.0
381.0,578.0,395.0,207.0
383.0,580.0,396.0,207.0
382.0,580.0,396.0,207.0
383.0,581.0,397.0,208.0
383.0,582.0,398.0,208.0
385.0,581.0,399.0,209.0
385.0,583.0,399.0,208.0
385.0,583.0,401.0,208.0
386.0,584.0,401.0,208.0
386.0,584.0,401.0,209.0
386.0,585.0,403.0,208.0
387.0,586.0,402.0,209.0
387.0,585.0,404.0,209.0
386.0,586.0,404.0,209.0
387.0,588.0,405.0,209.0
387.0,587.0,406.0,209.0
388.0,588.0,406.0,210.0
388.0,589.0,406.0,209.0
388.0,589.0,407.0,209.0
