NO2,C2H5OH,VOC,CO
406.0,618.0,450.0,240.0
407.0,618.0,452.0,240.0
407.0,619.0,452.0,239.0
408.0,619.0,452.0,240.0
402.0,620.0,453.0,240.0
401.0,619.0,453.0,240.0
402.0,620.0,452.0,239.0
403.0,619.0,452.0,240.0
403.0,621.0,454.0,240.0
402.0,620.0,454.0,240.0
403.0,621.0,454.0,240.0
403.0,620.0,454.0,240.0
406.0,621.0,455.0,239.0
407.0,621.0,454.0,239.0
406.0,621.0,455.0,239.0
406.0,622.0,455.0,239.0
406.0,622.0,455.0,239.0
407.0,621.0,455.0,238.0
407.0,622.0,455.0,238.0
408.0,622.0,456.0,238.0
408.0,622.0,456.0,238.0
407.0,621.0,457.0,240.0
407.0,622.0,457.0,239.0
407.0,622.0,457.0,239.0
409.0,622.0,456.0,240.0
409.0,623.0,457.0,240.0
408.0,623.0,456.0,240.0
408.0,623.0,458.0,241.0
409.0,623.0,458.0,240.0
409.0,624.0,458.0,240.0
410.0,624.0,459.0,242.0
409.0,624.0,458.0,241.0
410.0,624.0,459.0,242.0
410.0,624.0,460.0,242.0
411.0,625.0,460.0,243.0
411.0,626.0,461.0,243.0
412.0,625.0,460.0,242.0
412.0,625.0,461.0,243.0
413.0,626.0,461.0,243.0
413.0,626.0,462.0,243.0
414.0,626.0,462.0,244.0
415.0,627.0,461.0,244.0
414.0,628.0,463.0,244.0
415.0,628.0,462.0,245.0
415.0,627.0,463.0,245.0
416.0,628.0,464.0,246.0
416.0,628.0,464.0,245.0
416.0,629.0,465.0,246.0
416.0,630.0,465.0,245.0
416.0,629.0,465.0,246.0
417.0,630.0,465.0,245.0
417.0,630.0,465.0,246.0
417.0,630.0,466.0,246.0
417.0,630.0,466.0,245.0
416.0,630.0,466.0,246.0
416.0,631.0,466.0,245.0
417.0,631.0,466.0,246.0
417.0,631.0,466.0,246.0
417.0,631.0,467.0,245.0
416.0,631.0,466.0,246.0
417.0,631.0,467.0,245.0
417.0,630.0,467.0,246.0
416.0,631.0,467.0,244.0
417.0,631.0,467.0,245.0
416.0,632.0,467.0,246.0
416.0,632.0,468.0,245.0
416.0,632.0,468.0,246.0
416.0,632.0,468.0,245.0
416.0,633.0,468.0,246.0
416.0,633.0,468.0,246.0
416.0,633.0,468.0,245.0
416.0,632.0,469.0,246.0
416.0,632.0,469.0,246.0
417.0,633.0,469.0,246.0
416.0,633.0,469.0,245.0
417.0,633.0,470.0,245.0
416.0,633.0,469.0,244.0
417.0,634.0,468.0,245.0
416.0,633.0,468.0,244.0
417.0,633.0,469.0,245.0
417.0,634.0,470.0,245.0
416.0,633.0,469.0,244.0
417.0,633.0,469.0,244.0
416.0,634.0,469.0,244.0
416.0,633.0,470.0,243.0
415.0,633.0,470.0,243.0
416.0,634.0,469.0,244.0
415.0,633.0,469.0,244.0
415.0,633.0,470.0,244.0
415.0,633.0,470.0,243.0
