NO2,C2H5OH,VOC,CO
780.0,934.0,790.0,612.0
778.0,932.0,788.0,608.0
776.0,932.0,785.0,605.0
774.0,931.0,784.0,603.0
771.0,930.0,782.0,600.0
770.0,929.0,782.0,604.0
770.0,928.0,782.0,604.0
770.0,928.0,782.0,605.0
768.0,928.0,781.0,601.0
768.0,927.0,779.0,594.0
766.0,926.0,776.0,588.0
763.0,925.0,775.0,584.0
760.0,925.0,772.0,583.0
759.0,923.0,770.0,585.0
758.0,922.0,770.0,586.0
759.0,923.0,768.0,587.0
758.0,923.0,768.0,586.0
756.0,922.0,768.0,586.0
756.0,921.0,767.0,585.0
755.0,921.0,767.0,587.0
755.0,921.0,766.0,586.0
755.0,921.0,766.0,585.0
755.0,920.0,765.0,587.0
753.0,920.0,765.0,586.0
753.0,919.0,764.0,586.0
753.0,919.0,764.0,586.0
752.0,919.0,763.0,584.0
752.0,919.0,762.0,586.0
750.0,919.0,762.0,585.0
750.0,918.0,762.0,586.0
750.0,918.0,761.0,585.0
750.0,918.0,761.0,587.0
750.0,918.0,762.0,587.0
749.0,918.0,761.0,587.0
749.0,917.0,760.0,586.0
749.0,917.0,759.0,589.0
749.0,917.0,761.0,588.0
749.0,917.0,759.0,589.0
748.0,917.0,759.0,589.0
747.0,917.0,760.0,590.0
748.0,916.0,758.0,590.0
747.0,916.0,759.0,591.0
747.0,916.0,759.0,590.0
747.0,917.0,760.0,591.0
746.0,916.0,759.0,591.0
746.0,917.0,759.0,591.0
746.0,916.0,758.0,590.0
745.0,916.0,758.0,591.0
745.0,916.0,758.0,589.0
745.0,916.0,758.0,591.0
746.0,916.0,758.0,591.0
745.0,916.0,758.0,592.0
745.0,916.0,758.0,591.0
744.0,915.0,758.0,592.0
745.0,915.0,758.0,593.0
745.0,916.0,758.0,593.0
745.0,916.0,758.0,592.0
744.0,916.0,758.0,594.0
745.0,915.0,758.0,594.0
744.0,915.0,758.0,595.0
744.0,916.0,759.0,594.0
744.0,915.0,758.0,595.0
744.0,915.0,758.0,594.0
743.0,915.0,758.0,594.0
744.0,915.0,757.0,593.0
744.0,915.0,757.0,595.0
744.0,915.0,757.0,595.0
743.0,915.0,758.0,596.0
744.0,915.0,756.0,596.0
743.0,915.0,757.0,596.0
743.0,915.0,758.0,595.0
744.0,914.0,757.0,597.0
743.0,915.0,757.0,596.0
743.0,915.0,758.0,596.0
743.0,916.0,757.0,596.0
742.0,914.0,758.0,598.0
743.0,915.0,759.0,598.0
743.0,915.0,758.0,599.0
743.0,915.0,758.0,599.0
742.0,914.0,758.0,599.0
742.0,914.0,759.0,602.0
743.0,915.0,758.0,600.0
743.0,915.0,759.0,600.0
744.0,915.0,759.0,602.0
743.0,915.0,760.0,605.0
743.0,915.0,760.0,605.0
743.0,915.0,760.0,606.0
743.0,916.0,760.0,603.0
742.0,915.0,760.0,600.0
741.0,915.0,758.0,599.0
