NO2,C2H5OH,VOC,CO
717.0,908.0,747.0,617.0
718.0,908.0,747.0,622.0
717.0,908.0,747.0,625.0
717.0,908.0,747.0,620.0
717.0,909.0,746.0,609.0
715.0,908.0,744.0,601.0
714.0,907.0,742.0,599.0
713.0,907.0,739.0,600.0
711.0,906.0,737.0,602.0
709.0,905.0,736.0,604.0
710.0,906.0,735.0,605.0
708.0,906.0,734.0,604.0
707.0,904.0,732.0,601.0
707.0,904.0,730.0,600.0
705.0,902.0,730.0,600.0
704.0,902.0,728.0,598.0
703.0,902.0,726.0,597.0
701.0,901.0,726.0,599.0
701.0,900.0,724.0,600.0
700.0,899.0,724.0,600.0
699.0,899.0,724.0,600.0
698.0,899.0,724.0,601.0
699.0,898.0,723.0,601.0
697.0,897.0,723.0,601.0
697.0,898.0,721.0,601.0
697.0,898.0,723.0,603.0
697.0,897.0,722.0,602.0
696.0,898.0,722.0,602.0
696.0,898.0,722.0,603.0
696.0,897.0,722.0,605.0
696.0,896.0,722.0,604.0
696.0,896.0,722.0,604.0
696.0,897.0,722.0,606.0
696.0,897.0,722.0,606.0
697.0,896.0,723.0,605.0
696.0,896.0,722.0,606.0
696.0,896.0,723.0,609.0
696.0,896.0,723.0,606.0
696.0,897.0,723.0,608.0
696.0,897.0,724.0,609.0
697.0,897.0,723.0,610.0
697.0,896.0,724.0,610.0
697.0,897.0,724.0,610.0
697.0,897.0,725.0,611.0
696.0,897.0,724.0,611.0
698.0,896.0,724.0,612.0
696.0,898.0,725.0,612.0
696.0,896.0,724.0,614.0
697.0,897.0,725.0,613.0
697.0,898.0,725.0,612.0
697.0,898.0,724.0,613.0
697.0,897.0,725.0,614.0
697.0,898.0,725.0,613.0
698.0,897.0,725.0,614.0
697.0,897.0,726.0,615.0
698.0,897.0,726.0,615.0
698.0,897.0,725.0,614.0
697.0,898.0,726.0,614.0
698.0,897.0,725.0,616.0
698.0,898.0,727.0,616.0
697.0,897.0,727.0,616.0
697.0,897.0,728.0,617.0
698.0,898.0,726.0,619.0
698.0,898.0,727.0,617.0
698.0,898.0,727.0,618.0
698.0,897.0,727.0,619.0
699.0,897.0,728.0,619.0
698.0,898.0,728.0,620.0
699.0,898.0,728.0,619.0
698.0,899.0,728.0,619.0
699.0,898.0,729.0,619.0
698.0,899.0,728.0,620.0
698.0,899.0,728.0,621.0
699.0,899.0,729.0,621.0
699.0,900.0,729.0,621.0
698.0,899.0,728.0,621.0
698.0,899.0,729.0,621.0
700.0,899.0,729.0,620.0
699.0,899.0,729.0,620.0
698.0,900.0,729.0,622.0
699.0,899.0,729.0,622.0
698.0,899.0,730.0,622.0
698.0,899.0,729.0,622.0
699.0,900.0,729.0,622.0
699.0,899.0,729.0,623.0
699.0,900.0,729.0,623.0
699.0,900.0,730.0,622.0
699.0,899.0,729.0,623.0
700.0,900.0,730.0,623.0
699.0,900.0,729.0,624.0
