NO2,C2H5OH,VOC,CO
511.0,782.0,550.0,640.0
513.0,783.0,549.0,640.0
513.0,784.0,551.0,641.0
513.0,784.0,551.0,643.0
513.0,784.0,551.0,642.0
513.0,784.0,551.0,641.0
513.0,785.0,551.0,642.0
513.0,785.0,552.0,642.0
513.0,785.0,551.0,641.0
514.0,785.0,551.0,641.0
514.0,784.0,552.0,640.0
512.0,784.0,552.0,641.0
514.0,785.0,552.0,642.0
513.0,784.0,553.0,641.0
514.0,785.0,553.0,643.0
514.0,785.0,553.0,642.0
514.0,786.0,553.0,639.0
515.0,785.0,554.0,642.0
514.0,785.0,554.0,643.0
514.0,786.0,553.0,643.0
515.0,785.0,553.0,644.0
514.0,786.0,554.0,645.0
515.0,787.0,554.0,644.0
515.0,786.0,555.0,642.0
515.0,786.0,555.0,643.0
515.0,786.0,555.0,642.0
515.0,787.0,555.0,642.0
516.0,785.0,556.0,642.0
515.0,787.0,555.0,642.0
516.0,787.0,556.0,642.0
516.0,787.0,556.0,642.0
516.0,788.0,556.0,642.0
517.0,787.0,556.0,642.0
516.0,786.0,556.0,640.0
516.0,787.0,556.0,640.0
516.0,787.0,557.0,642.0
517.0,787.0,557.0,641.0
516.0,788.0,555.0,641.0
516.0,788.0,556.0,641.0
516.0,787.0,556.0,642.0
516.0,788.0,556.0,641.0
517.0,788.0,556.0,641.0
516.0,788.0,557.0,642.0
516.0,788.0,556.0,642.0
517.0,788.0,557.0,643.0
516.0,789.0,557.0,642.0
516.0,787.0,556.0,642.0
516.0,788.0,557.0,642.0
517.0,788.0,557.0,642.0
517.0,788.0,558.0,643.0
516.0,788.0,557.0,643.0
516.0,789.0,557.0,644.0
516.0,788.0,558.0,642.0
517.0,788.0,558.0,645.0
517.0,789.0,557.0,643.0
518.0,789.0,558.0,645.0
519.0,790.0,558.0,649.0
520.0,791.0,560.0,651.0
520.0,792.0,560.0,654.0
521.0,792.0,561.0,656.0
522.0,793.0,561.0,656.0
522.0,794.0,563.0,656.0
523.0,794.0,562.0,656.0
523.0,795.0,564.0,654.0
524.0,794.0,564.0,653.0
524.0,794.0,564.0,653.0
524.0,795.0,564.0,654.0
525.0,796.0,566.0,654.0
525.0,796.0,566.0,656.0
526.0,796.0,566.0,654.0
524.0,797.0,566.0,654.0
526.0,796.0,567.0,653.0
525.0,797.0,567.0,653.0
525.0,797.0,567.0,655.0
527.0,798.0,567.0,654.0
527.0,799.0,567.0,654.0
527.0,798.0,568.0,655.0
527.0,798.0,568.0,653.0
527.0,797.0,568.0,652.0
527.0,798.0,568.0,651.0
527.0,798.0,569.0,651.0
526.0,797.0,568.0,652.0
526.0,798.0,568.0,650.0
526.0,798.0,568.0,651.0
526.0,797.0,568.0,651.0
526.0,797.0,568.0,650.0
525.0,797.0,569.0,649.0
525.0,798.0,568.0,650.0
524.0,797.0,568.0,650.0
525.0,797.0,568.0,651.0
