NO2,C2H5OH,VOC,CO
505.0,783.0,553.0,642.0
506.0,783.0,553.0,642.0
506.0,782.0,553.0,642.0
506.0,782.0,553.0,641.0
507.0,783.0,553.0,641.0
506.0,783.0,553.0,640.0
506.0,782.0,552.0,641.0
507.0,783.0,553.0,640.0
506.0,782.0,553.0,639.0
507.0,782.0,552.0,640.0
507.0,782.0,553.0,640.0
506.0,782.0,552.0,638.0
506.0,781.0,552.0,638.0
506.0,781.0,552.0,638.0
506.0,781.0,552.0,638.0
506.0,781.0,552.0,637.0
506.0,782.0,552.0,637.0
506.0,782.0,552.0,638.0
506.0,781.0,552.0,636.0
506.0,781.0,552.0,638.0
505.0,782.0,551.0,637.0
506.0,781.0,552.0,637.0
506.0,781.0,551.0,637.0
504.0,781.0,551.0,636.0
505.0,780.0,552.0,638.0
505.0,781.0,551.0,638.0
505.0,781.0,552.0,636.0
505.0,781.0,552.0,635.0
505.0,781.0,552.0,637.0
505.0,780.0,552.0,638.0
506.0,780.0,551.0,636.0
506.0,781.0,551.0,636.0
505.0,780.0,552.0,636.0
506.0,781.0,552.0,637.0
506.0,781.0,552.0,637.0
506.0,781.0,552.0,636.0
506.0,781.0,552.0,637.0
507.0,781.0,553.0,638.0
507.0,781.0,552.0,638.0
506.0,781.0,552.0,638.0
508.0,782.0,552.0,638.0
506.0,782.0,552.0,635.0
507.0,782.0,553.0,637.0
507.0,782.0,552.0,637.0
509.0,781.0,554.0,637.0
508.0,781.0,552.0,638.0
508.0,781.0,552.0,640.0
509.0,782.0,554.0,639.0
509.0,782.0,554.0,639.0
509.0,783.0,554.0,639.0
508.0,783.0,554.0,638.0
509.0,782.0,554.0,638.0
509.0,782.0,554.0,638.0
509.0,783.0,553.0,637.0
509.0,782.0,553.0,636.0
509.0,783.0,553.0,636.0
509.0,783.0,554.0,637.0
510.0,783.0,554.0,635.0
509.0,783.0,553.0,636.0
510.0,783.0,553.0,636.0
