NO2,C2H5OH,VOC,CO
506.0,781.0,554.0,648.0
507.0,781.0,553.0,648.0
506.0,781.0,554.0,648.0
506.0,782.0,554.0,649.0
506.0,781.0,554.0,649.0
507.0,780.0,555.0,648.0
506.0,780.0,554.0,650.0
507.0,781.0,554.0,649.0
507.0,781.0,554.0,650.0
507.0,780.0,555.0,650.0
507.0,781.0,555.0,649.0
506.0,781.0,555.0,650.0
506.0,781.0,555.0,650.0
506.0,782.0,555.0,651.0
506.0,781.0,554.0,650.0
507.0,782.0,554.0,649.0
506.0,780.0,554.0,651.0
507.0,781.0,555.0,647.0
506.0,781.0,555.0,650.0
507.0,782.0,555.0,650.0
507.0,782.0,555.0,649.0
507.0,782.0,555.0,651.0
506.0,781.0,555.0,651.0
507.0,781.0,555.0,650.0
507.0,781.0,554.0,651.0
507.0,781.0,554.0,651.0
507.0,781.0,555.0,650.0
506.0,781.0,555.0,649.0
507.0,781.0,555.0,650.0
507.0,782.0,555.0,649.0
507.0,781.0,554.0,651.0
507.0,782.0,554.0,651.0
507.0,782.0,555.0,650.0
507.0,782.0,555.0,649.0
508.0,781.0,555.0,651.0
508.0,782.0,554.0,650.0
508.0,781.0,555.0,650.0
507.0,781.0,554.0,649.0
507.0,782.0,554.0,650.0
506.0,782.0,554.0,650.0
506.0,782.0,554.0,650.0
508.0,782.0,555.0,649.0
508.0,782.0,554.0,648.0
508.0,782.0,555.0,649.0
507.0,782.0,555.0,650.0
507.0,781.0,555.0,648.0
507.0,782.0,554.0,649.0
507.0,781.0,554.0,649.0
507.0,780.0,554.0,650.0
507.0,781.0,555.0,649.0
507.0,782.0,555.0,650.0
506.0,781.0,553.0,650.0
506.0,781.0,555.0,650.0
507.0,781.0,554.0,650.0
507.0,782.0,555.0,650.0
506.0,782.0,555.0,649.0
506.0,781.0,555.0,649.0
507.0,781.0,554.0,649.0
507.0,781.0,554.0,648.0
507.0,782.0,555.0,649.0
