NO2,C2H5OH,VOC,CO
493.0,769.0,538.0,649.0
492.0,769.0,540.0,650.0
493.0,769.0,539.0,648.0
491.0,769.0,539.0,649.0
491.0,769.0,539.0,648.0
492.0,769.0,539.0,648.0
491.0,769.0,539.0,649.0
492.0,769.0,539.0,646.0
490.0,769.0,538.0,648.0
491.0,769.0,539.0,646.0
490.0,768.0,538.0,646.0
491.0,769.0,538.0,648.0
490.0,769.0,538.0,648.0
490.0,768.0,537.0,648.0
491.0,769.0,538.0,647.0
490.0,768.0,538.0,646.0
491.0,768.0,538.0,645.0
491.0,768.0,537.0,647.0
490.0,768.0,538.0,646.0
491.0,768.0,538.0,646.0
491.0,767.0,537.0,645.0
490.0,767.0,537.0,647.0
490.0,768.0,537.0,646.0
491.0,768.0,537.0,645.0
490.0,768.0,537.0,646.0
490.0,768.0,537.0,648.0
491.0,768.0,538.0,647.0
491.0,768.0,537.0,646.0
491.0,768.0,537.0,647.0
490.0,768.0,536.0,647.0
491.0,768.0,536.0,647.0
491.0,767.0,536.0,649.0
490.0,768.0,537.0,646.0
490.0,769.0,536.0,647.0
490.0,768.0,536.0,647.0
490.0,768.0,537.0,649.0
490.0,767.0,536.0,648.0
490.0,768.0,538.0,650.0
490.0,768.0,537.0,650.0
490.0,768.0,536.0,650.0
491.0,767.0,537.0,650.0
490.0,767.0,537.0,650.0
491.0,768.0,537.0,649.0
491.0,768.0,537.0,651.0
491.0,768.0,536.0,649.0
491.0,768.0,537.0,650.0
491.0,768.0,537.0,651.0
491.0,768.0,537.0,652.0
491.0,768.0,537.0,651.0
491.0,767.0,538.0,652.0
491.0,768.0,537.0,652.0
491.0,767.0,538.0,653.0
492.0,768.0,537.0,653.0
492.0,768.0,538.0,652.0
491.0,768.0,537.0,652.0
491.0,768.0,538.0,652.0
492.0,768.0,538.0,654.0
492.0,768.0,537.0,653.0
492.0,768.0,538.0,653.0
492.0,769.0,538.0,652.0
