NO2,C2H5OH,VOC,CO
55,89,131,748
56,89,131,750
55,89,130,750
55,89,130,750
55,89,130,750
54,89,130,750
54,89,130,750
54,89,129,750
54,89,129,750
54,89,129,751
54,89,129,750
54,88,129,751
54,88,128,750
54,89,128,751
53,89,128,750
53,88,128,750
53,88,128,751
53,88,127,750
53,88,128,751
53,89,128,750
52,89,127,751
52,88,127,751
53,88,127,751
52,89,126,750
52,89,127,751
52,89,127,751
52,88,126,750
52,88,126,750
52,88,126,750
52,88,126,750
51,87,125,750
52,88,125,750
52,88,125,750
51,88,125,750
51,88,125,750
52,88,125,750
51,88,125,750
51,87,125,751
51,87,124,751
51,88,124,751
51,88,125,750
50,88,125,750
51,88,124,751
51,88,125,751
51,87,124,750
51,88,124,750
51,88,124,751
51,87,124,751
51,87,124,751
51,87,123,751
51,87,123,752
50,88,123,751
51,87,124,751
51,87,124,751
51,87,124,751
50,87,123,751
50,87,124,752
51,87,123,753
51,87,124,752
50,87,122,753
51,87,123,752
50,87,123,753
51,87,123,752
51,87,123,753
50,87,122,752
51,87,123,752
50,87,122,753
51,87,122,753
51,87,122,753
50,87,122,753
51,87,122,752
51,87,122,752
50,86,122,752
51,87,122,752
50,87,122,752
51,87,122,752
50,86,122,751
50,87,121,751
50,87,121,751
50,86,122,750
50,86,122,751
50,86,121,751
50,86,121,751
50,86,122,750
50,86,121,750
50,86,121,751
50,87,122,751
50,86,121,751
50,87,121,751
50,87,121,752
50,86,121,751
50,86,121,751
50,86,121,751
50,86,121,751
49,86,121,751
50,86,121,752
50,86,121,751
50,86,121,751
49,86,121,751
50,86,120,751
50,86,120,751
50,86,120,751
49,86,121,751
50,86,121,750
50,86,120,750
49,86,121,751
50,86,121,750
50,86,120,750
50,86,121,750
50,86,121,750
49,86,120,751
50,86,120,751
50,86,121,751
50,86,120,750
50,86,120,750
50,86,120,750
49,85,120,750
49,85,120,749
50,86,120,750
50,86,120,750
49,85,120,750
50,86,120,751
50,86,120,751
50,86,120,751
50,85,120,751
50,86,120,752
49,85,120,752
50,86,120,751
50,86,120,753
49,86,120,753
50,86,120,753
50,86,120,752
49,86,120,753
50,86,120,753
50,86,120,753
49,86,120,753
50,86,120,754
50,86,120,755
50,86,120,753
50,86,120,752
50,86,119,753
50,85,120,752
50,86,119,752
49,86,119,753
50,86,120,752
49,85,120,753
50,85,120,752
49,86,119,752
50,86,119,752
50,85,119,751
49,86,119,752
49,85,120,751
50,85,119,752
49,86,119,751
49,86,119,751
49,85,120,752
50,86,119,751
49,85,119,752
50,85,120,752
50,85,119,752
49,85,119,751
49,86,119,752
49,85,119,752
49,85,118,751
49,85,119,752
50,85,119,751
49,85,119,751
50,85,119,751
50,85,119,752
50,85,118,751
49,85,118,751
50,85,119,751
50,84,119,751
50,85,119,752
49,85,118,751
49,85,119,752
50,85,119,752
50,85,119,752
50,85,119,752
50,85,119,752
50,85,119,752
50,85,119,753
50,85,119,753
50,85,119,752
49,85,119,752
50,85,119,752
50,85,119,753
50,85,118,752
50,85,118,752
50,85,119,753
50,85,119,752
50,85,119,753
50,85,119,753
50,85,119,752
50,85,119,752
49,85,118,752
50,85,118,752
50,85,119,752
49,85,118,753
50,85,119,752
50,85,119,753
49,85,118,753
50,85,119,752
50,85,119,751
50,85,119,752
50,85,118,752
50,85,119,752
50,84,119,752
49,85,118,752
50,85,119,752
49,85,119,753
