NO2,C2H5OH,VOC,CO
126,170,299,854
126,171,299,855
124,170,298,855
124,170,299,856
123,170,299,857
123,170,299,858
124,170,301,860
124,171,302,862
124,172,304,863
125,172,305,865
126,171,306,865
127,171,307,867
127,171,309,867
127,171,310,867
128,171,311,867
128,171,311,868
127,169,311,867
127,169,310,866
126,168,310,865
126,167,311,865
125,167,312,865
125,167,311,865
124,168,312,865
124,168,313,866
125,169,313,867
125,169,316,869
126,169,317,869
127,168,317,869
126,168,318,869
127,168,319,869
126,168,320,870
127,168,322,871
127,169,322,871
127,168,323,872
128,169,324,872
128,170,326,874
130,169,328,874
131,170,329,876
132,169,331,876
132,169,331,875
132,168,332,876
131,168,333,875
131,167,333,875
131,167,334,874
131,166,333,874
130,166,333,874
129,166,334,875
130,167,334,875
129,166,334,876
129,166,334,876
129,167,334,876
130,167,334,877
129,167,334,877
130,167,334,878
130,165,334,876
129,165,334,877
129,165,334,876
129,164,334,877
128,164,334,876
127,164,335,877
127,163,336,877
127,163,337,877
128,164,338,879
128,164,338,878
128,163,338,878
128,164,338,879
128,164,337,878
126,162,335,878
126,163,333,877
126,162,332,875
126,163,329,876
125,163,330,876
125,163,329,877
125,162,329,877
125,163,329,877
125,163,328,878
124,163,329,879
125,163,330,879
126,163,331,880
126,162,331,879
126,161,331,878
126,161,331,878
125,161,330,877
124,161,330,878
125,161,332,878
125,160,333,877
124,160,332,878
124,159,332,877
124,160,332,877
123,158,331,876
123,158,330,876
122,158,329,875
122,158,327,875
120,157,325,874
120,158,325,874
120,158,325,875
119,158,326,875
119,158,326,876
119,158,325,876
119,158,326,878
119,159,325,878
120,160,326,879
120,160,327,881
122,158,328,881
121,158,329,881
121,158,329,881
122,158,329,881
121,157,328,880
121,158,326,879
120,157,327,878
120,158,326,880
120,158,328,880
121,157,329,882
121,157,329,880
121,157,329,880
120,157,328,881
121,157,328,881
120,157,329,881
121,157,328,881
120,156,328,881
120,156,328,881
120,156,328,881
120,156,330,882
120,156,330,882
120,156,330,883
120,155,330,883
120,156,330,883
120,156,330,882
120,157,330,882
121,157,330,883
121,158,331,884
121,158,332,886
122,157,332,886
122,158,332,885
122,157,331,887
123,159,332,887
124,159,332,888
124,159,332,888
124,159,333,889
125,159,334,889
126,160,334,889
126,160,334,889
127,160,334,888
127,160,334,889
127,160,334,889
128,160,335,890
129,159,336,889
129,160,337,889
129,159,337,889
129,159,337,888
128,159,336,887
129,160,336,887
128,160,338,887
129,160,339,889
129,160,339,888
129,159,339,889
130,160,339,888
130,161,340,889
131,161,341,890
131,161,341,889
131,161,340,889
131,161,339,889
131,161,337,887
131,161,337,887
131,161,336,886
131,160,335,886
131,160,334,885
131,160,334,884
130,161,333,885
131,161,334,887
132,162,337,888
132,162,337,887
132,162,337,888
133,162,338,888
132,162,337,888
134,162,337,888
133,162,337,888
134,161,337,888
133,162,338,889
134,162,338,889
134,163,339,889
134,163,338,889
135,164,338,890
135,164,339,890
136,163,338,890
136,163,338,889
135,163,339,890
135,164,338,890
136,164,337,889
135,165,336,889
136,165,336,889
136,165,335,889
137,165,335,889
137,165,335,889
137,165,335,889
137,165,335,889
138,166,335,889
137,165,334,888
137,165,333,888
137,166,333,887
138,166,333,888
138,166,333,889
138,166,332,889
138,166,332,888
138,166,333,889
138,166,333,889
137,166,333,889
137,167,334,889
139,167,335,890
139,167,336,890
138,167,335,889
139,167,335,889
140,167,335,889
140,167,334,889
139,166,334,889
139,166,332,887
138,166,332,886
138,166,330,885
137,166,331,885
137,165,329,884
137,165,329,884
136,165,328,884
136,166,329,884
136,166,328,884
137,166,329,885
137,166,329,884
136,166,329,886
138,167,331,886
137,167,331,886
138,166,330,886
137,166,330,885
137,166,329,884
137,166,328,884
136,167,328,883
137,166,327,883
137,167,328,883
137,167,327,883
138,167,328,884
139,168,328,885
138,168,329,886
139,168,331,888
140,168,330,888
140,167,332,888
139,167,332,887
139,167,332,887
139,168,332,887
139,167,333,888
139,167,333,888
139,166,332,887
138,166,332,887
137,166,331,887
137,166,330,887
137,166,329,885
136,166,328,886
136,166,328,886
135,166,328,886
135,166,328,886
135,165,327,885
134,165,326,885
134,165,325,885
134,165,323,884
133,166,323,884
133,165,322,883
133,165,322,883
133,164,320,883
132,165,321,883
132,165,321,883
132,165,321,883
132,165,319,882
131,164,319,881
130,165,317,879
130,164,317,880
131,165,317,880
131,165,317,880
131,165,316,880
131,165,317,880
131,165,317,882
131,165,317,882
132,165,318,881
132,165,317,881
132,166,317,881
132,165,317,881
132,166,316,882
133,166,318,883
133,166,318,884
132,166,318,884
133,165,319,884
132,164,319,884
132,165,318,884
132,164,317,884
132,164,316,883
131,164,316,883
131,165,315,883
131,165,314,882
131,165,315,882
130,164,314,881
131,164,314,882
131,165,315,883
130,165,314,883
131,165,313,882
131,164,313,881
131,164,313,881
131,164,311,879
130,163,310,878
129,164,310,877
129,164,309,877
129,164,309,876
130,164,310,876
131,165,310,877
131,164,311,878
132,165,312,878
131,164,312,879
132,164,312,879
132,165,313,878
131,164,312,878
131,164,312,877
130,163,311,877
130,164,311,876
130,163,309,876
129,163,309,876
129,163,309,875
130,163,309,877
130,164,310,877
130,165,310,878
131,164,311,879
131,165,312,880
131,165,313,881
131,165,313,882
131,165,313,881
131,164,313,882
131,164,313,880
131,164,312,880
131,164,311,880
131,164,311,879
130,164,311,879
129,164,310,878
129,164,310,878
129,163,310,878
130,164,311,879
130,164,311,878
129,164,310,879
130,164,311,880
130,164,312,881
131,165,312,882
131,165,312,881
131,164,311,880
131,164,311,880
