NO2,C2H5OH,VOC,CO
61,112,131,799
61,113,132,801
65,115,137,806
66,116,139,808
67,115,138,805
67,115,138,804
67,115,138,805
68,115,138,804
68,114,138,803
66,114,138,802
67,114,137,802
67,113,137,801
66,114,136,800
66,113,136,801
66,114,136,800
66,113,136,800
65,113,136,799
65,113,135,799
66,112,136,798
65,113,135,798
65,113,135,798
66,113,135,798
65,112,135,798
65,113,135,798
65,112,135,798
65,112,135,799
65,112,135,800
65,113,134,801
66,112,135,800
65,113,135,801
66,114,135,802
66,114,136,804
67,114,136,805
68,115,137,807
68,115,137,808
69,115,138,808
70,116,138,809
70,116,138,809
71,116,139,811
73,117,139,812
74,118,140,813
74,118,141,812
75,118,141,815
76,119,142,815
77,120,143,815
79,120,143,816
80,120,144,817
80,121,145,817
81,121,146,819
82,122,146,818
83,122,146,818
83,122,146,819
84,122,148,820
84,123,147,820
85,123,149,820
85,123,149,820
86,124,149,821
87,124,150,821
88,125,151,822
88,125,151,822
89,125,152,822
89,125,153,823
90,126,153,824
91,127,154,824
91,126,154,825
91,127,154,824
92,128,155,825
92,128,156,826
94,128,157,826
94,129,157,826
96,129,158,827
97,130,160,828
98,130,160,829
100,131,160,830
101,132,162,830
102,132,162,832
102,133,164,831
103,133,164,832
104,133,165,833
105,134,166,833
106,135,166,833
107,134,168,833
108,135,168,834
109,135,170,833
109,136,170,834
109,136,171,834
110,136,171,835
110,137,172,835
111,137,173,835
111,137,173,835
112,138,174,835
112,139,174,836
113,139,175,836
114,139,176,837
115,140,177,838
116,140,178,838
115,140,179,838
117,141,180,839
118,142,180,839
117,142,181,838
118,142,182,838
119,142,182,839
119,143,183,840
120,143,184,841
120,144,185,841
121,144,186,841
121,144,186,841
122,145,187,841
123,144,187,842
122,144,187,842
122,145,188,841
123,145,188,841
123,146,188,841
123,145,189,840
123,145,189,841
123,145,190,842
124,146,191,843
124,146,193,843
125,147,193,843
124,147,194,844
125,147,196,847
127,148,199,848
128,148,201,850
129,148,202,849
129,149,203,849
130,149,203,848
131,149,203,847
131,149,203,848
131,149,205,847
131,149,205,848
131,150,205,848
132,149,205,847
132,149,206,848
133,150,206,848
132,150,207,847
133,150,207,846
134,150,208,848
134,151,209,848
134,150,209,848
134,151,209,849
134,151,210,848
135,151,211,849
135,151,211,848
135,151,211,850
134,151,211,850
135,152,211,849
135,151,212,849
135,152,213,849
135,152,213,849
136,152,213,850
136,153,215,852
137,153,216,853
138,153,218,854
138,153,219,854
139,152,219,853
139,153,219,853
139,153,221,852
139,152,220,852
138,152,221,852
138,152,221,851
137,152,220,850
137,152,220,851
137,152,222,851
137,153,222,852
137,153,223,853
137,154,224,854
138,153,225,854
138,153,226,854
138,153,226,855
139,154,228,856
139,154,229,857
140,155,230,858
141,155,230,857
141,155,231,856
141,154,230,856
141,155,231,856
142,155,231,856
142,155,232,856
142,155,232,857
142,156,233,857
143,156,233,858
143,156,233,858
143,156,233,858
143,156,234,858
144,157,234,858
143,157,235,857
143,156,234,857
143,157,235,858
144,156,235,858
144,157,235,857
144,156,237,858
144,157,237,859
145,157,239,859
145,157,238,859
146,158,239,859
145,158,240,860
146,158,241,860
147,158,241,861
147,158,242,860
147,159,242,861
