NO2,C2H5OH,VOC,CO
94,143,254,829
94,144,253,832
94,144,251,834
93,143,249,830
92,141,246,826
92,140,245,822
90,140,243,821
90,140,242,819
89,139,240,818
88,138,239,817
88,138,239,815
87,138,237,813
87,136,236,813
86,136,235,813
86,136,234,812
85,136,233,811
85,136,232,811
84,136,231,812
84,135,230,811
83,135,230,812
83,134,229,812
83,135,228,814
83,136,228,817
84,137,228,821
86,137,230,824
88,138,231,827
91,140,234,832
94,141,237,835
97,142,240,837
101,143,243,841
104,145,247,845
108,147,251,848
114,148,255,852
118,150,261,856
120,150,265,859
123,151,270,861
124,152,272,864
125,153,275,865
126,153,277,866
127,153,278,866
126,154,279,867
126,155,280,867
127,154,280,868
127,155,281,870
127,156,282,871
128,157,284,873
129,156,285,875
128,157,285,876
128,157,285,876
128,157,284,877
128,157,284,877
127,158,284,876
129,159,285,877
129,159,286,879
131,160,287,881
132,161,288,883
134,162,289,885
135,163,290,886
136,163,291,888
136,164,291,888
138,164,291,889
138,165,292,890
139,166,292,891
138,166,292,891
138,166,291,891
138,167,290,891
138,167,292,892
137,167,292,892
137,167,292,893
137,168,292,893
137,168,292,893
137,168,292,895
136,169,292,895
136,169,292,896
136,169,292,897
136,169,293,896
135,170,293,897
135,170,293,898
135,170,293,898
135,169,294,899
135,170,295,900
135,170,295,899
136,170,295,900
136,170,296,901
135,170,296,902
135,171,297,902
136,170,297,903
135,171,297,904
135,171,298,904
136,170,299,904
135,170,299,904
134,171,300,905
135,171,301,906
135,171,300,907
135,171,299,906
134,171,299,906
134,171,299,906
133,172,299,906
134,172,299,907
134,172,299,908
133,171,298,908
132,171,298,907
133,171,299,909
133,172,300,909
133,172,299,909
133,171,299,910
133,171,298,909
132,172,299,910
132,172,299,911
132,172,299,911
131,172,299,912
131,172,298,911
130,171,298,911
130,171,299,910
130,171,299,911
130,171,300,912
130,172,300,911
130,171,299,911
130,171,299,911
130,171,300,912
130,171,300,912
130,171,300,913
129,171,301,914
130,171,301,914
130,171,301,914
130,171,301,915
129,172,300,915
129,171,300,915
129,171,300,914
129,170,300,914
129,171,300,915
128,171,301,916
129,171,302,916
129,172,302,915
129,171,302,916
129,171,300,917
128,171,301,916
129,171,300,915
129,171,300,915
129,171,299,914
128,170,300,914
127,170,301,915
128,170,301,914
128,171,301,915
128,171,301,915
128,170,301,916
127,170,301,915
128,170,300,914
128,170,300,914
127,170,300,914
127,170,299,914
126,169,301,914
127,170,300,914
127,170,301,914
127,170,302,915
127,170,302,916
128,171,302,917
128,170,301,917
127,170,301,916
127,170,300,917
127,170,300,916
126,169,299,915
126,169,299,916
126,169,299,914
125,169,299,914
125,169,299,914
125,169,298,914
124,169,298,914
125,169,298,915
124,170,298,915
124,169,298,916
124,169,298,916
124,169,298,915
124,169,298,916
124,168,298,916
124,169,298,916
123,168,297,916
124,168,297,916
123,169,297,916
124,168,296,916
123,169,296,916
123,168,296,916
123,168,296,917
123,168,297,917
123,168,297,917
123,169,297,917
123,168,298,918
123,169,296,917
123,169,296,918
123,169,296,918
122,169,295,917
122,169,296,918
122,169,296,917
122,169,296,917
122,169,296,917
122,169,297,918
122,168,296,918
123,169,296,918
122,169,296,918
122,169,296,916
122,169,296,917
122,169,295,916
123,169,296,918
122,169,297,918
123,169,297,917
122,169,296,918
123,169,296,918
122,169,296,917
123,169,297,918
123,169,297,918
123,169,298,918
123,169,298,919
123,170,297,919
123,170,297,919
123,170,298,919
123,169,297,919
123,169,296,919
122,169,296,919
123,169,296,918
123,169,295,917
123,169,296,918
123,169,296,917
123,168,296,918
123,169,296,918
122,169,295,918
123,169,296,918
123,169,295,918
122,168,294,918
123,169,295,918
122,169,295,918
122,168,294,918
122,168,294,917
122,168,294,917
121,168,294,917
122,169,294,917
122,168,295,917
122,168,295,918
122,168,296,919
122,169,296,919
122,169,296,919
122,168,294,919
121,168,294,918
122,168,294,918
122,168,293,919
