NO2,C2H5OH,VOC,CO
822.0,901.0,847.0,669.0
821.0,900.0,846.0,686.0
820.0,900.0,846.0,670.0
820.0,900.0,846.0,694.0
822.0,900.0,847.0,749.0
824.0,902.0,849.0,802.0
828.0,904.0,851.0,825.0
830.0,905.0,853.0,808.0
831.0,907.0,853.0,824.0
832.0,907.0,855.0,828.0
832.0,908.0,855.0,822.0
832.0,907.0,855.0,812.0
831.0,907.0,855.0,810.0
831.0,907.0,855.0,816.0
831.0,906.0,856.0,804.0
828.0,905.0,855.0,794.0
827.0,904.0,855.0,809.0
828.0,904.0,855.0,807.0
827.0,904.0,855.0,790.0
825.0,902.0,855.0,795.0
825.0,904.0,855.0,814.0
826.0,903.0,856.0,824.0
828.0,904.0,856.0,831.0
828.0,905.0,856.0,813.0
828.0,904.0,857.0,812.0
828.0,905.0,857.0,829.0
829.0,905.0,856.0,821.0
827.0,904.0,856.0,809.0
827.0,904.0,856.0,823.0
828.0,904.0,856.0,826.0
828.0,905.0,856.0,832.0
829.0,905.0,858.0,831.0
830.0,906.0,857.0,819.0
829.0,906.0,856.0,800.0
828.0,906.0,856.0,800.0
827.0,904.0,856.0,816.0
829.0,905.0,856.0,843.0
833.0,907.0,858.0,862.0
836.0,910.0,858.0,866.0
839.0,911.0,858.0,860.0
839.0,912.0,859.0,862.0
838.0,911.0,859.0,844.0
836.0,908.0,859.0,824.0
834.0,908.0,857.0,825.0
833.0,908.0,858.0,826.0
833.0,907.0,858.0,839.0
835.0,910.0,859.0,858.0
838.0,911.0,859.0,861.0
840.0,912.0,859.0,868.0
841.0,914.0,859.0,872.0
843.0,915.0,859.0,874.0
844.0,915.0,861.0,875.0
845.0,916.0,861.0,870.0
846.0,918.0,860.0,869.0
846.0,917.0,861.0,865.0
847.0,917.0,861.0,860.0
847.0,917.0,860.0,851.0
844.0,915.0,859.0,835.0
838.0,913.0,859.0,782.0
832.0,908.0,856.0,731.0
