NO2,C2H5OH,VOC,CO
163,371,490,877
162,370,488,878
161,368,486,877
160,368,484,878
158,367,481,880
157,366,481,883
156,365,479,884
154,364,477,886
154,363,474,887
153,362,473,887
151,361,472,887
150,360,469,888
150,360,468,888
149,359,467,889
148,358,465,891
147,357,463,892
146,356,462,895
145,356,460,897
144,355,459,898
143,354,457,902
142,353,456,905
141,353,455,911
141,353,454,915
140,352,452,919
138,351,451,923
138,351,451,926
138,350,449,927
137,350,448,930
136,349,447,933
136,350,446,935
136,349,445,937
135,348,444,939
135,348,443,942
134,348,443,943
133,347,442,945
133,347,441,947
132,347,440,948
131,346,437,951
131,345,435,952
131,345,436,954
130,345,435,955
129,345,434,957
130,345,434,959
129,345,433,959
129,344,432,960
129,344,432,961
128,343,431,961
128,343,430,962
127,342,430,964
127,342,429,965
127,342,428,965
126,340,427,965
126,340,426,965
126,340,425,964
125,340,425,965
125,340,426,966
125,340,427,968
126,340,429,970
126,340,430,972
126,339,430,973
125,339,429,974
125,339,431,975
125,339,432,976
126,339,432,977
125,338,430,978
125,337,428,977
125,337,427,977
125,337,426,977
125,337,426,977
124,337,427,977
125,336,427,978
125,336,429,980
125,336,429,979
125,336,430,980
124,337,431,982
125,336,431,981
125,336,430,982
124,335,428,982
125,335,429,982
125,335,429,983
124,335,429,983
124,334,430,983
124,334,429,983
124,333,430,983
124,334,431,984
125,334,432,985
125,335,433,985
125,334,433,986
125,334,433,986
124,333,431,986
125,332,430,985
124,332,430,986
124,331,428,984
124,330,427,984
123,329,426,984
123,328,425,982
123,327,423,982
122,327,423,981
122,326,422,980
122,327,423,980
123,326,423,981
122,325,424,981
122,324,423,981
122,325,422,981
121,325,422,980
121,324,422,981
122,325,422,981
122,325,423,982
121,325,423,982
121,325,423,983
122,325,422,984
121,324,422,984
121,324,422,984
121,324,421,985
121,323,421,985
121,323,420,984
121,321,419,983
120,321,419,983
120,320,419,983
120,320,419,983
119,320,418,983
119,319,416,982
119,318,416,981
119,318,414,981
118,318,414,981
118,318,415,982
118,318,416,982
118,318,415,982
118,317,413,982
118,316,413,982
118,315,413,982
118,315,412,982
117,315,412,982
117,315,413,982
117,315,415,983
116,315,415,983
117,315,415,984
117,315,415,984
117,314,416,984
117,315,415,985
117,315,415,985
117,315,415,985
117,314,414,986
117,313,416,986
117,313,417,985
117,313,417,986
117,313,417,985
116,312,415,986
117,312,414,985
116,311,413,985
116,311,411,984
116,311,411,984
115,310,412,985
116,311,413,985
116,310,414,986
116,310,414,986
116,310,414,986
116,310,415,986
116,310,415,987
116,309,413,987
116,309,412,986
115,309,411,986
115,309,413,987
116,309,413,987
115,309,413,987
115,309,414,988
116,309,414,988
115,309,414,988
115,308,413,989
115,307,412,987
115,308,411,987
115,308,412,987
115,307,413,987
115,307,413,988
115,307,414,988
115,307,414,988
115,305,413,988
115,305,412,988
114,305,411,988
114,305,411,988
115,305,412,987
114,304,413,988
115,304,412,987
115,305,413,987
115,305,414,989
115,305,414,989
115,305,414,989
115,305,414,989
115,304,414,990
115,303,413,989
115,302,411,989
114,301,409,988
114,300,408,987
115,301,410,987
114,300,410,987
114,300,410,987
114,299,408,987
113,298,407,986
114,298,407,986
113,298,407,986
113,297,406,986
113,298,407,986
113,299,408,986
113,299,409,988
113,299,408,988
113,299,408,988
113,299,408,988
113,298,408,988
113,298,408,988
113,297,407,988
113,297,406,988
113,297,406,987
113,297,406,987
113,297,406,988
113,297,407,988
112,297,407,988
112,296,407,988
113,295,406,988
113,296,407,988
112,296,406,989
113,294,406,988
112,294,404,987
112,294,404,987
112,293,404,986
112,293,404,987
112,293,404,987
112,293,404,986
112,293,405,987
112,293,406,987
112,293,406,987
112,292,405,987
112,292,403,988
112,292,403,987
112,292,402,987
112,292,402,986
112,292,402,987
112,291,401,987
111,290,401,987
111,291,402,987
111,290,402,988
111,291,403,988
111,290,402,988
111,289,401,988
111,288,400,987
110,288,399,987
110,288,398,986
110,289,400,987
110,288,400,987
110,288,400,987
110,287,400,987
109,287,400,987
110,287,399,987
109,287,399,987
109,285,397,987
109,285,397,986
109,285,396,985
109,284,395,985
109,284,396,985
109,284,396,985
109,284,396,985
109,284,395,985
109,284,395,985
109,283,394,985
109,283,393,985
108,282,394,984
108,281,392,984
108,281,392,983
107,280,391,983
107,280,391,983
108,280,390,983
107,280,391,983
107,279,391,984
107,279,389,983
106,278,387,982
107,277,386,981
106,276,385,981
106,277,385,980
106,277,387,981
106,277,387,981
106,277,387,981
106,277,386,982
106,277,386,982
106,276,386,982
106,276,385,982
105,275,385,982
105,275,384,982
105,274,383,981
105,274,383,982
105,274,383,981
104,274,382,982
104,273,383,981
105,273,383,982
104,274,383,981
105,274,384,983
104,274,384,983
104,273,384,983
103,273,383,983
104,273,382,983
104,273,382,984
104,273,383,983
104,273,384,984
104,273,384,984
104,273,385,984
103,273,383,984
104,273,383,985
104,273,383,985
104,272,383,985
103,272,382,985
104,272,383,985
103,273,383,985
103,273,385,986
103,272,385,987
103,272,385,986
103,272,384,987
104,271,383,985
102,270,382,985
103,269,380,984
103,268,379,983
102,268,379,983
102,269,379,983
102,269,380,984
102,270,381,984
103,270,382,986
103,270,382,985
103,270,382,986
103,270,381,986
103,269,381,986
103,269,380,986
103,270,382,986
103,269,382,986
103,270,382,987
103,269,383,987
103,269,382,987
103,269,382,987
103,269,382,987
103,269,382,987
102,269,381,987
103,268,380,987
102,267,378,986
102,266,376,985
102,265,375,984
101,265,375,984
102,265,376,983
102,266,376,984
101,266,377,984
101,265,375,984
101,265,375,984
101,264,374,983
101,263,371,983
101,262,371,982
101,262,371,982
100,262,370,982
100,261,370,981
100,261,368,980
100,261,369,980
100,260,370,980
100,260,370,980
100,260,369,981
99,259,370,982
99,260,370,982
99,259,370,982
99,259,370,981
99,259,369,982
99,259,369,981
99,259,369,982
99,259,368,981
98,259,367,981
99,258,367,982
99,258,367,981
98,257,368,981
99,258,368,982
99,258,368,982
98,259,369,983
98,258,368,983
98,259,368,983
99,259,368,983
99,259,370,985
98,259,371,985
99,259,370,985
99,258,369,985
99,257,367,984
98,257,366,983
97,256,365,983
98,256,366,983
98,256,367,983
98,255,366,983
98,256,367,983
98,255,367,983
98,255,368,983
98,255,368,984
98,255,368,984
98,255,368,985
98,255,368,984
98,254,367,984
98,254,365,983
98,253,364,983
98,254,365,983
98,253,366,983
97,254,365,983
98,254,366,983
97,254,367,984
97,253,365,984
97,253,364,983
97,253,363,984
97,253,364,983
97,253,365,984
98,253,366,984
98,253,366,984
97,252,365,985
97,253,366,985
97,254,366,985
97,253,367,986
97,253,366,985
97,253,365,985
97,253,365,985
97,252,366,986
97,252,366,985
97,252,366,985
97,251,365,985
97,252,365,985
97,251,365,985
97,252,364,985
97,252,363,984
97,251,362,985
96,250,362,984
96,249,362,984
95,249,362,984
96,249,361,983
95,249,360,983
96,249,360,982
96,249,360,983
96,249,360,983
96,248,360,983
96,248,361,984
95,248,362,984
96,248,360,983
96,248,360,983
95,248,360,984
95,248,360,984
95,247,359,984
95,247,358,983
95,248,358,984
95,248,359,984
96,248,359,985
95,247,359,984
95,248,359,985
95,248,359,985
95,247,360,985
95,248,360,986
95,248,360,985
95,248,360,985
95,248,361,985
95,247,361,986
95,247,361,986
95,247,361,986
95,247,359,985
95,247,359,985
94,246,358,985
95,247,358,985
95,246,360,984
95,246,359,984
95,246,357,984
94,246,357,984
95,245,356,984
94,245,356,984
94,245,356,983
94,245,355,984
94,245,356,983
95,244,355,983
94,244,355,982
94,243,354,982
94,243,355,983
94,243,356,983
93,244,357,983
93,243,356,983
93,243,356,984
94,243,356,983
94,243,356,984
94,242,356,983
94,243,357,984
94,243,358,984
96,242,357,985
95,242,356,984
96,242,357,984
95,242,357,984
95,242,357,984
95,241,356,984
96,241,356,984
95,241,355,984
96,242,356,984
96,240,354,984
95,239,353,983
94,240,354,983
95,239,355,983
94,240,355,984
95,239,355,983
96,239,354,984
94,239,355,984
95,239,355,984
96,240,355,984
96,239,355,984
95,238,353,984
95,238,353,983
95,237,352,983
95,238,354,983
94,238,354,983
95,238,356,984
95,238,355,984
95,238,355,984
94,238,354,984
95,237,353,984
95,237,352,983
95,236,350,982
94,236,348,982
94,236,349,981
94,236,350,982
94,235,350,982
94,235,351,983
94,235,349,982
93,235,349,983
93,235,349,982
93,234,349,982
92,234,347,981
91,234,347,981
91,234,347,981
92,234,349,982
92,234,350,982
93,234,349,983
92,235,349,983
92,235,351,984
92,235,352,984
92,235,351,985
92,236,349,985
92,235,349,985
92,235,350,984
92,236,350,985
93,235,350,984
92,234,349,985
92,234,350,984
