NO2,C2H5OH,VOC,CO
59,145,207,901
59,144,207,900
58,144,206,899
59,143,205,898
59,144,205,897
58,143,205,896
58,143,203,894
57,142,204,894
57,143,203,891
57,143,203,891
57,142,202,890
57,142,202,889
57,142,201,888
57,142,201,887
57,141,200,887
56,140,200,886
56,141,199,884
56,141,199,884
56,141,199,884
56,140,198,884
56,140,198,885
56,140,197,887
56,140,198,890
55,140,197,894
55,140,197,898
55,140,197,901
54,140,197,904
55,140,197,906
55,140,197,908
55,140,197,910
55,140,197,914
55,140,198,918
55,141,197,919
55,141,196,919
55,140,197,919
54,140,196,920
55,140,197,921
55,140,196,922
55,141,197,925
54,141,198,928
55,141,197,931
55,142,198,934
54,141,198,935
54,142,198,936
55,141,198,936
54,142,198,937
55,141,199,939
55,142,199,940
55,141,199,940
55,142,198,940
54,142,198,939
55,141,197,938
55,141,197,937
55,141,196,936
55,141,197,936
54,141,198,937
55,141,197,939
54,141,200,944
54,142,199,945
55,142,200,947
55,142,201,947
55,142,201,948
56,142,201,948
55,143,201,949
55,143,202,951
56,142,203,952
56,143,203,954
55,143,202,954
56,144,203,954
56,143,202,955
55,144,203,955
55,144,204,956
56,144,204,956
56,144,205,957
56,144,204,957
56,144,204,957
56,144,205,957
56,144,205,957
56,144,205,958
56,145,205,959
56,145,206,960
56,145,206,960
57,145,206,960
56,145,207,961
57,145,207,962
57,146,207,962
57,146,207,962
57,145,208,962
57,146,207,962
57,146,207,962
57,145,206,962
57,146,206,962
57,145,204,961
57,145,204,959
57,145,205,959
57,144,204,958
57,143,203,956
56,143,202,954
57,144,204,953
57,143,204,953
57,144,204,954
57,144,204,954
57,144,204,954
57,144,205,954
57,144,205,954
58,144,204,955
58,144,204,955
58,144,204,955
58,143,204,954
58,144,205,954
58,144,205,955
58,144,206,955
57,144,206,955
58,143,205,954
58,143,205,954
57,143,205,953
58,143,205,954
58,144,205,955
58,144,205,955
58,144,205,956
58,144,205,957
58,144,205,957
58,144,204,957
58,144,204,956
58,144,205,956
58,144,206,957
58,144,207,958
58,145,207,959
58,145,207,960
58,145,208,960
59,145,207,960
58,144,207,959
58,144,206,958
58,143,205,957
58,144,206,957
58,143,207,957
59,144,208,958
58,144,208,959
59,145,208,960
59,144,209,960
59,144,209,960
59,144,209,961
59,145,209,961
59,145,209,961
59,145,208,961
59,145,208,961
59,145,209,961
59,144,208,959
59,143,206,958
59,143,207,956
60,143,207,956
59,144,208,957
60,144,208,957
60,144,208,957
60,143,208,957
60,144,207,957
59,143,207,956
59,142,206,955
59,142,206,953
59,143,206,953
60,142,207,952
60,142,207,952
60,143,207,954
60,143,207,954
60,143,207,955
59,143,207,955
60,143,207,956
60,143,208,957
60,144,208,958
60,144,208,958
60,143,208,958
60,143,208,957
60,143,209,958
60,144,210,958
61,145,211,960
60,145,211,961
61,145,211,963
61,146,212,964
62,146,212,965
62,146,213,966
62,146,212,967
62,146,211,966
62,146,211,966
62,146,211,966
62,146,212,966
62,146,212,965
62,146,212,965
62,146,212,965
62,146,212,966
62,146,212,966
62,146,212,966
62,145,212,965
62,146,212,965
62,145,212,964
62,145,211,964
62,145,212,964
62,146,212,964
62,145,214,965
62,146,213,965
62,146,214,966
63,147,214,967
63,147,214,966
63,147,214,967
63,147,215,968
63,147,215,969
63,147,215,969
63,148,215,969
63,148,215,969
63,147,215,969
64,147,215,969
63,148,216,969
63,147,215,970
64,147,214,969
63,148,215,969
64,147,215,969
64,148,215,968
64,147,214,968
64,146,214,967
63,146,213,966
63,146,213,965
63,146,213,964
64,146,213,964
64,145,212,963
63,145,211,961
63,144,210,960
63,144,210,959
63,144,210,960
63,144,210,958
63,145,211,958
63,145,211,959
63,144,211,960
64,145,212,960
63,145,212,961
64,145,212,961
63,144,211,960
63,144,212,960
64,145,212,959
63,144,211,959
63,144,211,958
63,144,210,958
63,143,211,958
63,144,210,957
63,144,211,957
63,143,211,958
63,143,211,958
63,143,211,958
63,143,210,958
63,143,209,957
63,143,210,956
63,143,210,956
63,143,210,957
63,143,211,957
63,143,209,957
63,143,209,957
63,143,210,958
63,143,211,959
63,143,211,959
63,144,211,959
63,143,211,959
63,142,211,959
63,143,210,960
63,142,210,960
63,143,210,960
63,143,210,961
63,143,210,961
63,143,211,961
63,144,211,961
63,143,210,962
63,144,212,962
63,144,212,963
63,144,212,962
63,144,210,961
63,143,210,960
63,143,210,959
63,143,211,959
63,143,210,959
63,142,210,958
63,142,209,957
63,141,208,955
62,141,208,954
63,141,207,953
63,141,208,952
62,141,208,952
63,141,208,953
63,141,209,953
62,141,209,955
62,141,208,956
62,141,209,956
62,141,208,956
62,141,208,956
62,141,208,957
63,141,209,957
63,141,209,957
62,142,209,958
62,141,208,958
62,142,209,958
63,141,208,958
63,140,208,956
62,140,207,954
62,140,207,953
62,140,207,953
62,140,207,952
61,139,207,953
62,140,207,952
62,140,208,953
62,140,207,953
62,140,207,953
62,140,207,953
62,140,207,954
62,140,208,954
62,141,207,955
62,140,208,955
62,140,207,955
62,140,208,955
62,140,208,955
62,140,209,955
62,139,209,956
62,140,209,956
62,140,208,956
62,140,208,956
62,139,208,956
62,139,207,955
61,139,207,954
61,138,206,953
62,138,206,952
62,138,205,952
62,138,206,952
61,138,206,952
61,138,206,953
62,138,206,953
62,138,206,952
61,138,206,952
61,138,206,953
61,138,207,953
61,138,207,952
61,138,207,952
62,138,207,952
61,138,206,951
61,138,206,951
61,138,206,951
61,138,207,952
61,138,206,952
62,138,206,954
61,138,207,954
61,138,208,955
61,138,207,954
61,138,207,954
62,138,207,954
61,138,207,954
62,138,207,954
61,138,208,955
61,138,208,955
62,138,208,956
62,138,207,956
62,137,207,956
61,138,207,956
61,138,207,956
61,138,208,956
61,138,208,957
61,139,208,958
