NO2,C2H5OH,VOC,CO
40,67,96,768
39,67,94,768
40,67,95,768
39,67,94,767
38,67,95,766
39,67,95,766
39,67,94,766
39,67,94,767
39,66,94,765
38,67,94,766
38,67,94,765
38,67,94,766
38,67,93,766
39,67,93,765
39,67,93,766
39,67,94,766
38,67,93,766
38,67,93,766
38,67,93,766
38,67,93,767
38,67,93,768
38,67,92,767
37,67,93,768
38,67,93,768
37,67,93,768
38,67,93,768
37,67,93,768
38,67,93,769
37,67,93,769
38,67,93,769
38,67,92,769
37,67,93,769
38,67,93,770
38,67,92,770
37,67,92,769
37,67,92,769
38,67,92,769
38,67,92,770
37,67,92,771
38,67,92,771
37,67,92,770
38,67,92,771
38,67,92,771
37,67,92,771
37,67,91,772
38,67,92,772
38,67,92,773
37,68,92,774
37,67,92,774
38,67,92,774
38,68,92,775
37,67,92,774
37,67,92,774
37,67,92,774
37,68,92,774
37,67,92,774
37,68,92,774
38,67,92,774
37,67,91,774
37,68,92,775
37,68,91,775
37,67,91,775
38,68,91,775
37,68,91,776
37,67,91,775
37,68,91,776
37,67,91,776
38,68,92,776
37,68,91,776
38,68,91,777
37,67,91,776
37,68,91,776
37,68,91,777
38,68,91,778
37,68,91,777
37,68,91,777
38,67,91,777
38,67,91,777
37,67,91,778
37,68,91,778
38,68,91,778
37,68,91,778
37,68,91,778
38,68,91,778
37,68,91,779
37,68,91,778
37,68,91,778
38,68,91,778
37,68,91,778
37,68,91,778
37,68,91,779
37,68,91,779
38,68,91,779
37,68,91,779
37,68,91,779
37,67,91,779
37,68,91,780
37,68,91,780
38,68,90,780
37,68,91,780
37,68,90,780
37,68,91,780
37,68,91,779
38,68,91,781
37,68,91,781
37,68,91,782
37,68,90,782
37,68,91,783
37,68,91,782
38,68,91,782
38,68,91,782
37,68,90,782
38,68,91,782
38,68,91,783
38,68,91,783
37,68,91,783
38,68,91,783
38,68,91,783
38,68,90,783
37,68,91,783
37,68,90,782
38,68,90,783
37,68,90,782
38,68,91,782
38,68,91,782
37,68,90,783
37,68,91,782
38,68,91,783
38,68,91,783
38,68,90,783
38,68,91,783
38,68,91,784
38,68,91,784
38,69,91,785
38,68,91,785
38,68,91,785
38,68,91,787
38,68,91,787
38,69,91,787
38,69,91,787
38,68,91,787
38,69,91,787
38,68,91,788
38,69,91,788
38,68,91,788
38,69,91,790
38,68,91,789
38,68,91,790
38,69,92,790
38,68,91,789
39,68,91,789
38,68,91,789
38,67,91,789
38,68,91,788
38,68,91,788
38,68,91,787
38,68,91,787
38,68,91,787
38,68,91,787
38,68,91,788
38,68,91,788
38,68,91,788
38,68,91,788
38,68,92,790
38,68,92,791
39,68,91,790
38,68,92,791
39,68,91,791
38,68,91,791
39,68,92,791
38,68,91,791
39,68,92,792
38,69,92,792
38,69,91,792
39,69,92,792
38,68,92,792
39,69,91,791
39,68,92,791
39,69,91,791
39,68,92,791
38,69,91,791
39,69,92,791
39,69,92,791
38,69,91,791
39,69,91,792
39,69,92,792
39,68,92,792
39,69,92,792
39,68,92,793
39,68,91,792
39,69,92,793
39,69,92,792
39,68,92,792
39,69,92,792
39,69,92,792
39,69,92,792
39,68,91,791
39,68,91,792
39,68,91,791
39,69,92,792
39,69,92,792
39,68,92,793
39,69,92,794
39,69,92,794
39,69,92,794
39,69,92,795
39,69,92,794
39,69,92,795
39,69,92,795
39,69,92,794
39,69,92,795
40,69,92,795
39,69,92,795
39,69,92,795
39,69,92,795
40,69,92,794
39,69,92,795
39,69,92,796
40,69,92,796
40,69,92,795
39,69,92,796
40,69,92,797
39,69,92,796
39,69,92,796
39,69,92,797
40,69,93,798
40,69,92,797
39,69,92,797
39,69,92,797
40,69,92,797
40,69,92,797
40,69,92,796
40,69,93,796
40,69,92,796
40,69,92,795
40,69,92,796
40,69,92,796
40,69,92,796
40,69,92,796
40,69,92,796
40,69,92,796
40,69,93,796
40,68,92,796
40,69,92,796
40,69,92,795
39,69,93,796
40,69,92,796
40,69,93,796
40,69,93,797
40,69,92,796
39,69,93,797
40,69,92,797
40,69,92,797
40,69,93,798
40,69,92,799
39,69,93,798
39,70,92,799
40,70,93,799
40,69,93,799
40,70,93,800
40,70,93,800
40,70,93,800
40,69,93,800
40,70,93,800
41,69,93,800
40,70,93,800
41,70,93,801
40,70,93,801
40,70,94,801
40,69,93,801
40,70,93,801
41,70,93,801
40,70,93,800
40,69,93,801
40,70,93,801
40,70,93,801
40,69,94,801
40,69,93,800
41,70,93,801
41,70,93,801
40,70,93,800
40,70,93,801
40,69,94,801
40,70,94,802
41,69,93,801
40,70,93,801
40,70,93,800
41,70,93,800
41,70,93,800
41,70,93,800
41,69,94,801
41,70,94,800
41,69,94,800
41,69,93,801
41,70,94,801
40,70,93,801
41,70,93,801
41,69,93,801
41,70,93,801
41,70,93,801
41,70,93,800
41,70,94,801
41,69,94,801
40,70,94,800
41,70,93,800
41,70,93,800
41,70,93,799
41,70,93,800
41,69,93,800
41,70,93,800
41,69,94,800
41,69,93,800
41,70,94,801
41,70,94,801
41,70,94,800
41,70,94,801
41,70,94,802
41,70,93,802
41,70,94,802
41,70,94,801
41,70,94,802
41,70,94,802
41,70,94,802
41,70,94,801
41,70,94,802
42,70,94,802
42,70,94,802
41,70,94,802
41,70,94,802
41,70,94,803
42,70,94,802
41,70,94,802
41,70,94,802
41,70,94,803
41,70,94,802
42,70,94,802
41,70,94,803
41,70,94,802
42,70,94,803
41,70,94,803
41,70,95,804
41,70,94,804
42,70,94,804
41,70,94,805
42,70,95,805
42,71,95,805
41,70,95,805
42,70,95,805
42,70,94,804
41,70,95,804
42,71,95,804
42,70,95,804
42,70,94,804
42,71,95,804
42,69,94,804
41,70,95,804
42,70,94,803
42,70,94,803
41,70,95,802
42,70,95,802
42,70,95,803
41,70,95,802
42,69,94,802
41,70,94,802
41,70,94,802
42,70,94,802
42,70,94,803
42,70,95,803
42,70,95,804
42,70,95,803
42,70,94,802
41,70,94,801
41,70,94,800
42,69,94,799
42,69,94,799
41,70,94,799
42,70,94,799
42,70,94,799
42,69,94,799
42,70,94,799
42,70,94,800
42,70,94,801
42,70,94,801
41,70,95,802
41,70,95,803
41,70,95,803
42,70,95,804
42,70,95,805
42,71,95,804
42,70,95,805
42,70,95,805
42,70,95,806
42,70,95,805
42,70,95,805
42,70,96,804
42,70,94,804
42,70,94,804
42,70,95,805
42,70,95,804
42,70,95,803
42,70,95,804
42,70,95,804
42,70,95,805
42,70,95,805
42,70,95,805
42,70,96,805
42,70,96,805
42,71,95,805
42,70,95,806
42,70,95,806
41,70,96,807
42,70,95,807
42,71,95,807
42,70,95,807
42,71,95,807
42,71,96,808
43,70,95,808
42,70,95,807
42,71,96,807
42,70,96,807
42,71,96,807
42,71,96,806
42,71,96,807
42,70,95,805
42,70,95,805
42,70,96,804
42,69,96,804
42,70,95,804
42,70,96,804
42,70,96,804
42,70,96,804
43,70,96,804
42,70,95,804
42,70,96,804
42,70,95,804
42,70,95,804
43,71,95,805
42,70,95,805
42,70,96,805
42,70,96,805
43,71,95,805
42,70,95,804
42,70,95,804
43,70,95,803
42,70,96,803
43,69,95,803
42,70,96,802
42,70,95,802
42,70,96,802
42,70,95,802
42,70,96,802
42,70,95,802
43,70,96,803
42,70,96,803
42,70,96,804
43,71,96,804
43,71,95,804
42,71,96,804
