NO2,C2H5OH,VOC,CO
215.0,343.0,192.0,188.0
216.0,343.0,192.0,187.0
216.0,344.0,193.0,189.0
217.0,346.0,194.0,189.0
217.0,347.0,194.0,188.0
216.0,347.0,194.0,188.0
216.0,348.0,195.0,189.0
217.0,349.0,196.0,189.0
217.0,351.0,197.0,191.0
219.0,353.0,197.0,193.0
219.0,354.0,198.0,194.0
220.0,354.0,199.0,194.0
219.0,355.0,200.0,193.0
220.0,356.0,200.0,191.0
219.0,356.0,200.0,189.0
220.0,357.0,201.0,189.0
220.0,358.0,200.0,189.0
220.0,358.0,200.0,189.0
220.0,358.0,202.0,189.0
220.0,360.0,201.0,188.0
220.0,361.0,201.0,189.0
220.0,361.0,201.0,190.0
221.0,362.0,202.0,189.0
222.0,363.0,203.0,190.0
222.0,364.0,204.0,191.0
224.0,366.0,204.0,192.0
224.0,368.0,205.0,193.0
225.0,369.0,206.0,194.0
226.0,371.0,207.0,196.0
227.0,372.0,208.0,198.0
228.0,374.0,209.0,199.0
228.0,374.0,210.0,199.0
227.0,375.0,209.0,198.0
228.0,375.0,211.0,197.0
227.0,375.0,211.0,197.0
228.0,375.0,210.0,194.0
226.0,375.0,210.0,191.0
224.0,375.0,209.0,188.0
222.0,374.0,208.0,187.0
221.0,373.0,209.0,186.0
220.0,372.0,208.0,185.0
221.0,373.0,206.0,184.0
223.0,375.0,207.0,187.0
224.0,376.0,207.0,189.0
223.0,376.0,207.0,191.0
220.0,376.0,207.0,189.0
218.0,376.0,207.0,188.0
218.0,375.0,207.0,188.0
219.0,376.0,208.0,190.0
218.0,376.0,208.0,191.0
218.0,376.0,208.0,189.0
217.0,375.0,208.0,188.0
217.0,376.0,208.0,187.0
217.0,376.0,209.0,187.0
218.0,377.0,208.0,188.0
218.0,377.0,209.0,190.0
218.0,378.0,209.0,192.0
220.0,379.0,211.0,194.0
220.0,380.0,211.0,195.0
220.0,380.0,212.0,194.0
