NO2,C2H5OH,VOC,CO
319.0,478.0,312.0,247.0
320.0,477.0,312.0,247.0
319.0,478.0,311.0,247.0
319.0,478.0,312.0,248.0
319.0,477.0,312.0,248.0
319.0,477.0,313.0,248.0
320.0,478.0,312.0,249.0
319.0,478.0,313.0,249.0
319.0,478.0,313.0,249.0
320.0,478.0,312.0,248.0
319.0,478.0,313.0,248.0
319.0,478.0,313.0,249.0
319.0,479.0,313.0,249.0
319.0,478.0,312.0,250.0
319.0,479.0,312.0,250.0
320.0,478.0,313.0,249.0
319.0,478.0,313.0,250.0
320.0,479.0,313.0,248.0
320.0,478.0,313.0,249.0
319.0,479.0,313.0,249.0
320.0,479.0,313.0,250.0
319.0,479.0,313.0,251.0
319.0,478.0,313.0,251.0
321.0,478.0,313.0,251.0
319.0,479.0,313.0,251.0
321.0,478.0,313.0,251.0
321.0,479.0,313.0,251.0
321.0,479.0,313.0,251.0
321.0,478.0,313.0,251.0
320.0,478.0,313.0,251.0
320.0,478.0,313.0,251.0
320.0,479.0,313.0,251.0
320.0,479.0,312.0,251.0
321.0,479.0,313.0,251.0
320.0,479.0,313.0,252.0
321.0,478.0,313.0,251.0
319.0,479.0,314.0,251.0
320.0,479.0,313.0,252.0
320.0,479.0,313.0,252.0
321.0,479.0,313.0,251.0
322.0,478.0,313.0,251.0
322.0,479.0,313.0,252.0
320.0,478.0,314.0,252.0
319.0,479.0,313.0,252.0
320.0,478.0,313.0,252.0
321.0,478.0,313.0,252.0
320.0,479.0,313.0,251.0
322.0,479.0,314.0,253.0
321.0,479.0,314.0,253.0
321.0,479.0,313.0,252.0
322.0,479.0,313.0,253.0
321.0,480.0,314.0,253.0
322.0,480.0,314.0,253.0
322.0,480.0,314.0,253.0
321.0,480.0,314.0,253.0
322.0,480.0,314.0,253.0
322.0,480.0,314.0,253.0
321.0,480.0,314.0,253.0
322.0,480.0,314.0,253.0
317.0,480.0,314.0,253.0
316.0,480.0,314.0,253.0
318.0,480.0,314.0,253.0
316.0,480.0,315.0,253.0
317.0,480.0,315.0,253.0
317.0,480.0,314.0,253.0
317.0,480.0,315.0,253.0
321.0,480.0,314.0,252.0
321.0,480.0,315.0,253.0
321.0,480.0,315.0,253.0
322.0,480.0,314.0,253.0
322.0,480.0,315.0,252.0
322.0,481.0,314.0,253.0
322.0,480.0,314.0,252.0
322.0,480.0,315.0,253.0
322.0,481.0,315.0,254.0
321.0,480.0,314.0,253.0
321.0,481.0,313.0,253.0
321.0,480.0,315.0,253.0
322.0,480.0,314.0,254.0
323.0,480.0,314.0,254.0
323.0,480.0,314.0,255.0
322.0,480.0,315.0,254.0
318.0,480.0,315.0,254.0
318.0,480.0,314.0,254.0
320.0,480.0,315.0,254.0
320.0,480.0,315.0,255.0
321.0,480.0,314.0,254.0
320.0,480.0,314.0,255.0
320.0,481.0,314.0,256.0
319.0,481.0,315.0,256.0
