NO2,C2H5OH,VOC,CO
52,92,107,756
52,92,107,756
52,92,107,756
52,92,107,756
52,91,106,756
52,92,106,757
52,92,107,757
51,92,106,757
51,92,106,757
51,92,106,757
50,92,106,757
51,92,106,758
51,92,106,757
51,92,105,758
51,92,106,757
50,92,105,758
51,91,105,758
50,92,105,758
50,92,105,758
50,91,105,759
50,91,104,758
50,91,105,759
50,91,105,758
50,91,105,758
50,92,104,759
50,91,104,758
50,91,104,758
49,91,104,759
49,91,104,758
50,91,104,759
49,92,104,759
49,92,104,759
49,91,104,759
49,91,104,759
48,92,103,759
48,91,103,759
48,91,103,759
49,91,103,759
49,91,102,759
49,91,103,759
49,91,103,760
49,91,103,760
49,91,103,760
49,91,103,760
48,91,103,760
49,91,103,761
49,91,103,760
49,92,103,761
49,92,104,761
49,92,103,761
49,92,103,762
49,92,103,762
49,92,103,762
49,91,103,762
48,92,103,763
48,92,103,763
49,92,104,763
49,92,103,763
49,92,103,764
49,92,104,764
49,91,103,764
49,92,103,764
48,92,103,764
49,92,104,764
50,92,103,764
49,92,103,763
49,92,103,764
49,92,103,763
49,92,103,763
49,91,103,764
49,91,103,763
49,92,103,763
48,92,103,763
49,91,103,764
49,92,103,764
49,92,103,763
49,92,103,763
49,92,103,763
50,92,102,764
50,92,103,764
49,92,103,765
50,92,103,765
50,92,104,765
50,91,103,764
50,92,104,764
50,92,103,764
50,91,103,764
50,91,103,764
50,92,102,764
49,92,103,764
50,92,103,763
49,91,103,763
50,92,104,764
50,92,104,765
50,91,103,764
50,91,104,765
51,92,104,765
50,92,103,765
50,92,104,765
51,91,103,766
50,92,104,765
50,92,103,766
50,92,104,766
51,92,104,765
50,92,103,765
50,92,104,765
50,92,104,766
50,92,104,765
50,92,104,766
50,92,104,765
51,92,104,765
51,92,104,765
51,92,104,766
50,92,104,765
51,92,104,766
50,92,104,766
51,92,104,765
51,92,104,766
50,91,104,765
51,92,104,765
51,92,104,765
51,92,104,765
51,92,104,765
51,92,104,765
51,92,104,765
51,92,105,765
51,92,104,766
51,92,104,766
51,92,104,766
51,92,104,765
51,92,104,765
51,92,104,765
51,92,104,765
52,92,104,764
51,91,104,764
52,92,104,765
52,92,104,765
51,92,104,765
52,91,104,765
51,92,104,765
51,92,105,765
51,92,104,764
52,91,104,764
52,91,104,765
52,91,104,765
52,92,105,765
51,92,104,765
52,92,105,764
52,92,105,765
52,92,104,765
52,92,105,765
52,92,104,765
52,92,104,765
52,92,105,765
52,92,105,765
51,92,104,764
52,92,104,765
52,92,105,764
52,92,105,764
52,91,104,764
53,92,104,764
52,92,104,764
52,92,105,765
52,92,104,765
53,91,105,765
53,92,105,765
52,92,104,764
52,91,104,764
52,91,105,764
53,92,104,764
52,91,104,764
53,91,105,764
52,92,105,764
52,92,105,764
53,91,105,764
53,92,105,764
53,92,105,765
53,91,106,764
53,92,105,765
53,91,105,765
53,91,105,764
53,92,105,765
53,91,105,764
53,91,105,764
53,91,106,764
53,92,106,765
53,91,105,765
53,92,105,765
54,91,106,764
54,92,106,765
54,92,105,764
54,91,105,764
53,91,105,764
53,92,105,764
54,91,106,763
54,92,105,764
53,92,105,763
54,91,105,764
53,92,106,763
53,92,105,763
53,91,106,763
54,92,106,764
54,92,106,764
54,92,106,765
53,92,106,765
53,92,106,765
53,92,106,766
54,92,106,765
54,92,106,765
54,92,106,765
54,92,106,764
55,92,106,765
54,92,106,764
54,92,106,765
54,92,106,764
54,92,106,764
54,92,106,764
54,92,106,764
54,92,106,763
54,92,106,763
54,92,106,763
55,91,106,763
54,92,106,764
55,92,106,764
54,92,106,764
55,92,106,763
55,92,106,763
55,92,107,763
55,92,106,763
55,91,106,763
55,91,106,763
54,92,106,762
54,92,107,763
54,91,106,763
55,92,106,762
55,92,106,763
55,92,107,763
55,92,107,762
55,92,106,763
54,92,106,763
55,91,106,762
55,92,106,762
55,91,106,762
54,92,106,762
55,91,107,763
55,92,107,763
55,92,107,762
55,92,106,763
55,92,107,762
55,92,107,762
55,91,106,762
55,92,106,762
55,92,107,762
55,91,106,762
54,92,106,762
55,91,107,762
55,91,106,761
55,92,107,761
55,91,107,762
54,92,106,762
55,91,107,761
55,91,106,762
55,91,107,761
55,91,106,762
55,92,107,762
55,91,107,762
55,91,107,762
55,92,107,761
55,92,107,762
55,91,107,762
55,91,107,762
55,91,107,762
56,91,107,761
55,91,106,761
55,91,107,761
56,91,107,762
56,91,108,762
55,92,107,762
56,91,107,761
55,91,107,761
55,92,107,762
56,91,107,761
55,92,107,761
55,91,107,762
55,92,107,761
55,91,107,761
56,91,107,761
56,92,107,761
56,92,107,761
56,92,107,761
55,92,108,761
56,91,107,762
56,92,108,762
56,91,108,761
55,92,107,761
55,92,107,761
56,91,107,761
56,91,108,760
56,91,108,761
56,91,108,761
56,92,107,761
56,91,108,762
56,92,108,761
56,92,107,761
56,92,107,761
56,92,108,762
56,91,108,761
56,91,108,762
56,92,108,761
56,92,108,761
56,92,108,761
57,91,108,762
56,92,108,762
56,92,108,762
57,91,108,761
57,92,108,761
56,92,109,761
56,92,108,761
56,92,108,762
57,92,109,761
56,92,108,761
56,92,108,761
57,92,108,761
56,92,108,761
56,92,109,761
56,92,109,761
57,92,109,762
57,91,109,762
56,92,109,761
57,92,108,762
57,92,109,761
57,92,109,761
56,92,109,761
57,92,108,761
56,92,108,761
56,92,109,762
57,92,109,762
57,92,109,762
57,92,109,763
56,92,109,762
57,92,109,761
57,92,109,761
57,92,109,761
57,92,109,761
57,91,109,761
57,92,109,761
57,92,109,760
57,91,109,760
57,91,108,760
57,92,108,760
56,92,108,760
57,92,108,759
57,92,108,760
56,92,109,760
56,92,109,760
57,92,108,760
57,92,108,760
57,91,108,760
57,92,109,761
57,92,110,761
57,92,109,761
57,92,110,761
57,92,109,762
57,92,109,762
57,92,109,761
56,92,109,761
57,92,109,761
57,92,110,761
57,92,109,761
57,92,109,760
57,92,109,761
57,92,109,761
57,92,109,760
56,92,109,760
57,92,109,760
57,92,109,760
57,91,109,759
57,91,109,760
56,91,108,760
57,91,109,760
57,91,109,759
57,92,109,759
57,91,109,759
57,91,109,760
57,92,109,760
57,92,110,760
57,92,109,760
57,92,109,760
57,92,109,760
57,92,110,760
57,92,109,759
57,92,109,759
57,91,109,759
57,92,109,759
56,91,110,759
57,91,109,758
57,92,110,758
57,92,110,759
57,92,109,759
57,92,109,759
57,92,110,759
57,92,109,760
57,92,109,760
57,91,109,759
57,91,109,759
57,91,109,759
57,91,109,759
57,92,110,759
57,92,109,759
57,92,110,759
57,92,109,760
58,92,110,759
58,92,109,760
58,92,110,759
57,92,109,759
57,91,110,759
58,91,109,760
57,91,110,759
57,91,110,759
57,92,110,759
57,91,110,760
57,92,110,759
57,92,110,759
58,92,110,759
57,92,110,759
58,92,110,759
58,92,110,759
57,91,110,759
57,92,110,759
58,92,111,759
57,92,110,759
57,92,110,758
57,92,110,758
58,91,110,759
58,92,110,759
57,91,109,758
58,92,110,758
57,91,110,758
58,91,110,758
57,91,110,758
57,91,110,758
57,92,110,759
57,92,110,758
58,92,110,758
57,92,110,758
57,91,109,758
57,92,111,759
57,91,110,759
58,92,110,758
57,91,109,759
58,92,110,758
58,92,110,758
58,92,110,758
58,92,110,758
58,91,109,759
57,92,110,758
57,92,109,758
58,91,110,758
57,92,110,758
58,91,110,758
58,92,110,758
57,91,110,758
57,92,111,759
58,92,110,759
58,92,111,759
58,92,110,758
58,91,110,758
58,92,110,758
58,91,110,758
58,91,110,757
58,92,110,758
58,91,110,757
58,92,110,757
57,91,110,757
57,91,110,757
58,91,110,757
58,91,109,757
58,91,110,756
58,91,110,757
58,91,109,757
58,91,110,757
58,91,110,757
57,92,110,757
58,91,110,757
58,92,110,757
58,91,110,758
58,92,111,757
58,92,110,758
58,91,110,757
58,92,111,757
57,92,110,757
58,91,110,757
58,91,111,757
57,92,111,757
57,92,111,757
57,91,110,756
58,92,110,757
58,91,111,757
58,92,110,757
58,91,110,757
58,91,110,756
58,92,110,757
57,91,110,757
57,91,110,757
58,91,110,756
58,91,110,756
57,91,110,756
58,91,110,756
58,91,110,756
58,91,110,756
58,91,110,755
58,91,110,756
58,91,110,755
57,91,110,755
57,91,110,755
