timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,308.0,838.0,734.0,677.0
100.0,307.0,837.0,734.0,674.0
200.0,308.0,837.0,733.0,669.0
300.0,307.0,836.0,733.0,663.0
400.0,307.0,836.0,733.0,661.0
500.0,307.0,835.0,731.0,656.0
600.0,307.0,834.0,731.0,656.0
700.0,307.0,834.0,730.0,659.0
800.0,307.0,832.0,729.0,662.0
900.0,307.0,832.0,729.0,672.0
1000.0,305.0,833.0,728.0,686.0
1100.0,306.0,832.0,728.0,702.0
1200.0,304.0,833.0,728.0,721.0
1300.0,304.0,833.0,727.0,740.0
1400.0,304.0,834.0,727.0,756.0
1500.0,303.0,834.0,727.0,772.0
1600.0,302.0,835.0,727.0,782.0
1700.0,302.0,835.0,726.0,788.0
1800.0,300.0,833.0,726.0,788.0
1900.0,300.0,833.0,726.0,782.0
2000.0,299.0,832.0,724.0,773.0
2100.0,298.0,832.0,724.0,761.0
2200.0,297.0,830.0,722.0,750.0
2300.0,297.0,829.0,722.0,739.0
2400.0,296.0,828.0,722.0,727.0
2500.0,296.0,827.0,720.0,717.0
2600.0,295.0,826.0,719.0,708.0
2700.0,295.0,825.0,719.0,701.0
2800.0,294.0,824.0,718.0,696.0
2900.0,294.0,824.0,718.0,692.0
3000.0,292.0,822.0,716.0,688.0
3100.0,292.0,822.0,717.0,680.0
3200.0,291.0,820.0,716.0,672.0
3300.0,291.0,818.0,714.0,662.0
3400.0,290.0,816.0,714.0,650.0
3500.0,288.0,816.0,713.0,641.0
3600.0,288.0,814.0,712.0,634.0
3700.0,288.0,813.0,710.0,629.0
3800.0,288.0,812.0,710.0,628.0
3900.0,287.0,811.0,710.0,630.0
4000.0,286.0,810.0,708.0,633.0
4100.0,287.0,809.0,709.0,642.0
4200.0,286.0,809.0,708.0,653.0
4300.0,286.0,810.0,709.0,670.0
4400.0,286.0,809.0,709.0,689.0
4500.0,286.0,810.0,709.0,710.0
4600.0,285.0,810.0,708.0,729.0
4700.0,284.0,810.0,709.0,746.0
4800.0,285.0,811.0,711.0,760.0
4900.0,284.0,811.0,711.0,768.0
5000.0,284.0,811.0,711.0,774.0
5100.0,283.0,811.0,712.0,775.0
5200.0,282.0,811.0,713.0,774.0
5300.0,283.0,810.0,712.0,769.0
5400.0,282.0,810.0,713.0,762.0
5500.0,282.0,810.0,713.0,752.0
5600.0,281.0,809.0,712.0,742.0
5700.0,280.0,808.0,713.0,730.0
5800.0,279.0,808.0,711.0,718.0
5900.0,278.0,807.0,710.0,705.0
6000.0,278.0,807.0,710.0,696.0
6100.0,278.0,805.0,708.0,685.0
6200.0,277.0,804.0,707.0,674.0
6300.0,277.0,803.0,706.0,665.0
6400.0,275.0,802.0,705.0,655.0
6500.0,275.0,801.0,703.0,645.0
6600.0,276.0,800.0,702.0,637.0
6700.0,276.0,799.0,700.0,630.0
6800.0,275.0,798.0,699.0,626.0
6900.0,274.0,799.0,698.0,631.0
7000.0,275.0,799.0,697.0,648.0
7100.0,274.0,800.0,697.0,677.0
7200.0,274.0,801.0,697.0,712.0
7300.0,275.0,803.0,697.0,746.0
7400.0,274.0,807.0,697.0,777.0
7500.0,274.0,810.0,698.0,801.0
7600.0,275.0,813.0,700.0,820.0
7700.0,274.0,815.0,702.0,834.0
7800.0,275.0,818.0,704.0,844.0
7900.0,275.0,821.0,706.0,850.0
8000.0,276.0,822.0,707.0,856.0
8100.0,276.0,824.0,709.0,857.0
8200.0,276.0,826.0,712.0,858.0
8300.0,277.0,828.0,713.0,857.0
8400.0,277.0,829.0,714.0,855.0
8500.0,277.0,831.0,716.0,852.0
8600.0,278.0,832.0,718.0,848.0
8700.0,279.0,833.0,719.0,845.0
8800.0,279.0,834.0,720.0,842.0
8900.0,279.0,835.0,721.0,837.0
9000.0,280.0,836.0,723.0,833.0
9100.0,280.0,838.0,724.0,829.0
9200.0,280.0,837.0,724.0,826.0
9300.0,281.0,839.0,725.0,826.0
9400.0,281.0,839.0,726.0,823.0
9500.0,281.0,840.0,727.0,824.0
9600.0,282.0,840.0,727.0,824.0
9700.0,282.0,842.0,728.0,826.0
9800.0,282.0,842.0,729.0,827.0
9900.0,283.0,843.0,730.0,830.0
10000.0,282.0,843.0,731.0,832.0
10100.0,283.0,843.0,732.0,835.0
10200.0,284.0,845.0,734.0,838.0
10300.0,285.0,845.0,734.0,841.0
10400.0,285.0,846.0,735.0,844.0
10500.0,285.0,846.0,737.0,847.0
10600.0,285.0,848.0,738.0,850.0
10700.0,285.0,848.0,739.0,853.0
10800.0,286.0,848.0,740.0,855.0
10900.0,286.0,849.0,742.0,858.0
11000.0,286.0,849.0,741.0,859.0
11100.0,287.0,850.0,743.0,861.0
11200.0,287.0,849.0,743.0,862.0
11300.0,287.0,849.0,744.0,863.0
11400.0,287.0,850.0,744.0,863.0
11500.0,286.0,849.0,745.0,861.0
11600.0,286.0,849.0,745.0,858.0
11700.0,287.0,848.0,746.0,856.0
11800.0,286.0,848.0,747.0,852.0
11900.0,287.0,848.0,747.0,850.0
12000.0,287.0,848.0,746.0,846.0
12100.0,287.0,847.0,746.0,842.0
12200.0,286.0,847.0,747.0,839.0
12300.0,286.0,847.0,746.0,835.0
12400.0,286.0,847.0,745.0,833.0
12500.0,286.0,847.0,746.0,830.0
12600.0,286.0,847.0,745.0,826.0
12700.0,286.0,847.0,744.0,824.0
12800.0,285.0,847.0,744.0,822.0
12900.0,285.0,847.0,744.0,819.0
13000.0,284.0,847.0,742.0,818.0
13100.0,284.0,846.0,743.0,817.0
13200.0,284.0,846.0,741.0,817.0
13300.0,284.0,847.0,741.0,819.0
13400.0,283.0,847.0,741.0,821.0
13500.0,284.0,848.0,740.0,824.0
13600.0,283.0,848.0,740.0,827.0
13700.0,283.0,849.0,740.0,834.0
13800.0,284.0,850.0,740.0,840.0
13900.0,284.0,850.0,740.0,847.0
14000.0,284.0,851.0,740.0,854.0
14100.0,284.0,852.0,741.0,861.0
14200.0,284.0,853.0,742.0,868.0
14300.0,285.0,854.0,742.0,874.0
14400.0,285.0,855.0,744.0,879.0
14500.0,285.0,856.0,744.0,884.0
14600.0,287.0,858.0,746.0,887.0
14700.0,287.0,858.0,747.0,890.0
14800.0,288.0,858.0,748.0,892.0
14900.0,288.0,859.0,749.0,893.0
15000.0,290.0,859.0,750.0,893.0
15100.0,289.0,859.0,751.0,893.0
15200.0,290.0,860.0,752.0,890.0
15300.0,291.0,861.0,753.0,890.0
15400.0,291.0,861.0,753.0,887.0
15500.0,292.0,862.0,753.0,884.0
15600.0,293.0,862.0,754.0,880.0
15700.0,293.0,861.0,755.0,876.0
15800.0,293.0,861.0,756.0,873.0
15900.0,294.0,862.0,756.0,868.0
16000.0,294.0,862.0,757.0,865.0
16100.0,294.0,862.0,756.0,860.0
16200.0,295.0,861.0,756.0,856.0
16300.0,294.0,860.0,757.0,852.0
16400.0,294.0,861.0,757.0,850.0
16500.0,295.0,861.0,758.0,846.0
16600.0,295.0,860.0,757.0,846.0
16700.0,295.0,860.0,757.0,844.0
16800.0,295.0,859.0,757.0,845.0
16900.0,295.0,860.0,757.0,845.0
17000.0,295.0,860.0,758.0,845.0
17100.0,295.0,859.0,757.0,847.0
17200.0,295.0,860.0,756.0,847.0
17300.0,295.0,860.0,758.0,847.0
17400.0,295.0,859.0,759.0,847.0
