timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,321.0,869.0,770.0,842.0
100.0,322.0,869.0,770.0,832.0
200.0,323.0,869.0,770.0,821.0
300.0,323.0,869.0,769.0,810.0
400.0,322.0,868.0,770.0,798.0
500.0,323.0,868.0,769.0,789.0
600.0,323.0,868.0,768.0,780.0
700.0,324.0,868.0,768.0,775.0
800.0,324.0,868.0,767.0,773.0
900.0,324.0,867.0,766.0,776.0
1000.0,325.0,867.0,766.0,783.0
1100.0,325.0,867.0,766.0,796.0
1200.0,325.0,868.0,765.0,809.0
1300.0,325.0,868.0,766.0,823.0
1400.0,325.0,868.0,766.0,837.0
1500.0,326.0,868.0,765.0,849.0
1600.0,326.0,869.0,766.0,859.0
1700.0,326.0,870.0,767.0,868.0
1800.0,327.0,871.0,766.0,875.0
1900.0,327.0,871.0,767.0,879.0
2000.0,327.0,872.0,768.0,882.0
2100.0,330.0,873.0,769.0,885.0
2200.0,329.0,874.0,770.0,887.0
2300.0,329.0,875.0,772.0,888.0
2400.0,331.0,875.0,772.0,890.0
2500.0,331.0,877.0,774.0,893.0
2600.0,331.0,877.0,776.0,898.0
2700.0,331.0,878.0,776.0,905.0
2800.0,331.0,877.0,778.0,911.0
2900.0,332.0,878.0,780.0,916.0
3000.0,332.0,878.0,780.0,920.0
3100.0,331.0,879.0,780.0,922.0
3200.0,331.0,878.0,781.0,921.0
3300.0,330.0,877.0,782.0,919.0
3400.0,330.0,877.0,781.0,917.0
3500.0,330.0,879.0,782.0,915.0
3600.0,329.0,879.0,781.0,912.0
3700.0,329.0,878.0,781.0,912.0
3800.0,330.0,879.0,782.0,911.0
3900.0,331.0,880.0,782.0,910.0
4000.0,329.0,880.0,783.0,908.0
4100.0,330.0,881.0,783.0,905.0
4200.0,329.0,880.0,784.0,902.0
4300.0,331.0,881.0,784.0,897.0
4400.0,331.0,881.0,784.0,894.0
4500.0,331.0,881.0,784.0,890.0
4600.0,332.0,881.0,784.0,888.0
4700.0,332.0,881.0,785.0,886.0
4800.0,332.0,881.0,784.0,886.0
4900.0,332.0,882.0,784.0,885.0
5000.0,332.0,881.0,785.0,887.0
5100.0,334.0,882.0,785.0,888.0
5200.0,334.0,882.0,786.0,890.0
5300.0,334.0,882.0,785.0,891.0
5400.0,334.0,882.0,786.0,892.0
5500.0,334.0,882.0,787.0,895.0
5600.0,335.0,882.0,786.0,894.0
5700.0,335.0,883.0,788.0,895.0
5800.0,336.0,883.0,788.0,896.0
5900.0,336.0,882.0,788.0,894.0
6000.0,336.0,882.0,789.0,893.0
6100.0,336.0,882.0,789.0,892.0
6200.0,337.0,882.0,790.0,889.0
6300.0,336.0,882.0,789.0,885.0
6400.0,336.0,882.0,788.0,881.0
6500.0,337.0,881.0,789.0,876.0
6600.0,337.0,882.0,788.0,870.0
6700.0,337.0,880.0,789.0,863.0
6800.0,336.0,880.0,788.0,856.0
6900.0,336.0,879.0,787.0,848.0
7000.0,335.0,878.0,787.0,841.0
7100.0,335.0,878.0,786.0,832.0
7200.0,335.0,877.0,785.0,825.0
7300.0,334.0,877.0,784.0,820.0
7400.0,334.0,876.0,783.0,815.0
7500.0,333.0,875.0,782.0,812.0
7600.0,334.0,875.0,780.0,810.0
7700.0,332.0,874.0,779.0,810.0
7800.0,331.0,874.0,778.0,811.0
7900.0,332.0,874.0,778.0,812.0
8000.0,332.0,873.0,778.0,814.0
8100.0,331.0,873.0,776.0,816.0
8200.0,332.0,874.0,775.0,818.0
8300.0,332.0,873.0,775.0,820.0
8400.0,331.0,873.0,775.0,820.0
8500.0,331.0,873.0,775.0,821.0
8600.0,332.0,872.0,775.0,821.0
8700.0,331.0,873.0,775.0,821.0
8800.0,330.0,873.0,773.0,819.0
8900.0,331.0,872.0,773.0,817.0
9000.0,331.0,872.0,773.0,814.0
9100.0,330.0,872.0,773.0,811.0
9200.0,331.0,872.0,773.0,808.0
9300.0,331.0,872.0,772.0,806.0
9400.0,331.0,872.0,771.0,803.0
9500.0,331.0,871.0,770.0,799.0
9600.0,331.0,871.0,771.0,798.0
9700.0,331.0,870.0,770.0,792.0
9800.0,330.0,870.0,770.0,791.0
9900.0,330.0,870.0,769.0,787.0
10000.0,330.0,870.0,768.0,785.0
10100.0,330.0,870.0,767.0,781.0
10200.0,330.0,870.0,766.0,777.0
10300.0,330.0,869.0,765.0,772.0
10400.0,329.0,869.0,765.0,767.0
10500.0,328.0,869.0,763.0,761.0
10600.0,328.0,868.0,762.0,756.0
10700.0,328.0,868.0,761.0,750.0
