timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,588.0,668.0,528.0,564.0
100.0,588.0,669.0,529.0,564.0
200.0,589.0,668.0,528.0,563.0
300.0,587.0,667.0,527.0,559.0
400.0,587.0,666.0,526.0,552.0
500.0,585.0,665.0,525.0,545.0
600.0,583.0,665.0,522.0,540.0
700.0,582.0,665.0,522.0,535.0
800.0,580.0,664.0,521.0,531.0
900.0,578.0,664.0,521.0,527.0
1000.0,577.0,665.0,521.0,525.0
1100.0,577.0,664.0,520.0,521.0
1200.0,575.0,663.0,519.0,520.0
1300.0,574.0,663.0,519.0,520.0
1400.0,573.0,662.0,516.0,517.0
1500.0,570.0,661.0,515.0,514.0
1600.0,569.0,661.0,514.0,510.0
1700.0,568.0,660.0,514.0,509.0
1800.0,566.0,659.0,514.0,507.0
1900.0,565.0,659.0,513.0,502.0
2000.0,564.0,656.0,512.0,495.0
2100.0,562.0,657.0,511.0,488.0
2200.0,561.0,656.0,511.0,481.0
2300.0,560.0,654.0,510.0,475.0
2400.0,559.0,653.0,509.0,468.0
2500.0,558.0,653.0,507.0,461.0
2600.0,556.0,651.0,508.0,453.0
2700.0,556.0,650.0,506.0,445.0
2800.0,554.0,649.0,506.0,435.0
2900.0,553.0,648.0,504.0,425.0
3000.0,552.0,647.0,505.0,417.0
3100.0,551.0,646.0,502.0,408.0
3200.0,549.0,644.0,502.0,402.0
3300.0,548.0,644.0,500.0,396.0
3400.0,545.0,643.0,499.0,396.0
3500.0,544.0,642.0,498.0,394.0
3600.0,542.0,641.0,497.0,393.0
3700.0,540.0,641.0,497.0,391.0
3800.0,538.0,641.0,495.0,391.0
3900.0,537.0,639.0,494.0,392.0
4000.0,534.0,638.0,493.0,392.0
4100.0,534.0,636.0,491.0,392.0
4200.0,531.0,635.0,490.0,390.0
4300.0,529.0,634.0,489.0,389.0
4400.0,527.0,633.0,488.0,387.0
4500.0,526.0,632.0,487.0,384.0
4600.0,524.0,632.0,486.0,381.0
4700.0,522.0,631.0,485.0,379.0
4800.0,521.0,630.0,484.0,378.0
4900.0,519.0,630.0,484.0,377.0
5000.0,518.0,631.0,484.0,380.0
5100.0,517.0,630.0,484.0,385.0
5200.0,516.0,630.0,483.0,393.0
5300.0,515.0,630.0,482.0,402.0
5400.0,514.0,630.0,483.0,412.0
5500.0,514.0,630.0,483.0,419.0
5600.0,512.0,630.0,481.0,427.0
5700.0,510.0,629.0,481.0,436.0
5800.0,511.0,628.0,480.0,442.0
5900.0,510.0,628.0,480.0,445.0
6000.0,508.0,627.0,480.0,450.0
6100.0,508.0,627.0,480.0,451.0
6200.0,506.0,627.0,479.0,454.0
6300.0,504.0,626.0,478.0,452.0
6400.0,503.0,626.0,478.0,454.0
6500.0,502.0,624.0,477.0,452.0
6600.0,501.0,624.0,476.0,451.0
6700.0,501.0,623.0,476.0,448.0
6800.0,499.0,623.0,475.0,446.0
6900.0,499.0,622.0,475.0,443.0
7000.0,496.0,622.0,473.0,440.0
7100.0,497.0,622.0,473.0,439.0
7200.0,495.0,621.0,472.0,437.0
7300.0,494.0,620.0,473.0,436.0
7400.0,494.0,620.0,472.0,434.0
7500.0,492.0,620.0,471.0,433.0
7600.0,493.0,619.0,471.0,432.0
7700.0,491.0,618.0,470.0,429.0
7800.0,491.0,617.0,469.0,427.0
7900.0,490.0,617.0,470.0,423.0
8000.0,490.0,616.0,469.0,419.0
8100.0,489.0,615.0,468.0,416.0
8200.0,489.0,615.0,468.0,412.0
8300.0,488.0,614.0,466.0,407.0
8400.0,488.0,612.0,466.0,404.0
8500.0,487.0,612.0,465.0,401.0
8600.0,486.0,610.0,464.0,398.0
8700.0,486.0,610.0,463.0,396.0
8800.0,485.0,610.0,463.0,393.0
8900.0,485.0,609.0,462.0,391.0
9000.0,484.0,609.0,461.0,390.0
9100.0,483.0,608.0,460.0,388.0
9200.0,483.0,608.0,460.0,387.0
9300.0,482.0,607.0,459.0,386.0
9400.0,481.0,606.0,458.0,384.0
9500.0,481.0,606.0,457.0,384.0
9600.0,481.0,605.0,457.0,382.0
9700.0,479.0,604.0,456.0,381.0
9800.0,479.0,604.0,455.0,379.0
9900.0,478.0,603.0,455.0,379.0
10000.0,477.0,603.0,454.0,377.0
10100.0,477.0,602.0,452.0,375.0
10200.0,476.0,601.0,453.0,375.0
10300.0,476.0,600.0,452.0,373.0
10400.0,474.0,600.0,451.0,372.0
10500.0,474.0,600.0,450.0,371.0
10600.0,473.0,599.0,450.0,370.0
10700.0,473.0,598.0,449.0,370.0
10800.0,472.0,598.0,448.0,370.0
10900.0,471.0,597.0,447.0,370.0
11000.0,470.0,596.0,447.0,372.0
11100.0,470.0,596.0,446.0,372.0
11200.0,469.0,596.0,446.0,374.0
11300.0,468.0,595.0,445.0,375.0
11400.0,468.0,595.0,445.0,378.0
11500.0,467.0,595.0,444.0,379.0
11600.0,467.0,594.0,444.0,382.0
11700.0,466.0,594.0,443.0,385.0
11800.0,465.0,593.0,443.0,387.0
11900.0,466.0,593.0,443.0,390.0
12000.0,465.0,593.0,442.0,392.0
12100.0,465.0,593.0,441.0,395.0
12200.0,465.0,593.0,441.0,397.0
12300.0,464.0,593.0,441.0,399.0
12400.0,464.0,592.0,441.0,401.0
12500.0,464.0,592.0,440.0,403.0
12600.0,464.0,592.0,440.0,403.0
12700.0,463.0,591.0,440.0,404.0
