timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,512.0,659.0,406.0,451.0
100.0,512.0,659.0,405.0,450.0
200.0,512.0,660.0,405.0,451.0
300.0,511.0,658.0,405.0,449.0
400.0,510.0,657.0,405.0,449.0
500.0,511.0,659.0,405.0,450.0
600.0,511.0,658.0,405.0,450.0
700.0,510.0,657.0,405.0,451.0
800.0,510.0,657.0,405.0,449.0
900.0,509.0,658.0,405.0,449.0
1000.0,510.0,658.0,405.0,450.0
1100.0,508.0,657.0,405.0,450.0
1200.0,509.0,657.0,404.0,449.0
1300.0,508.0,657.0,405.0,448.0
1400.0,509.0,658.0,405.0,450.0
1500.0,508.0,658.0,404.0,450.0
1600.0,508.0,658.0,405.0,449.0
1700.0,507.0,657.0,404.0,449.0
1800.0,508.0,658.0,403.0,449.0
1900.0,507.0,658.0,405.0,449.0
2000.0,506.0,658.0,405.0,449.0
2100.0,507.0,658.0,405.0,448.0
2200.0,505.0,658.0,405.0,448.0
2300.0,506.0,658.0,405.0,449.0
2400.0,506.0,657.0,405.0,449.0
2500.0,505.0,658.0,404.0,448.0
2600.0,505.0,657.0,404.0,448.0
2700.0,505.0,657.0,404.0,449.0
2800.0,504.0,657.0,404.0,448.0
2900.0,505.0,657.0,404.0,448.0
3000.0,504.0,657.0,404.0,447.0
3100.0,503.0,658.0,404.0,449.0
3200.0,503.0,658.0,404.0,448.0
3300.0,503.0,657.0,404.0,448.0
3400.0,503.0,657.0,404.0,447.0
3500.0,502.0,657.0,404.0,447.0
3600.0,502.0,657.0,404.0,447.0
3700.0,502.0,657.0,404.0,448.0
3800.0,502.0,657.0,404.0,448.0
3900.0,500.0,656.0,403.0,446.0
4000.0,500.0,657.0,403.0,446.0
4100.0,500.0,657.0,402.0,447.0
4200.0,500.0,657.0,403.0,447.0
4300.0,499.0,657.0,403.0,447.0
4400.0,500.0,657.0,403.0,447.0
4500.0,499.0,657.0,403.0,445.0
4600.0,499.0,656.0,402.0,445.0
4700.0,498.0,656.0,403.0,447.0
4800.0,497.0,657.0,403.0,446.0
4900.0,498.0,656.0,403.0,446.0
5000.0,497.0,656.0,403.0,444.0
5100.0,497.0,656.0,402.0,445.0
5200.0,497.0,657.0,403.0,445.0
5300.0,496.0,655.0,402.0,445.0
5400.0,496.0,656.0,403.0,444.0
5500.0,494.0,656.0,401.0,445.0
5600.0,494.0,656.0,403.0,445.0
5700.0,494.0,656.0,402.0,445.0
5800.0,494.0,656.0,402.0,445.0
5900.0,492.0,656.0,402.0,445.0
6000.0,494.0,656.0,402.0,444.0
6100.0,492.0,656.0,401.0,444.0
6200.0,492.0,655.0,402.0,444.0
6300.0,492.0,656.0,402.0,443.0
6400.0,491.0,655.0,402.0,443.0
6500.0,491.0,655.0,401.0,444.0
6600.0,490.0,655.0,402.0,443.0
6700.0,491.0,654.0,401.0,442.0
6800.0,489.0,655.0,401.0,445.0
6900.0,489.0,655.0,402.0,443.0
7000.0,490.0,654.0,400.0,442.0
7100.0,488.0,654.0,401.0,444.0
7200.0,488.0,655.0,401.0,443.0
7300.0,488.0,655.0,401.0,442.0
7400.0,487.0,653.0,401.0,442.0
7500.0,487.0,654.0,401.0,443.0
7600.0,486.0,653.0,400.0,443.0
7700.0,487.0,655.0,401.0,443.0
7800.0,486.0,655.0,400.0,443.0
7900.0,486.0,654.0,401.0,442.0
8000.0,485.0,654.0,400.0,442.0
8100.0,485.0,654.0,400.0,443.0
8200.0,484.0,654.0,400.0,443.0
8300.0,484.0,654.0,400.0,443.0
8400.0,485.0,654.0,400.0,443.0
8500.0,484.0,653.0,400.0,443.0
8600.0,484.0,653.0,400.0,442.0
8700.0,484.0,654.0,400.0,441.0
8800.0,483.0,653.0,400.0,442.0
8900.0,483.0,654.0,399.0,442.0
9000.0,481.0,653.0,399.0,440.0
9100.0,483.0,654.0,399.0,442.0
9200.0,482.0,654.0,400.0,443.0
9300.0,481.0,653.0,400.0,441.0
9400.0,481.0,653.0,399.0,443.0
9500.0,481.0,654.0,399.0,441.0
9600.0,481.0,653.0,398.0,442.0
9700.0,481.0,653.0,399.0,442.0
9800.0,480.0,652.0,399.0,443.0
9900.0,480.0,653.0,399.0,443.0
10000.0,480.0,653.0,398.0,444.0
10100.0,480.0,652.0,398.0,442.0
10200.0,480.0,652.0,399.0,442.0
10300.0,480.0,653.0,398.0,442.0
10400.0,480.0,653.0,398.0,444.0
10500.0,479.0,652.0,398.0,442.0
10600.0,479.0,652.0,398.0,444.0
10700.0,478.0,653.0,398.0,443.0
10800.0,478.0,654.0,398.0,442.0
10900.0,479.0,653.0,398.0,443.0
11000.0,477.0,652.0,397.0,443.0
11100.0,478.0,653.0,398.0,443.0
11200.0,478.0,653.0,398.0,443.0
11300.0,478.0,654.0,398.0,444.0
11400.0,478.0,653.0,398.0,444.0
11500.0,477.0,653.0,398.0,445.0
11600.0,478.0,652.0,398.0,444.0
11700.0,477.0,653.0,398.0,446.0
11800.0,477.0,652.0,397.0,445.0
11900.0,477.0,654.0,398.0,445.0
12000.0,477.0,652.0,397.0,446.0
12100.0,477.0,653.0,397.0,446.0
12200.0,477.0,653.0,398.0,445.0
12300.0,477.0,653.0,398.0,446.0
12400.0,477.0,653.0,398.0,446.0
12500.0,477.0,654.0,398.0,446.0
12600.0,477.0,653.0,397.0,447.0
12700.0,477.0,653.0,397.0,447.0
12800.0,477.0,653.0,397.0,449.0
12900.0,476.0,653.0,397.0,447.0
13000.0,477.0,653.0,398.0,448.0
13100.0,476.0,653.0,397.0,449.0
13200.0,477.0,654.0,397.0,450.0
13300.0,477.0,654.0,397.0,449.0
13400.0,477.0,653.0,398.0,449.0
13500.0,477.0,653.0,398.0,450.0
13600.0,477.0,653.0,397.0,450.0
13700.0,476.0,653.0,398.0,450.0
13800.0,477.0,653.0,397.0,452.0
13900.0,477.0,654.0,398.0,452.0
14000.0,477.0,654.0,397.0,451.0
14100.0,476.0,654.0,397.0,452.0
14200.0,478.0,653.0,398.0,452.0
14300.0,477.0,654.0,398.0,453.0
14400.0,478.0,654.0,398.0,453.0
14500.0,478.0,654.0,398.0,453.0
14600.0,478.0,655.0,398.0,453.0
14700.0,477.0,655.0,398.0,453.0
14800.0,477.0,654.0,398.0,455.0
14900.0,477.0,654.0,398.0,454.0
15000.0,477.0,654.0,398.0,454.0
15100.0,477.0,655.0,398.0,454.0
15200.0,478.0,655.0,398.0,454.0
15300.0,478.0,655.0,398.0,456.0
15400.0,477.0,655.0,398.0,455.0
15500.0,477.0,655.0,398.0,455.0
15600.0,477.0,654.0,399.0,455.0
15700.0,478.0,655.0,398.0,455.0
15800.0,478.0,655.0,398.0,457.0
15900.0,478.0,655.0,399.0,456.0
16000.0,479.0,655.0,399.0,456.0
