timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,780.0,858.0,773.0,274.0
100.0,781.0,859.0,774.0,277.0
200.0,781.0,858.0,775.0,281.0
300.0,782.0,859.0,776.0,284.0
400.0,783.0,858.0,777.0,287.0
500.0,783.0,858.0,778.0,288.0
600.0,785.0,859.0,779.0,292.0
700.0,785.0,859.0,780.0,293.0
800.0,785.0,859.0,781.0,295.0
900.0,786.0,859.0,782.0,296.0
1000.0,786.0,860.0,782.0,297.0
1100.0,787.0,860.0,784.0,297.0
1200.0,787.0,860.0,786.0,298.0
1300.0,789.0,861.0,786.0,298.0
1400.0,789.0,860.0,787.0,298.0
1500.0,789.0,861.0,788.0,296.0
1600.0,790.0,860.0,789.0,295.0
1700.0,790.0,860.0,790.0,295.0
1800.0,790.0,860.0,790.0,294.0
1900.0,791.0,861.0,791.0,293.0
2000.0,791.0,860.0,792.0,292.0
2100.0,791.0,860.0,792.0,291.0
2200.0,792.0,861.0,793.0,290.0
2300.0,792.0,860.0,793.0,288.0
2400.0,792.0,860.0,793.0,286.0
2500.0,792.0,859.0,794.0,287.0
2600.0,793.0,860.0,795.0,286.0
2700.0,793.0,860.0,796.0,284.0
2800.0,792.0,859.0,796.0,284.0
2900.0,793.0,860.0,797.0,284.0
3000.0,792.0,859.0,795.0,282.0
3100.0,792.0,859.0,796.0,283.0
3200.0,792.0,859.0,797.0,282.0
3300.0,792.0,859.0,797.0,281.0
3400.0,792.0,859.0,797.0,281.0
3500.0,791.0,859.0,798.0,280.0
3600.0,792.0,860.0,799.0,280.0
3700.0,791.0,859.0,797.0,280.0
3800.0,791.0,859.0,799.0,280.0
3900.0,791.0,859.0,799.0,280.0
4000.0,791.0,860.0,799.0,280.0
4100.0,791.0,860.0,800.0,282.0
4200.0,791.0,860.0,800.0,283.0
4300.0,791.0,859.0,801.0,284.0
4400.0,792.0,860.0,801.0,285.0
4500.0,790.0,861.0,801.0,287.0
4600.0,791.0,861.0,801.0,289.0
4700.0,791.0,861.0,802.0,291.0
4800.0,791.0,862.0,801.0,292.0
4900.0,790.0,861.0,802.0,294.0
5000.0,790.0,861.0,803.0,295.0
5100.0,791.0,861.0,803.0,296.0
5200.0,790.0,861.0,803.0,297.0
5300.0,790.0,861.0,804.0,297.0
5400.0,790.0,861.0,805.0,297.0
5500.0,789.0,861.0,805.0,297.0
5600.0,789.0,861.0,806.0,296.0
5700.0,787.0,860.0,805.0,295.0
5800.0,787.0,859.0,806.0,295.0
5900.0,787.0,858.0,805.0,293.0
6000.0,786.0,859.0,807.0,291.0
6100.0,785.0,858.0,807.0,290.0
6200.0,784.0,858.0,807.0,288.0
6300.0,784.0,857.0,806.0,287.0
6400.0,782.0,856.0,806.0,284.0
6500.0,781.0,855.0,806.0,284.0
6600.0,781.0,855.0,806.0,281.0
6700.0,781.0,855.0,805.0,280.0
6800.0,779.0,854.0,806.0,278.0
6900.0,780.0,853.0,805.0,277.0
7000.0,778.0,853.0,806.0,275.0
7100.0,777.0,853.0,805.0,274.0
7200.0,778.0,853.0,806.0,273.0
7300.0,777.0,852.0,806.0,273.0
7400.0,777.0,852.0,805.0,272.0
7500.0,777.0,852.0,806.0,271.0
7600.0,777.0,851.0,804.0,272.0
7700.0,777.0,852.0,804.0,271.0
7800.0,777.0,851.0,805.0,272.0
7900.0,778.0,852.0,805.0,272.0
8000.0,778.0,851.0,804.0,273.0
8100.0,779.0,851.0,806.0,274.0
8200.0,779.0,852.0,806.0,273.0
8300.0,779.0,851.0,805.0,275.0
8400.0,780.0,851.0,806.0,275.0
8500.0,779.0,852.0,807.0,275.0
8600.0,780.0,852.0,806.0,276.0
