timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,740.0,835.0,744.0,249.0
100.0,740.0,836.0,744.0,248.0
200.0,740.0,835.0,745.0,247.0
300.0,740.0,836.0,745.0,247.0
400.0,741.0,836.0,745.0,246.0
500.0,740.0,837.0,744.0,245.0
600.0,740.0,837.0,744.0,244.0
700.0,739.0,837.0,744.0,243.0
800.0,739.0,836.0,743.0,241.0
900.0,739.0,836.0,743.0,240.0
1000.0,738.0,837.0,742.0,239.0
1100.0,737.0,835.0,742.0,236.0
1200.0,736.0,835.0,741.0,235.0
1300.0,736.0,835.0,740.0,233.0
1400.0,735.0,834.0,739.0,232.0
1500.0,735.0,835.0,739.0,231.0
1600.0,734.0,833.0,738.0,229.0
1700.0,733.0,833.0,738.0,228.0
1800.0,732.0,833.0,738.0,227.0
1900.0,731.0,832.0,736.0,225.0
2000.0,731.0,831.0,735.0,223.0
2100.0,730.0,830.0,734.0,221.0
2200.0,728.0,829.0,734.0,220.0
2300.0,727.0,829.0,734.0,219.0
2400.0,727.0,828.0,732.0,218.0
2500.0,726.0,827.0,730.0,216.0
2600.0,726.0,827.0,730.0,215.0
2700.0,725.0,826.0,730.0,214.0
2800.0,724.0,826.0,729.0,213.0
2900.0,723.0,824.0,729.0,212.0
3000.0,723.0,824.0,728.0,212.0
3100.0,722.0,824.0,728.0,211.0
3200.0,722.0,823.0,727.0,209.0
3300.0,721.0,822.0,726.0,209.0
3400.0,721.0,821.0,725.0,208.0
3500.0,722.0,821.0,724.0,208.0
3600.0,721.0,820.0,724.0,207.0
3700.0,720.0,820.0,723.0,206.0
3800.0,720.0,819.0,723.0,206.0
3900.0,720.0,819.0,723.0,206.0
4000.0,719.0,818.0,722.0,205.0
4100.0,719.0,818.0,722.0,204.0
4200.0,720.0,818.0,721.0,205.0
4300.0,720.0,818.0,721.0,204.0
4400.0,720.0,818.0,720.0,204.0
4500.0,720.0,817.0,721.0,204.0
4600.0,720.0,816.0,720.0,204.0
4700.0,720.0,816.0,719.0,204.0
4800.0,720.0,816.0,719.0,204.0
4900.0,720.0,816.0,720.0,204.0
5000.0,720.0,816.0,719.0,204.0
5100.0,721.0,816.0,718.0,204.0
5200.0,721.0,816.0,719.0,204.0
5300.0,721.0,816.0,718.0,204.0
5400.0,722.0,816.0,719.0,205.0
5500.0,722.0,816.0,718.0,205.0
5600.0,721.0,815.0,718.0,205.0
5700.0,722.0,816.0,718.0,205.0
5800.0,723.0,816.0,719.0,207.0
5900.0,723.0,816.0,718.0,207.0
6000.0,725.0,816.0,719.0,208.0
6100.0,724.0,817.0,719.0,209.0
6200.0,725.0,817.0,719.0,210.0
6300.0,725.0,817.0,720.0,211.0
6400.0,726.0,818.0,720.0,211.0
6500.0,727.0,818.0,720.0,211.0
6600.0,727.0,818.0,720.0,212.0
6700.0,728.0,819.0,722.0,213.0
6800.0,728.0,818.0,722.0,215.0
6900.0,728.0,820.0,722.0,215.0
7000.0,729.0,820.0,723.0,216.0
7100.0,730.0,821.0,724.0,218.0
7200.0,731.0,821.0,724.0,218.0
7300.0,730.0,821.0,725.0,220.0
7400.0,731.0,822.0,725.0,221.0
7500.0,732.0,822.0,726.0,223.0
7600.0,732.0,823.0,727.0,224.0
7700.0,733.0,824.0,728.0,225.0
7800.0,733.0,824.0,728.0,226.0
7900.0,734.0,824.0,729.0,227.0
8000.0,734.0,825.0,730.0,228.0
8100.0,735.0,826.0,729.0,229.0
8200.0,735.0,826.0,730.0,230.0
8300.0,735.0,827.0,732.0,231.0
8400.0,736.0,828.0,732.0,233.0
8500.0,736.0,828.0,733.0,234.0
8600.0,736.0,828.0,734.0,235.0
8700.0,736.0,830.0,734.0,237.0
8800.0,737.0,831.0,734.0,238.0
8900.0,738.0,831.0,734.0,239.0
9000.0,739.0,833.0,736.0,240.0
9100.0,739.0,832.0,736.0,242.0
9200.0,738.0,833.0,737.0,244.0
9300.0,739.0,834.0,737.0,245.0
9400.0,740.0,835.0,737.0,246.0
9500.0,740.0,836.0,737.0,248.0
9600.0,740.0,837.0,737.0,250.0
9700.0,741.0,837.0,738.0,250.0
9800.0,741.0,838.0,739.0,252.0
9900.0,742.0,838.0,739.0,253.0
10000.0,742.0,838.0,740.0,254.0
10100.0,741.0,838.0,740.0,255.0
10200.0,740.0,838.0,740.0,256.0
10300.0,741.0,839.0,740.0,257.0
10400.0,741.0,839.0,741.0,258.0
10500.0,741.0,839.0,743.0,258.0
10600.0,741.0,839.0,742.0,259.0
10700.0,740.0,839.0,743.0,259.0
10800.0,741.0,839.0,743.0,261.0
10900.0,740.0,838.0,744.0,260.0
11000.0,740.0,839.0,745.0,262.0
11100.0,740.0,838.0,745.0,260.0
11200.0,740.0,838.0,746.0,261.0
11300.0,739.0,838.0,746.0,260.0
11400.0,739.0,838.0,747.0,260.0
11500.0,738.0,837.0,747.0,259.0
11600.0,738.0,837.0,748.0,257.0
11700.0,736.0,836.0,748.0,258.0
11800.0,735.0,835.0,748.0,255.0
11900.0,734.0,835.0,749.0,254.0
12000.0,733.0,834.0,750.0,252.0
12100.0,733.0,834.0,750.0,251.0
12200.0,731.0,833.0,748.0,251.0
12300.0,730.0,832.0,750.0,249.0
12400.0,729.0,832.0,750.0,247.0
12500.0,728.0,831.0,749.0,246.0
12600.0,727.0,830.0,750.0,245.0
12700.0,726.0,829.0,750.0,242.0
12800.0,726.0,828.0,750.0,241.0
12900.0,724.0,828.0,749.0,240.0
13000.0,724.0,827.0,750.0,239.0
13100.0,722.0,825.0,750.0,238.0
13200.0,722.0,826.0,749.0,236.0
13300.0,722.0,825.0,750.0,236.0
13400.0,721.0,824.0,750.0,235.0
13500.0,720.0,824.0,750.0,234.0
13600.0,720.0,823.0,749.0,232.0
13700.0,720.0,822.0,750.0,232.0
13800.0,718.0,822.0,749.0,231.0
13900.0,718.0,820.0,749.0,230.0
14000.0,718.0,821.0,749.0,230.0
14100.0,717.0,820.0,749.0,229.0
14200.0,716.0,819.0,748.0,228.0
14300.0,716.0,819.0,749.0,229.0
14400.0,716.0,819.0,748.0,228.0
14500.0,715.0,818.0,749.0,228.0
14600.0,715.0,818.0,748.0,227.0
14700.0,715.0,817.0,748.0,227.0
14800.0,714.0,816.0,748.0,227.0
14900.0,714.0,816.0,749.0,226.0
15000.0,714.0,816.0,748.0,226.0
15100.0,714.0,815.0,748.0,227.0
15200.0,714.0,815.0,749.0,226.0
15300.0,713.0,815.0,749.0,226.0
15400.0,714.0,814.0,749.0,226.0
15500.0,713.0,814.0,749.0,225.0
15600.0,713.0,813.0,750.0,225.0
15700.0,712.0,812.0,749.0,225.0
15800.0,714.0,813.0,750.0,225.0
15900.0,713.0,813.0,749.0,225.0
16000.0,712.0,812.0,749.0,225.0
16100.0,713.0,811.0,749.0,225.0
16200.0,713.0,812.0,750.0,226.0
16300.0,713.0,811.0,750.0,224.0
16400.0,714.0,811.0,749.0,225.0
16500.0,713.0,811.0,750.0,225.0
16600.0,715.0,810.0,750.0,226.0
16700.0,715.0,811.0,751.0,226.0
16800.0,716.0,811.0,751.0,226.0
16900.0,717.0,812.0,751.0,227.0
17000.0,717.0,812.0,752.0,228.0
17100.0,718.0,813.0,752.0,228.0
17200.0,718.0,813.0,752.0,229.0
17300.0,720.0,814.0,752.0,230.0
17400.0,720.0,814.0,751.0,231.0
17500.0,721.0,815.0,752.0,232.0
17600.0,722.0,816.0,751.0,233.0
17700.0,722.0,816.0,752.0,233.0
17800.0,724.0,817.0,752.0,235.0
17900.0,725.0,818.0,752.0,235.0
18000.0,726.0,819.0,752.0,236.0
18100.0,726.0,820.0,753.0,237.0
18200.0,726.0,821.0,752.0,239.0
18300.0,727.0,822.0,752.0,240.0
18400.0,729.0,822.0,753.0,240.0
18500.0,729.0,823.0,753.0,242.0
18600.0,729.0,824.0,753.0,243.0
18700.0,730.0,825.0,754.0,244.0
18800.0,730.0,825.0,754.0,244.0
18900.0,731.0,825.0,753.0,246.0
19000.0,731.0,826.0,754.0,246.0
19100.0,731.0,826.0,755.0,247.0
19200.0,732.0,826.0,755.0,247.0
19300.0,732.0,827.0,756.0,248.0
19400.0,732.0,826.0,756.0,248.0
19500.0,731.0,826.0,756.0,248.0
19600.0,732.0,827.0,756.0,248.0
19700.0,731.0,826.0,757.0,248.0
19800.0,731.0,827.0,757.0,247.0
19900.0,731.0,826.0,757.0,247.0
20000.0,731.0,826.0,758.0,247.0
20100.0,730.0,826.0,758.0,246.0
20200.0,730.0,827.0,758.0,246.0
20300.0,730.0,826.0,758.0,245.0
20400.0,730.0,826.0,758.0,245.0
20500.0,729.0,825.0,759.0,244.0
20600.0,728.0,825.0,758.0,243.0
20700.0,728.0,825.0,759.0,243.0
20800.0,728.0,824.0,759.0,242.0
20900.0,727.0,823.0,758.0,242.0
21000.0,726.0,823.0,758.0,240.0
21100.0,726.0,823.0,759.0,240.0
21200.0,726.0,822.0,759.0,240.0
21300.0,725.0,821.0,759.0,239.0
21400.0,724.0,821.0,759.0,238.0
21500.0,724.0,820.0,759.0,236.0
21600.0,723.0,820.0,760.0,236.0
21700.0,723.0,819.0,759.0,234.0
21800.0,722.0,819.0,759.0,235.0
21900.0,722.0,818.0,759.0,234.0
22000.0,721.0,818.0,759.0,233.0
22100.0,721.0,817.0,759.0,233.0
22200.0,720.0,816.0,758.0,231.0
22300.0,720.0,816.0,758.0,230.0
22400.0,720.0,815.0,759.0,231.0
22500.0,720.0,814.0,759.0,229.0
22600.0,718.0,814.0,758.0,229.0
22700.0,719.0,814.0,758.0,229.0
22800.0,719.0,814.0,758.0,229.0
22900.0,719.0,813.0,757.0,229.0
23000.0,719.0,813.0,758.0,229.0
23100.0,719.0,813.0,758.0,228.0
23200.0,718.0,813.0,757.0,229.0
23300.0,719.0,813.0,757.0,229.0
23400.0,718.0,812.0,758.0,229.0
23500.0,719.0,812.0,757.0,230.0
23600.0,718.0,812.0,757.0,230.0
23700.0,717.0,812.0,757.0,230.0
23800.0,718.0,811.0,757.0,230.0
23900.0,718.0,812.0,758.0,231.0
24000.0,718.0,811.0,758.0,232.0
24100.0,718.0,811.0,757.0,232.0
24200.0,718.0,811.0,759.0,232.0
24300.0,718.0,811.0,759.0,232.0
24400.0,719.0,811.0,758.0,233.0
24500.0,719.0,811.0,759.0,234.0
24600.0,719.0,811.0,759.0,234.0
24700.0,719.0,810.0,759.0,236.0
24800.0,719.0,810.0,758.0,235.0
24900.0,719.0,811.0,759.0,236.0
25000.0,719.0,810.0,759.0,237.0
25100.0,720.0,810.0,760.0,237.0
25200.0,720.0,810.0,760.0,237.0
25300.0,720.0,810.0,760.0,238.0
25400.0,719.0,810.0,760.0,238.0
25500.0,719.0,810.0,761.0,237.0
25600.0,719.0,809.0,760.0,237.0
25700.0,718.0,808.0,760.0,237.0
25800.0,718.0,807.0,760.0,236.0
25900.0,717.0,808.0,760.0,235.0
26000.0,715.0,806.0,759.0,234.0
26100.0,715.0,806.0,759.0,233.0
26200.0,713.0,806.0,758.0,231.0
26300.0,713.0,804.0,758.0,229.0
26400.0,711.0,803.0,758.0,229.0
26500.0,710.0,803.0,756.0,227.0
26600.0,709.0,802.0,756.0,225.0
26700.0,707.0,801.0,755.0,225.0
26800.0,708.0,800.0,755.0,223.0
26900.0,707.0,800.0,754.0,222.0
27000.0,706.0,800.0,753.0,221.0
27100.0,705.0,799.0,753.0,219.0
27200.0,706.0,799.0,752.0,218.0
27300.0,705.0,799.0,751.0,217.0
27400.0,705.0,797.0,750.0,217.0
27500.0,705.0,797.0,750.0,216.0
27600.0,705.0,798.0,750.0,216.0
27700.0,704.0,797.0,748.0,215.0
27800.0,706.0,799.0,748.0,216.0
27900.0,705.0,798.0,748.0,216.0
28000.0,706.0,799.0,747.0,217.0
28100.0,707.0,799.0,746.0,217.0
28200.0,707.0,800.0,747.0,218.0
28300.0,708.0,801.0,747.0,220.0
28400.0,708.0,801.0,746.0,221.0
28500.0,710.0,802.0,747.0,223.0
28600.0,710.0,802.0,745.0,224.0
28700.0,710.0,802.0,747.0,225.0
28800.0,711.0,803.0,747.0,227.0
28900.0,712.0,803.0,747.0,228.0
29000.0,712.0,804.0,747.0,230.0
29100.0,712.0,804.0,747.0,230.0
29200.0,712.0,804.0,748.0,231.0
29300.0,713.0,804.0,748.0,233.0
29400.0,712.0,804.0,747.0,232.0
29500.0,712.0,803.0,749.0,233.0
29600.0,713.0,804.0,750.0,234.0
29700.0,712.0,803.0,750.0,233.0
29800.0,712.0,804.0,750.0,234.0
29900.0,712.0,803.0,750.0,235.0
30000.0,711.0,803.0,751.0,234.0
30100.0,711.0,802.0,752.0,233.0
30200.0,711.0,803.0,752.0,233.0
30300.0,711.0,803.0,752.0,233.0
30400.0,710.0,802.0,751.0,232.0
30500.0,710.0,802.0,753.0,232.0
30600.0,710.0,801.0,753.0,231.0
30700.0,709.0,801.0,753.0,231.0
30800.0,709.0,801.0,753.0,230.0
30900.0,708.0,800.0,753.0,229.0
31000.0,709.0,800.0,754.0,229.0
31100.0,709.0,800.0,754.0,229.0
31200.0,708.0,800.0,753.0,228.0
31300.0,709.0,800.0,753.0,228.0
31400.0,709.0,799.0,754.0,229.0
31500.0,709.0,800.0,753.0,228.0
31600.0,709.0,800.0,754.0,229.0
31700.0,710.0,800.0,753.0,229.0
31800.0,710.0,800.0,754.0,229.0
31900.0,710.0,800.0,755.0,230.0
32000.0,710.0,800.0,754.0,230.0
32100.0,712.0,801.0,755.0,230.0
32200.0,711.0,800.0,754.0,231.0
32300.0,712.0,801.0,754.0,232.0
32400.0,712.0,802.0,755.0,232.0
32500.0,712.0,802.0,754.0,233.0
32600.0,713.0,801.0,755.0,233.0
32700.0,712.0,802.0,755.0,233.0
32800.0,712.0,802.0,756.0,234.0
32900.0,712.0,801.0,756.0,233.0
33000.0,712.0,801.0,756.0,234.0
33100.0,712.0,802.0,757.0,233.0
33200.0,712.0,802.0,756.0,233.0
33300.0,711.0,801.0,757.0,233.0
33400.0,711.0,802.0,756.0,233.0
33500.0,710.0,800.0,757.0,233.0
33600.0,710.0,800.0,757.0,232.0
33700.0,710.0,800.0,756.0,231.0
33800.0,710.0,800.0,757.0,231.0
33900.0,708.0,800.0,757.0,231.0
34000.0,709.0,800.0,757.0,230.0
34100.0,709.0,799.0,757.0,230.0
34200.0,709.0,799.0,757.0,229.0
34300.0,708.0,799.0,757.0,229.0
34400.0,708.0,799.0,757.0,229.0
34500.0,708.0,799.0,758.0,228.0
34600.0,708.0,799.0,758.0,229.0
34700.0,709.0,798.0,756.0,229.0
34800.0,708.0,798.0,757.0,229.0
34900.0,708.0,799.0,757.0,228.0
35000.0,709.0,799.0,757.0,228.0
35100.0,709.0,799.0,758.0,229.0
35200.0,709.0,798.0,758.0,228.0
35300.0,710.0,799.0,758.0,229.0
35400.0,710.0,799.0,758.0,230.0
35500.0,710.0,799.0,758.0,231.0
35600.0,711.0,800.0,758.0,231.0
35700.0,712.0,800.0,759.0,232.0
35800.0,712.0,800.0,758.0,232.0
35900.0,712.0,800.0,759.0,234.0
36000.0,712.0,801.0,758.0,234.0
36100.0,713.0,801.0,759.0,235.0
36200.0,714.0,802.0,759.0,234.0
36300.0,714.0,802.0,760.0,237.0
36400.0,714.0,802.0,759.0,237.0
36500.0,714.0,803.0,760.0,237.0
36600.0,714.0,802.0,761.0,237.0
36700.0,716.0,803.0,760.0,238.0
36800.0,715.0,803.0,760.0,237.0
36900.0,715.0,804.0,761.0,238.0
37000.0,716.0,803.0,760.0,238.0
37100.0,716.0,804.0,761.0,238.0
37200.0,716.0,804.0,761.0,238.0
37300.0,717.0,804.0,762.0,238.0
37400.0,716.0,804.0,762.0,238.0
37500.0,717.0,803.0,762.0,238.0
37600.0,717.0,804.0,761.0,238.0
37700.0,717.0,804.0,762.0,238.0
37800.0,718.0,805.0,762.0,237.0
37900.0,718.0,805.0,762.0,238.0
38000.0,718.0,806.0,762.0,238.0
38100.0,719.0,806.0,762.0,238.0
38200.0,720.0,807.0,762.0,239.0
38300.0,719.0,806.0,762.0,238.0
38400.0,722.0,807.0,763.0,238.0
38500.0,721.0,808.0,762.0,239.0
38600.0,722.0,808.0,762.0,239.0
38700.0,723.0,809.0,762.0,240.0
38800.0,723.0,810.0,761.0,241.0
38900.0,724.0,810.0,762.0,241.0
39000.0,725.0,811.0,761.0,241.0
39100.0,726.0,813.0,763.0,242.0
39200.0,725.0,813.0,762.0,241.0
39300.0,726.0,814.0,761.0,243.0
39400.0,728.0,815.0,761.0,243.0
39500.0,728.0,815.0,762.0,244.0
39600.0,729.0,816.0,761.0,245.0
39700.0,729.0,818.0,762.0,245.0
39800.0,729.0,817.0,762.0,246.0
39900.0,729.0,818.0,762.0,247.0
40000.0,730.0,819.0,762.0,248.0
40100.0,732.0,820.0,762.0,249.0
40200.0,731.0,821.0,761.0,249.0
40300.0,732.0,822.0,762.0,250.0
40400.0,732.0,823.0,762.0,251.0
40500.0,733.0,823.0,762.0,252.0
40600.0,733.0,824.0,762.0,253.0
40700.0,733.0,825.0,762.0,254.0
40800.0,733.0,825.0,763.0,254.0
40900.0,734.0,826.0,762.0,255.0
41000.0,734.0,826.0,763.0,256.0
41100.0,734.0,828.0,763.0,256.0
41200.0,735.0,827.0,764.0,258.0
41300.0,735.0,828.0,764.0,258.0
41400.0,735.0,830.0,764.0,259.0
41500.0,735.0,829.0,763.0,259.0
41600.0,735.0,829.0,764.0,260.0
41700.0,735.0,830.0,765.0,260.0
41800.0,735.0,830.0,766.0,261.0
41900.0,734.0,829.0,765.0,260.0
42000.0,734.0,830.0,765.0,260.0
42100.0,734.0,831.0,765.0,260.0
42200.0,733.0,831.0,766.0,260.0
42300.0,733.0,830.0,766.0,258.0
42400.0,732.0,829.0,767.0,259.0
42500.0,731.0,830.0,766.0,257.0
42600.0,731.0,830.0,766.0,258.0
42700.0,730.0,829.0,767.0,255.0
42800.0,730.0,828.0,766.0,256.0
42900.0,730.0,828.0,767.0,255.0
43000.0,730.0,829.0,767.0,254.0
43100.0,728.0,828.0,767.0,254.0
43200.0,729.0,828.0,767.0,253.0
43300.0,729.0,828.0,767.0,254.0
43400.0,729.0,827.0,766.0,253.0
43500.0,729.0,827.0,767.0,254.0
43600.0,730.0,827.0,766.0,253.0
43700.0,730.0,828.0,766.0,252.0
43800.0,730.0,828.0,766.0,253.0
43900.0,730.0,827.0,766.0,253.0
44000.0,730.0,828.0,764.0,252.0
44100.0,730.0,828.0,764.0,251.0
44200.0,731.0,828.0,764.0,251.0
44300.0,731.0,828.0,763.0,249.0
44400.0,731.0,828.0,762.0,249.0
44500.0,731.0,827.0,762.0,247.0
44600.0,730.0,827.0,762.0,246.0
44700.0,730.0,828.0,760.0,246.0
44800.0,730.0,828.0,759.0,246.0
44900.0,729.0,826.0,759.0,245.0
45000.0,729.0,827.0,759.0,243.0
45100.0,728.0,827.0,758.0,242.0
45200.0,727.0,826.0,757.0,242.0
45300.0,726.0,825.0,757.0,241.0
45400.0,725.0,825.0,755.0,239.0
45500.0,724.0,824.0,756.0,238.0
45600.0,722.0,824.0,754.0,235.0
45700.0,722.0,823.0,755.0,235.0
45800.0,720.0,822.0,754.0,234.0
45900.0,720.0,821.0,753.0,232.0
46000.0,719.0,820.0,753.0,231.0
46100.0,718.0,820.0,752.0,229.0
46200.0,718.0,819.0,752.0,228.0
46300.0,717.0,817.0,751.0,227.0
46400.0,715.0,817.0,750.0,226.0
46500.0,715.0,815.0,750.0,225.0
46600.0,714.0,814.0,749.0,224.0
46700.0,713.0,814.0,748.0,223.0
46800.0,711.0,812.0,747.0,222.0
46900.0,709.0,812.0,745.0,221.0
47000.0,708.0,811.0,745.0,220.0
47100.0,706.0,809.0,744.0,219.0
47200.0,704.0,809.0,742.0,217.0
47300.0,703.0,808.0,742.0,216.0
47400.0,701.0,806.0,741.0,215.0
47500.0,700.0,805.0,739.0,214.0
47600.0,699.0,805.0,738.0,213.0
47700.0,699.0,804.0,738.0,212.0
47800.0,699.0,804.0,737.0,211.0
47900.0,699.0,802.0,736.0,210.0
48000.0,697.0,802.0,734.0,209.0
48100.0,697.0,800.0,734.0,208.0
48200.0,697.0,800.0,733.0,206.0
48300.0,695.0,798.0,732.0,206.0
48400.0,695.0,798.0,732.0,204.0
48500.0,692.0,797.0,731.0,203.0
48600.0,691.0,796.0,730.0,203.0
48700.0,688.0,795.0,729.0,202.0
48800.0,687.0,795.0,727.0,202.0
48900.0,686.0,795.0,727.0,202.0
49000.0,684.0,794.0,725.0,200.0
49100.0,682.0,792.0,724.0,200.0
49200.0,679.0,792.0,723.0,199.0
49300.0,678.0,791.0,722.0,198.0
49400.0,676.0,790.0,720.0,198.0
49500.0,675.0,789.0,718.0,196.0
49600.0,674.0,788.0,717.0,197.0
49700.0,673.0,787.0,716.0,196.0
49800.0,672.0,787.0,715.0,195.0
49900.0,672.0,786.0,714.0,195.0
50000.0,671.0,786.0,713.0,194.0
50100.0,671.0,786.0,713.0,194.0
