timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,725.0,824.0,741.0,225.0
100.0,725.0,824.0,741.0,225.0
200.0,725.0,824.0,741.0,225.0
300.0,725.0,824.0,739.0,225.0
400.0,725.0,824.0,739.0,224.0
500.0,726.0,824.0,740.0,224.0
600.0,725.0,825.0,739.0,224.0
700.0,725.0,825.0,739.0,225.0
800.0,726.0,826.0,738.0,226.0
900.0,726.0,826.0,738.0,226.0
1000.0,726.0,827.0,737.0,227.0
1100.0,726.0,827.0,738.0,227.0
1200.0,727.0,827.0,738.0,230.0
1300.0,727.0,829.0,737.0,230.0
1400.0,727.0,828.0,738.0,231.0
1500.0,728.0,829.0,737.0,232.0
1600.0,728.0,831.0,738.0,234.0
1700.0,729.0,831.0,738.0,235.0
1800.0,728.0,830.0,739.0,236.0
1900.0,729.0,831.0,740.0,237.0
2000.0,729.0,832.0,739.0,238.0
2100.0,729.0,831.0,740.0,239.0
2200.0,729.0,832.0,740.0,239.0
2300.0,730.0,832.0,740.0,241.0
2400.0,730.0,832.0,741.0,242.0
2500.0,730.0,832.0,741.0,242.0
2600.0,730.0,832.0,741.0,243.0
2700.0,730.0,833.0,743.0,243.0
2800.0,730.0,832.0,743.0,245.0
2900.0,729.0,833.0,743.0,245.0
3000.0,730.0,832.0,745.0,245.0
3100.0,729.0,833.0,744.0,246.0
3200.0,729.0,832.0,744.0,246.0
3300.0,729.0,832.0,745.0,245.0
3400.0,728.0,832.0,745.0,246.0
3500.0,729.0,832.0,746.0,246.0
3600.0,728.0,832.0,746.0,246.0
3700.0,729.0,831.0,746.0,246.0
3800.0,728.0,832.0,746.0,246.0
3900.0,728.0,831.0,747.0,246.0
4000.0,728.0,832.0,747.0,245.0
4100.0,728.0,831.0,748.0,246.0
4200.0,728.0,830.0,748.0,245.0
4300.0,728.0,831.0,748.0,247.0
4400.0,728.0,830.0,749.0,246.0
4500.0,728.0,831.0,749.0,247.0
4600.0,728.0,831.0,750.0,246.0
4700.0,728.0,831.0,749.0,247.0
4800.0,728.0,831.0,749.0,247.0
4900.0,729.0,831.0,750.0,247.0
5000.0,729.0,831.0,751.0,247.0
5100.0,729.0,831.0,750.0,248.0
5200.0,728.0,832.0,751.0,247.0
5300.0,728.0,832.0,751.0,246.0
5400.0,729.0,831.0,750.0,247.0
5500.0,730.0,831.0,750.0,246.0
5600.0,729.0,832.0,751.0,248.0
5700.0,729.0,831.0,750.0,247.0
5800.0,729.0,832.0,751.0,247.0
5900.0,728.0,832.0,751.0,247.0
6000.0,729.0,831.0,751.0,246.0
6100.0,729.0,831.0,751.0,247.0
6200.0,728.0,830.0,751.0,246.0
6300.0,728.0,831.0,751.0,245.0
6400.0,728.0,831.0,752.0,245.0
6500.0,727.0,831.0,751.0,245.0
6600.0,726.0,830.0,751.0,243.0
6700.0,727.0,830.0,750.0,243.0
6800.0,727.0,830.0,751.0,243.0
6900.0,726.0,830.0,750.0,242.0
7000.0,725.0,830.0,751.0,241.0
7100.0,726.0,829.0,751.0,241.0
7200.0,726.0,829.0,750.0,240.0
7300.0,725.0,829.0,750.0,240.0
7400.0,726.0,829.0,750.0,240.0
7500.0,725.0,827.0,751.0,239.0
7600.0,725.0,828.0,750.0,238.0
7700.0,725.0,827.0,750.0,238.0
7800.0,725.0,828.0,750.0,237.0
7900.0,724.0,827.0,749.0,237.0
8000.0,723.0,826.0,750.0,236.0
8100.0,724.0,826.0,750.0,236.0
8200.0,724.0,825.0,749.0,235.0
8300.0,723.0,825.0,749.0,235.0
8400.0,723.0,824.0,749.0,235.0
8500.0,722.0,825.0,749.0,234.0
8600.0,722.0,823.0,748.0,233.0
8700.0,722.0,823.0,748.0,232.0
8800.0,720.0,823.0,748.0,231.0
8900.0,719.0,821.0,748.0,230.0
9000.0,719.0,821.0,748.0,230.0
9100.0,718.0,821.0,747.0,228.0
9200.0,718.0,819.0,747.0,228.0
9300.0,717.0,820.0,746.0,226.0
9400.0,717.0,818.0,746.0,226.0
9500.0,716.0,818.0,746.0,224.0
9600.0,716.0,817.0,745.0,223.0
9700.0,715.0,815.0,745.0,221.0
9800.0,714.0,815.0,744.0,221.0
9900.0,714.0,814.0,744.0,220.0
10000.0,713.0,814.0,743.0,220.0
10100.0,713.0,813.0,743.0,219.0
10200.0,712.0,813.0,742.0,217.0
10300.0,711.0,812.0,742.0,218.0
10400.0,710.0,811.0,742.0,216.0
10500.0,711.0,810.0,740.0,216.0
10600.0,709.0,810.0,740.0,216.0
10700.0,709.0,809.0,740.0,215.0
10800.0,708.0,809.0,740.0,215.0
10900.0,707.0,807.0,739.0,214.0
11000.0,706.0,807.0,739.0,214.0
11100.0,706.0,806.0,739.0,212.0
11200.0,705.0,804.0,739.0,213.0
11300.0,705.0,804.0,738.0,213.0
11400.0,704.0,804.0,738.0,212.0
11500.0,703.0,803.0,737.0,211.0
11600.0,701.0,802.0,737.0,210.0
11700.0,701.0,802.0,736.0,209.0
11800.0,700.0,800.0,736.0,210.0
11900.0,699.0,800.0,736.0,209.0
12000.0,699.0,799.0,735.0,208.0
12100.0,698.0,798.0,735.0,206.0
12200.0,698.0,797.0,735.0,207.0
12300.0,697.0,796.0,734.0,206.0
12400.0,696.0,796.0,733.0,206.0
12500.0,697.0,795.0,733.0,205.0
12600.0,697.0,795.0,733.0,205.0
12700.0,696.0,794.0,733.0,204.0
12800.0,697.0,793.0,733.0,204.0
12900.0,696.0,793.0,732.0,204.0
13000.0,697.0,793.0,732.0,204.0
13100.0,696.0,791.0,732.0,204.0
13200.0,696.0,791.0,732.0,204.0
13300.0,697.0,791.0,731.0,203.0
13400.0,697.0,791.0,732.0,203.0
13500.0,697.0,791.0,731.0,204.0
13600.0,698.0,790.0,732.0,204.0
13700.0,698.0,790.0,732.0,204.0
13800.0,699.0,790.0,732.0,204.0
13900.0,699.0,790.0,732.0,205.0
14000.0,700.0,791.0,731.0,205.0
14100.0,700.0,791.0,732.0,205.0
14200.0,702.0,791.0,731.0,205.0
14300.0,701.0,791.0,731.0,206.0
14400.0,702.0,792.0,731.0,207.0
14500.0,704.0,793.0,731.0,207.0
14600.0,704.0,792.0,732.0,208.0
14700.0,705.0,793.0,732.0,208.0
14800.0,706.0,794.0,731.0,209.0
14900.0,706.0,794.0,731.0,209.0
15000.0,707.0,795.0,732.0,211.0
15100.0,708.0,795.0,732.0,211.0
15200.0,708.0,796.0,732.0,212.0
15300.0,709.0,796.0,733.0,214.0
15400.0,709.0,797.0,732.0,213.0
15500.0,711.0,797.0,733.0,214.0
15600.0,711.0,798.0,734.0,215.0
15700.0,711.0,798.0,734.0,216.0
15800.0,711.0,798.0,734.0,216.0
15900.0,712.0,799.0,734.0,217.0
16000.0,713.0,799.0,735.0,217.0
16100.0,712.0,800.0,735.0,218.0
16200.0,713.0,800.0,735.0,218.0
16300.0,713.0,800.0,735.0,219.0
16400.0,713.0,800.0,736.0,218.0
16500.0,712.0,800.0,736.0,218.0
16600.0,712.0,801.0,736.0,219.0
16700.0,713.0,800.0,736.0,219.0
16800.0,712.0,801.0,736.0,219.0
16900.0,712.0,801.0,738.0,219.0
17000.0,713.0,801.0,737.0,219.0
17100.0,712.0,800.0,737.0,219.0
17200.0,713.0,801.0,737.0,220.0
17300.0,712.0,801.0,738.0,219.0
17400.0,713.0,801.0,737.0,221.0
17500.0,712.0,801.0,737.0,220.0
17600.0,712.0,801.0,738.0,220.0
17700.0,712.0,801.0,738.0,220.0
17800.0,712.0,801.0,739.0,220.0
17900.0,712.0,800.0,739.0,221.0
18000.0,713.0,800.0,739.0,221.0
18100.0,713.0,801.0,739.0,220.0
18200.0,712.0,801.0,739.0,221.0
18300.0,712.0,801.0,740.0,222.0
18400.0,712.0,801.0,740.0,222.0
18500.0,712.0,801.0,739.0,222.0
18600.0,712.0,801.0,740.0,222.0
18700.0,713.0,801.0,739.0,222.0
18800.0,712.0,801.0,740.0,221.0
18900.0,712.0,801.0,741.0,222.0
19000.0,712.0,801.0,741.0,221.0
19100.0,712.0,800.0,741.0,222.0
19200.0,713.0,800.0,740.0,221.0
19300.0,712.0,801.0,741.0,221.0
19400.0,714.0,802.0,741.0,221.0
19500.0,712.0,801.0,741.0,221.0
19600.0,714.0,802.0,741.0,220.0
19700.0,714.0,802.0,741.0,220.0
19800.0,714.0,801.0,740.0,220.0
19900.0,714.0,803.0,740.0,221.0
20000.0,714.0,803.0,739.0,220.0
20100.0,715.0,804.0,740.0,220.0
20200.0,716.0,804.0,738.0,219.0
20300.0,715.0,804.0,739.0,220.0
20400.0,716.0,805.0,738.0,220.0
20500.0,716.0,806.0,739.0,220.0
20600.0,717.0,806.0,738.0,220.0
20700.0,717.0,806.0,737.0,220.0
20800.0,717.0,807.0,737.0,221.0
20900.0,717.0,808.0,738.0,220.0
21000.0,717.0,808.0,737.0,220.0
21100.0,718.0,808.0,736.0,220.0
21200.0,718.0,809.0,736.0,219.0
21300.0,719.0,808.0,737.0,220.0
21400.0,719.0,809.0,736.0,218.0
21500.0,718.0,809.0,735.0,219.0
21600.0,718.0,809.0,735.0,218.0
21700.0,719.0,809.0,735.0,219.0
21800.0,719.0,809.0,735.0,219.0
21900.0,719.0,810.0,735.0,219.0
22000.0,719.0,810.0,735.0,219.0
22100.0,718.0,809.0,735.0,219.0
22200.0,719.0,808.0,735.0,218.0
22300.0,719.0,808.0,734.0,218.0
22400.0,718.0,808.0,735.0,218.0
22500.0,717.0,807.0,734.0,217.0
22600.0,717.0,807.0,734.0,217.0
22700.0,717.0,807.0,735.0,217.0
22800.0,716.0,806.0,735.0,217.0
22900.0,716.0,805.0,735.0,216.0
23000.0,715.0,805.0,733.0,216.0
23100.0,713.0,804.0,734.0,215.0
23200.0,713.0,804.0,735.0,215.0
23300.0,712.0,802.0,734.0,214.0
