timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,496.0,622.0,471.0,150.0
100.0,497.0,623.0,471.0,150.0
200.0,497.0,623.0,470.0,150.0
300.0,497.0,623.0,470.0,151.0
400.0,497.0,623.0,471.0,151.0
500.0,497.0,624.0,470.0,151.0
600.0,498.0,624.0,471.0,151.0
700.0,498.0,624.0,471.0,150.0
800.0,498.0,625.0,472.0,151.0
900.0,499.0,624.0,472.0,152.0
1000.0,499.0,625.0,472.0,151.0
1100.0,499.0,625.0,473.0,152.0
1200.0,499.0,625.0,473.0,152.0
1300.0,500.0,626.0,472.0,153.0
1400.0,501.0,626.0,473.0,153.0
1500.0,502.0,627.0,473.0,153.0
1600.0,502.0,627.0,473.0,153.0
1700.0,502.0,627.0,474.0,153.0
1800.0,503.0,628.0,475.0,154.0
1900.0,504.0,629.0,475.0,154.0
2000.0,505.0,629.0,476.0,154.0
2100.0,507.0,631.0,477.0,155.0
2200.0,507.0,631.0,477.0,154.0
2300.0,509.0,632.0,478.0,155.0
2400.0,510.0,633.0,479.0,155.0
2500.0,511.0,633.0,479.0,155.0
2600.0,512.0,635.0,479.0,155.0
2700.0,514.0,636.0,479.0,156.0
2800.0,515.0,637.0,481.0,156.0
2900.0,516.0,638.0,482.0,157.0
3000.0,518.0,639.0,482.0,158.0
3100.0,518.0,639.0,483.0,157.0
3200.0,518.0,640.0,483.0,158.0
3300.0,520.0,639.0,483.0,158.0
3400.0,520.0,641.0,485.0,159.0
3500.0,521.0,641.0,485.0,159.0
3600.0,522.0,642.0,486.0,160.0
3700.0,523.0,643.0,486.0,159.0
3800.0,523.0,644.0,488.0,161.0
3900.0,524.0,644.0,488.0,159.0
4000.0,525.0,645.0,488.0,161.0
4100.0,525.0,646.0,489.0,161.0
4200.0,527.0,647.0,490.0,161.0
4300.0,527.0,648.0,490.0,161.0
4400.0,528.0,650.0,490.0,161.0
4500.0,529.0,650.0,492.0,162.0
4600.0,530.0,650.0,493.0,163.0
4700.0,530.0,650.0,493.0,163.0
4800.0,531.0,652.0,493.0,162.0
4900.0,532.0,653.0,494.0,163.0
5000.0,534.0,652.0,495.0,163.0
5100.0,534.0,654.0,495.0,164.0
5200.0,535.0,654.0,496.0,164.0
5300.0,537.0,655.0,497.0,164.0
5400.0,538.0,656.0,497.0,164.0
5500.0,539.0,656.0,498.0,164.0
5600.0,540.0,657.0,499.0,164.0
5700.0,541.0,657.0,499.0,164.0
5800.0,542.0,659.0,499.0,165.0
5900.0,542.0,659.0,500.0,165.0
6000.0,544.0,660.0,500.0,165.0
6100.0,544.0,660.0,501.0,165.0
6200.0,545.0,660.0,501.0,165.0
6300.0,546.0,661.0,502.0,165.0
6400.0,547.0,661.0,502.0,164.0
6500.0,548.0,661.0,503.0,165.0
6600.0,548.0,662.0,502.0,166.0
6700.0,549.0,662.0,503.0,165.0
6800.0,550.0,663.0,504.0,165.0
6900.0,550.0,663.0,504.0,164.0
7000.0,550.0,664.0,504.0,165.0
7100.0,551.0,664.0,504.0,165.0
7200.0,551.0,664.0,505.0,165.0
7300.0,551.0,664.0,505.0,164.0
7400.0,551.0,665.0,505.0,165.0
7500.0,552.0,666.0,504.0,165.0
7600.0,552.0,665.0,505.0,164.0
7700.0,552.0,664.0,505.0,164.0
7800.0,552.0,665.0,505.0,164.0
7900.0,552.0,665.0,506.0,164.0
8000.0,552.0,665.0,505.0,164.0
8100.0,551.0,665.0,505.0,163.0
8200.0,551.0,666.0,506.0,163.0
8300.0,551.0,665.0,505.0,163.0
8400.0,550.0,664.0,505.0,163.0
8500.0,550.0,665.0,505.0,163.0
8600.0,550.0,664.0,505.0,162.0
8700.0,549.0,664.0,504.0,162.0
8800.0,548.0,664.0,504.0,162.0
8900.0,549.0,663.0,504.0,161.0
9000.0,547.0,663.0,504.0,161.0
9100.0,546.0,663.0,503.0,160.0
9200.0,545.0,662.0,503.0,160.0
9300.0,544.0,661.0,503.0,160.0
9400.0,542.0,661.0,502.0,159.0
9500.0,542.0,660.0,502.0,159.0
9600.0,540.0,660.0,502.0,158.0
9700.0,538.0,659.0,501.0,158.0
9800.0,537.0,658.0,501.0,158.0
9900.0,535.0,657.0,500.0,157.0
10000.0,533.0,656.0,500.0,156.0
10100.0,532.0,656.0,498.0,156.0
10200.0,530.0,655.0,498.0,156.0
10300.0,527.0,654.0,497.0,155.0
10400.0,525.0,654.0,497.0,155.0
10500.0,524.0,653.0,496.0,155.0
10600.0,522.0,652.0,495.0,155.0
10700.0,519.0,651.0,494.0,154.0
10800.0,517.0,651.0,495.0,154.0
10900.0,516.0,650.0,494.0,153.0
11000.0,514.0,649.0,492.0,153.0
11100.0,512.0,648.0,493.0,153.0
11200.0,511.0,647.0,492.0,153.0
11300.0,509.0,646.0,491.0,153.0
11400.0,507.0,646.0,491.0,153.0
11500.0,507.0,646.0,491.0,153.0
11600.0,506.0,644.0,488.0,153.0
11700.0,504.0,645.0,489.0,153.0
11800.0,503.0,644.0,489.0,153.0
11900.0,502.0,643.0,488.0,152.0
12000.0,501.0,642.0,487.0,152.0
12100.0,500.0,642.0,487.0,152.0
12200.0,498.0,641.0,486.0,151.0
12300.0,498.0,641.0,486.0,152.0
12400.0,498.0,640.0,486.0,151.0
12500.0,497.0,639.0,484.0,151.0
12600.0,496.0,639.0,484.0,150.0
12700.0,496.0,639.0,484.0,150.0
12800.0,496.0,638.0,483.0,151.0
12900.0,497.0,638.0,483.0,150.0
13000.0,497.0,637.0,482.0,150.0
13100.0,496.0,637.0,482.0,150.0
13200.0,497.0,637.0,481.0,150.0
13300.0,496.0,637.0,481.0,150.0
13400.0,496.0,636.0,480.0,149.0
13500.0,498.0,637.0,480.0,149.0
13600.0,497.0,636.0,480.0,149.0
13700.0,498.0,637.0,481.0,149.0
13800.0,499.0,636.0,480.0,149.0
13900.0,499.0,636.0,479.0,150.0
14000.0,500.0,636.0,479.0,150.0
14100.0,500.0,636.0,479.0,150.0
14200.0,502.0,636.0,478.0,149.0
14300.0,502.0,636.0,479.0,150.0
14400.0,503.0,636.0,478.0,150.0
14500.0,503.0,635.0,479.0,149.0
14600.0,504.0,636.0,478.0,149.0
14700.0,505.0,636.0,478.0,150.0
14800.0,505.0,636.0,478.0,151.0
14900.0,507.0,636.0,478.0,151.0
15000.0,507.0,637.0,478.0,150.0
15100.0,507.0,637.0,479.0,151.0
15200.0,509.0,638.0,478.0,152.0
15300.0,510.0,637.0,478.0,151.0
15400.0,511.0,638.0,479.0,152.0
15500.0,512.0,639.0,479.0,152.0
15600.0,512.0,640.0,480.0,152.0
15700.0,513.0,640.0,480.0,153.0
15800.0,514.0,641.0,480.0,152.0
15900.0,514.0,641.0,480.0,153.0
16000.0,515.0,642.0,480.0,154.0
16100.0,515.0,642.0,480.0,153.0
16200.0,516.0,642.0,480.0,154.0
16300.0,516.0,641.0,481.0,154.0
16400.0,517.0,643.0,482.0,154.0
16500.0,516.0,643.0,481.0,154.0
16600.0,517.0,643.0,481.0,155.0
16700.0,518.0,644.0,482.0,155.0
16800.0,518.0,644.0,482.0,155.0
16900.0,518.0,644.0,482.0,155.0
17000.0,518.0,645.0,483.0,155.0
17100.0,518.0,645.0,483.0,156.0
17200.0,519.0,646.0,482.0,156.0
17300.0,519.0,645.0,484.0,156.0
17400.0,519.0,645.0,484.0,156.0
17500.0,518.0,646.0,483.0,156.0
17600.0,519.0,646.0,484.0,156.0
17700.0,520.0,646.0,484.0,156.0
