timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,595.0,722.0,562.0,183.0
100.0,595.0,721.0,562.0,182.0
200.0,595.0,722.0,561.0,183.0
300.0,595.0,722.0,561.0,183.0
400.0,595.0,722.0,561.0,182.0
500.0,596.0,721.0,562.0,183.0
600.0,596.0,722.0,563.0,182.0
700.0,596.0,723.0,563.0,182.0
800.0,596.0,723.0,562.0,182.0
900.0,596.0,722.0,563.0,181.0
1000.0,596.0,722.0,562.0,181.0
1100.0,597.0,723.0,563.0,181.0
1200.0,596.0,723.0,563.0,181.0
1300.0,598.0,723.0,562.0,181.0
1400.0,597.0,723.0,563.0,181.0
1500.0,598.0,724.0,562.0,180.0
1600.0,598.0,723.0,563.0,180.0
1700.0,598.0,723.0,563.0,180.0
1800.0,597.0,723.0,562.0,179.0
1900.0,597.0,723.0,561.0,179.0
2000.0,598.0,722.0,563.0,180.0
2100.0,597.0,723.0,563.0,180.0
2200.0,597.0,723.0,562.0,179.0
2300.0,598.0,723.0,561.0,179.0
2400.0,598.0,723.0,563.0,179.0
2500.0,598.0,723.0,562.0,179.0
2600.0,597.0,723.0,562.0,179.0
2700.0,598.0,724.0,562.0,179.0
2800.0,598.0,724.0,562.0,179.0
2900.0,599.0,724.0,563.0,179.0
3000.0,599.0,724.0,561.0,179.0
3100.0,600.0,724.0,562.0,180.0
3200.0,600.0,724.0,561.0,179.0
3300.0,600.0,724.0,563.0,179.0
3400.0,601.0,725.0,562.0,179.0
3500.0,601.0,725.0,562.0,180.0
3600.0,602.0,726.0,563.0,179.0
3700.0,603.0,726.0,562.0,179.0
3800.0,603.0,726.0,563.0,179.0
3900.0,603.0,726.0,562.0,179.0
4000.0,604.0,727.0,563.0,179.0
4100.0,604.0,727.0,563.0,179.0
4200.0,604.0,727.0,563.0,179.0
4300.0,606.0,727.0,562.0,179.0
4400.0,605.0,727.0,564.0,177.0
4500.0,606.0,727.0,563.0,179.0
4600.0,606.0,727.0,564.0,178.0
4700.0,605.0,727.0,564.0,178.0
4800.0,606.0,727.0,563.0,177.0
4900.0,606.0,726.0,563.0,178.0
5000.0,606.0,727.0,564.0,178.0
5100.0,605.0,727.0,564.0,178.0
5200.0,605.0,726.0,564.0,177.0
5300.0,604.0,727.0,564.0,178.0
5400.0,604.0,727.0,564.0,178.0
5500.0,604.0,727.0,564.0,178.0
5600.0,603.0,727.0,564.0,178.0
5700.0,602.0,727.0,563.0,179.0
5800.0,602.0,726.0,563.0,177.0
5900.0,601.0,727.0,563.0,178.0
6000.0,601.0,727.0,563.0,178.0
6100.0,601.0,727.0,564.0,179.0
6200.0,601.0,727.0,563.0,179.0
6300.0,600.0,726.0,564.0,180.0
6400.0,599.0,727.0,564.0,180.0
6500.0,599.0,727.0,564.0,179.0
6600.0,598.0,727.0,563.0,180.0
6700.0,598.0,726.0,564.0,179.0
6800.0,599.0,726.0,564.0,180.0
6900.0,597.0,726.0,564.0,179.0
7000.0,597.0,726.0,564.0,179.0
7100.0,597.0,726.0,564.0,179.0
7200.0,597.0,725.0,564.0,179.0
7300.0,597.0,725.0,564.0,179.0
7400.0,596.0,726.0,564.0,178.0
7500.0,596.0,725.0,564.0,179.0
7600.0,595.0,725.0,563.0,178.0
7700.0,595.0,725.0,564.0,179.0
7800.0,594.0,725.0,564.0,178.0
7900.0,594.0,725.0,563.0,178.0
8000.0,594.0,725.0,563.0,178.0
8100.0,594.0,724.0,563.0,177.0
8200.0,594.0,724.0,563.0,178.0
8300.0,593.0,724.0,563.0,177.0
8400.0,592.0,723.0,563.0,177.0
8500.0,592.0,724.0,562.0,176.0
8600.0,592.0,723.0,562.0,175.0
8700.0,592.0,723.0,562.0,176.0
8800.0,591.0,723.0,561.0,175.0
8900.0,591.0,722.0,561.0,174.0
9000.0,590.0,722.0,560.0,174.0
9100.0,591.0,721.0,560.0,174.0
9200.0,590.0,721.0,560.0,173.0
9300.0,590.0,721.0,560.0,172.0
9400.0,590.0,722.0,559.0,173.0
9500.0,589.0,721.0,559.0,172.0
9600.0,589.0,719.0,559.0,172.0
9700.0,589.0,720.0,558.0,172.0
9800.0,588.0,719.0,558.0,171.0
9900.0,587.0,719.0,557.0,171.0
10000.0,587.0,718.0,556.0,171.0
10100.0,586.0,718.0,557.0,171.0
10200.0,585.0,718.0,556.0,171.0
10300.0,585.0,717.0,556.0,170.0
10400.0,585.0,717.0,555.0,170.0
10500.0,584.0,717.0,555.0,169.0
10600.0,584.0,716.0,555.0,170.0
10700.0,583.0,716.0,554.0,169.0
10800.0,582.0,716.0,554.0,170.0
10900.0,582.0,714.0,554.0,169.0
11000.0,581.0,715.0,553.0,169.0
11100.0,581.0,714.0,552.0,170.0
11200.0,580.0,715.0,553.0,170.0
11300.0,581.0,714.0,552.0,170.0
11400.0,580.0,713.0,552.0,171.0
11500.0,580.0,714.0,552.0,170.0
11600.0,580.0,714.0,552.0,170.0
11700.0,580.0,714.0,552.0,171.0
11800.0,580.0,713.0,553.0,171.0
11900.0,580.0,714.0,552.0,172.0
12000.0,580.0,714.0,551.0,171.0
12100.0,580.0,714.0,552.0,172.0
12200.0,580.0,714.0,552.0,173.0
12300.0,581.0,715.0,552.0,172.0
12400.0,581.0,714.0,553.0,173.0
12500.0,580.0,715.0,552.0,173.0
12600.0,581.0,715.0,552.0,174.0
12700.0,582.0,715.0,553.0,174.0
12800.0,583.0,715.0,553.0,174.0
12900.0,584.0,716.0,554.0,174.0
13000.0,584.0,717.0,554.0,175.0
13100.0,584.0,717.0,553.0,175.0
13200.0,585.0,717.0,554.0,176.0
13300.0,585.0,717.0,554.0,175.0
13400.0,586.0,717.0,555.0,176.0
13500.0,587.0,717.0,555.0,176.0
13600.0,587.0,718.0,555.0,176.0
13700.0,587.0,718.0,555.0,176.0
13800.0,588.0,718.0,556.0,177.0
13900.0,588.0,719.0,556.0,177.0
