timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,366.0,722.0,485.0,295.0
100.0,365.0,722.0,484.0,295.0
200.0,365.0,721.0,483.0,295.0
300.0,365.0,721.0,483.0,297.0
400.0,364.0,721.0,484.0,298.0
500.0,365.0,720.0,481.0,297.0
600.0,365.0,721.0,482.0,299.0
700.0,364.0,720.0,482.0,300.0
800.0,364.0,720.0,482.0,301.0
900.0,363.0,719.0,481.0,302.0
1000.0,363.0,719.0,481.0,302.0
1100.0,364.0,719.0,481.0,304.0
1200.0,363.0,719.0,480.0,305.0
1300.0,363.0,718.0,479.0,305.0
1400.0,363.0,719.0,479.0,309.0
1500.0,362.0,717.0,480.0,309.0
1600.0,362.0,717.0,479.0,311.0
1700.0,362.0,717.0,479.0,311.0
1800.0,362.0,718.0,479.0,312.0
1900.0,362.0,717.0,477.0,314.0
2000.0,361.0,717.0,478.0,317.0
2100.0,361.0,717.0,477.0,317.0
2200.0,361.0,716.0,478.0,320.0
2300.0,360.0,716.0,477.0,321.0
2400.0,360.0,717.0,477.0,323.0
2500.0,360.0,715.0,477.0,323.0
2600.0,360.0,715.0,476.0,324.0
2700.0,361.0,716.0,476.0,325.0
2800.0,360.0,714.0,475.0,327.0
2900.0,359.0,714.0,475.0,328.0
3000.0,359.0,714.0,475.0,329.0
3100.0,359.0,713.0,475.0,329.0
3200.0,359.0,714.0,474.0,328.0
3300.0,358.0,714.0,474.0,330.0
3400.0,359.0,714.0,474.0,330.0
3500.0,359.0,713.0,473.0,330.0
3600.0,359.0,713.0,473.0,331.0
3700.0,358.0,713.0,473.0,331.0
3800.0,358.0,712.0,472.0,331.0
3900.0,358.0,712.0,472.0,331.0
4000.0,358.0,712.0,472.0,330.0
4100.0,358.0,712.0,471.0,332.0
4200.0,358.0,711.0,471.0,332.0
4300.0,358.0,710.0,471.0,332.0
4400.0,358.0,711.0,470.0,332.0
4500.0,357.0,711.0,470.0,334.0
4600.0,357.0,710.0,470.0,334.0
4700.0,357.0,710.0,470.0,335.0
4800.0,357.0,711.0,469.0,336.0
4900.0,357.0,711.0,469.0,338.0
5000.0,357.0,710.0,470.0,340.0
5100.0,356.0,710.0,468.0,342.0
5200.0,356.0,709.0,468.0,344.0
5300.0,357.0,709.0,468.0,346.0
5400.0,356.0,708.0,468.0,349.0
5500.0,356.0,709.0,468.0,351.0
5600.0,356.0,709.0,468.0,353.0
5700.0,356.0,708.0,467.0,354.0
5800.0,356.0,708.0,467.0,356.0
5900.0,356.0,709.0,467.0,360.0
6000.0,355.0,707.0,466.0,361.0
6100.0,356.0,707.0,467.0,364.0
6200.0,356.0,708.0,466.0,366.0
6300.0,356.0,707.0,467.0,370.0
6400.0,356.0,706.0,466.0,371.0
6500.0,356.0,708.0,466.0,374.0
6600.0,355.0,706.0,465.0,375.0
6700.0,355.0,707.0,465.0,379.0
6800.0,356.0,707.0,464.0,380.0
6900.0,356.0,707.0,465.0,382.0
7000.0,356.0,707.0,465.0,383.0
7100.0,355.0,707.0,465.0,383.0
7200.0,356.0,705.0,464.0,386.0
7300.0,356.0,705.0,465.0,387.0
7400.0,356.0,705.0,464.0,389.0
7500.0,356.0,705.0,464.0,389.0
7600.0,356.0,705.0,463.0,391.0
7700.0,356.0,705.0,463.0,391.0
7800.0,356.0,704.0,463.0,393.0
7900.0,356.0,705.0,463.0,393.0
8000.0,355.0,704.0,462.0,394.0
8100.0,356.0,705.0,462.0,396.0
8200.0,356.0,705.0,463.0,396.0
8300.0,356.0,704.0,462.0,397.0
8400.0,356.0,704.0,462.0,397.0
8500.0,356.0,704.0,462.0,400.0
8600.0,356.0,703.0,461.0,400.0
8700.0,356.0,703.0,461.0,401.0
8800.0,356.0,704.0,461.0,402.0
8900.0,355.0,704.0,460.0,403.0
9000.0,355.0,703.0,461.0,403.0
9100.0,355.0,702.0,460.0,406.0
9200.0,355.0,703.0,461.0,407.0
9300.0,355.0,702.0,460.0,408.0
9400.0,356.0,702.0,460.0,408.0
9500.0,356.0,703.0,460.0,409.0
9600.0,356.0,702.0,459.0,411.0
9700.0,355.0,702.0,460.0,412.0
9800.0,355.0,702.0,460.0,412.0
9900.0,355.0,702.0,459.0,413.0
10000.0,354.0,702.0,459.0,415.0
10100.0,355.0,701.0,458.0,415.0
10200.0,355.0,701.0,459.0,417.0
10300.0,355.0,702.0,458.0,419.0
10400.0,355.0,701.0,458.0,419.0
10500.0,355.0,701.0,458.0,420.0
10600.0,356.0,702.0,458.0,421.0
10700.0,355.0,701.0,457.0,424.0
10800.0,356.0,701.0,457.0,424.0
10900.0,355.0,701.0,458.0,424.0
11000.0,356.0,701.0,458.0,425.0
11100.0,355.0,700.0,457.0,427.0
11200.0,355.0,700.0,457.0,427.0
11300.0,356.0,700.0,457.0,429.0
11400.0,355.0,700.0,457.0,431.0
11500.0,356.0,700.0,456.0,430.0
11600.0,354.0,700.0,456.0,431.0
11700.0,356.0,700.0,456.0,432.0
11800.0,356.0,699.0,456.0,433.0
11900.0,355.0,699.0,456.0,434.0
12000.0,355.0,698.0,456.0,436.0
12100.0,355.0,700.0,455.0,436.0
12200.0,356.0,699.0,455.0,438.0
12300.0,356.0,699.0,455.0,438.0
12400.0,356.0,698.0,455.0,439.0
12500.0,356.0,699.0,455.0,441.0
12600.0,356.0,700.0,455.0,442.0
12700.0,355.0,698.0,455.0,442.0
12800.0,356.0,699.0,454.0,443.0
12900.0,356.0,698.0,455.0,444.0
13000.0,355.0,698.0,455.0,445.0
13100.0,356.0,698.0,454.0,446.0
13200.0,356.0,699.0,453.0,449.0
13300.0,356.0,698.0,454.0,448.0
13400.0,356.0,698.0,454.0,449.0
13500.0,356.0,698.0,453.0,450.0
13600.0,356.0,698.0,454.0,452.0
13700.0,356.0,697.0,453.0,453.0
13800.0,355.0,698.0,453.0,455.0
13900.0,356.0,697.0,453.0,456.0
14000.0,355.0,698.0,454.0,456.0
14100.0,356.0,697.0,453.0,458.0
14200.0,356.0,696.0,453.0,460.0
14300.0,357.0,698.0,452.0,459.0
14400.0,357.0,696.0,452.0,461.0
14500.0,356.0,697.0,452.0,463.0
14600.0,356.0,697.0,452.0,464.0
14700.0,357.0,697.0,452.0,465.0
14800.0,357.0,697.0,453.0,466.0
14900.0,357.0,697.0,452.0,468.0
15000.0,356.0,696.0,451.0,468.0
15100.0,357.0,697.0,452.0,469.0
15200.0,356.0,696.0,451.0,469.0
15300.0,357.0,697.0,452.0,470.0
15400.0,357.0,697.0,452.0,473.0
15500.0,357.0,697.0,451.0,473.0
15600.0,356.0,696.0,452.0,475.0
15700.0,357.0,696.0,451.0,475.0
15800.0,357.0,696.0,451.0,476.0
15900.0,357.0,696.0,451.0,477.0
16000.0,357.0,696.0,450.0,479.0
16100.0,358.0,696.0,451.0,478.0
16200.0,357.0,695.0,450.0,480.0
16300.0,358.0,695.0,450.0,481.0
16400.0,358.0,695.0,450.0,481.0
16500.0,357.0,696.0,450.0,481.0
16600.0,358.0,696.0,449.0,484.0
16700.0,358.0,695.0,450.0,485.0
16800.0,358.0,696.0,450.0,486.0
16900.0,357.0,695.0,450.0,486.0
17000.0,358.0,696.0,450.0,485.0
17100.0,359.0,695.0,450.0,487.0
17200.0,358.0,696.0,450.0,487.0
17300.0,359.0,695.0,450.0,488.0
17400.0,357.0,695.0,450.0,489.0
17500.0,359.0,695.0,449.0,489.0
17600.0,359.0,695.0,450.0,489.0
17700.0,359.0,695.0,450.0,492.0
17800.0,359.0,695.0,449.0,490.0
17900.0,359.0,695.0,449.0,491.0
18000.0,359.0,694.0,449.0,492.0
18100.0,359.0,694.0,449.0,494.0
18200.0,359.0,695.0,448.0,494.0
18300.0,359.0,695.0,449.0,495.0
18400.0,360.0,695.0,448.0,496.0
18500.0,361.0,695.0,449.0,496.0
18600.0,360.0,695.0,448.0,496.0
18700.0,360.0,695.0,448.0,498.0
18800.0,360.0,695.0,449.0,498.0
18900.0,360.0,695.0,449.0,499.0
19000.0,361.0,695.0,448.0,500.0
19100.0,361.0,695.0,449.0,501.0
19200.0,361.0,694.0,449.0,500.0
19300.0,361.0,694.0,448.0,502.0
19400.0,361.0,695.0,448.0,501.0
19500.0,361.0,695.0,448.0,502.0
19600.0,361.0,694.0,449.0,503.0
19700.0,362.0,694.0,449.0,503.0
19800.0,362.0,694.0,448.0,504.0
19900.0,362.0,695.0,448.0,504.0
