timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,473.0,504.0,335.0,300.0
100.0,477.0,505.0,335.0,302.0
200.0,481.0,505.0,336.0,304.0
300.0,484.0,507.0,337.0,305.0
400.0,488.0,509.0,338.0,308.0
500.0,492.0,509.0,339.0,311.0
600.0,496.0,510.0,342.0,313.0
700.0,500.0,512.0,343.0,316.0
800.0,504.0,513.0,344.0,317.0
900.0,507.0,514.0,346.0,320.0
1000.0,510.0,515.0,347.0,322.0
1100.0,514.0,517.0,348.0,325.0
1200.0,517.0,518.0,349.0,327.0
1300.0,521.0,520.0,351.0,328.0
1400.0,524.0,521.0,351.0,331.0
1500.0,527.0,523.0,352.0,333.0
1600.0,530.0,524.0,353.0,334.0
1700.0,531.0,525.0,355.0,336.0
1800.0,535.0,527.0,355.0,338.0
1900.0,537.0,528.0,357.0,339.0
2000.0,540.0,530.0,357.0,340.0
2100.0,542.0,530.0,359.0,342.0
2200.0,544.0,532.0,359.0,343.0
2300.0,545.0,533.0,360.0,343.0
2400.0,546.0,534.0,361.0,345.0
2500.0,547.0,535.0,363.0,344.0
2600.0,547.0,536.0,363.0,346.0
2700.0,549.0,538.0,364.0,346.0
2800.0,551.0,538.0,365.0,346.0
2900.0,551.0,539.0,366.0,346.0
3000.0,551.0,539.0,366.0,344.0
3100.0,551.0,540.0,367.0,345.0
3200.0,551.0,542.0,368.0,345.0
3300.0,552.0,543.0,368.0,344.0
3400.0,552.0,543.0,368.0,344.0
3500.0,552.0,543.0,369.0,342.0
3600.0,552.0,544.0,369.0,342.0
3700.0,552.0,545.0,370.0,341.0
3800.0,551.0,545.0,369.0,340.0
3900.0,550.0,546.0,370.0,340.0
4000.0,550.0,546.0,371.0,337.0
4100.0,550.0,547.0,371.0,336.0
4200.0,549.0,546.0,371.0,335.0
4300.0,549.0,547.0,372.0,334.0
4400.0,548.0,547.0,373.0,333.0
4500.0,547.0,548.0,372.0,330.0
4600.0,546.0,548.0,373.0,331.0
4700.0,545.0,547.0,372.0,329.0
4800.0,544.0,548.0,372.0,328.0
4900.0,542.0,548.0,372.0,326.0
5000.0,542.0,547.0,373.0,324.0
5100.0,541.0,547.0,373.0,323.0
5200.0,540.0,548.0,372.0,322.0
5300.0,538.0,548.0,372.0,320.0
5400.0,537.0,547.0,372.0,319.0
5500.0,536.0,548.0,372.0,317.0
5600.0,535.0,547.0,372.0,316.0
5700.0,534.0,547.0,372.0,315.0
5800.0,532.0,547.0,372.0,314.0
5900.0,530.0,547.0,371.0,313.0
6000.0,528.0,546.0,371.0,311.0
6100.0,527.0,547.0,371.0,309.0
6200.0,525.0,546.0,370.0,308.0
6300.0,524.0,546.0,372.0,307.0
6400.0,522.0,546.0,371.0,306.0
6500.0,520.0,546.0,371.0,306.0
6600.0,519.0,545.0,370.0,304.0
6700.0,518.0,545.0,370.0,303.0
6800.0,516.0,546.0,370.0,302.0
6900.0,514.0,545.0,369.0,302.0
7000.0,513.0,545.0,370.0,299.0
7100.0,511.0,544.0,369.0,300.0
7200.0,510.0,543.0,369.0,300.0
7300.0,508.0,543.0,368.0,298.0
7400.0,506.0,543.0,368.0,297.0
7500.0,505.0,542.0,368.0,296.0
7600.0,503.0,543.0,368.0,295.0
7700.0,501.0,541.0,367.0,295.0
7800.0,500.0,541.0,368.0,295.0
7900.0,498.0,542.0,367.0,294.0
8000.0,498.0,542.0,367.0,294.0
8100.0,497.0,542.0,367.0,294.0
8200.0,495.0,541.0,366.0,293.0
8300.0,494.0,541.0,367.0,292.0
8400.0,492.0,541.0,366.0,291.0
8500.0,491.0,540.0,365.0,292.0
8600.0,490.0,541.0,366.0,291.0
8700.0,489.0,541.0,365.0,291.0
8800.0,488.0,540.0,364.0,290.0
8900.0,487.0,540.0,365.0,289.0
9000.0,486.0,540.0,366.0,289.0
9100.0,485.0,539.0,364.0,289.0
9200.0,484.0,540.0,365.0,289.0
9300.0,482.0,539.0,364.0,288.0
9400.0,482.0,539.0,364.0,288.0
9500.0,481.0,539.0,363.0,287.0
9600.0,480.0,540.0,363.0,287.0
