timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,561.0,686.0,459.0,372.0
100.0,560.0,685.0,458.0,373.0
200.0,560.0,685.0,459.0,371.0
300.0,559.0,685.0,459.0,368.0
400.0,559.0,685.0,459.0,369.0
500.0,558.0,685.0,458.0,369.0
600.0,558.0,685.0,458.0,366.0
700.0,557.0,684.0,457.0,368.0
800.0,557.0,685.0,459.0,367.0
900.0,556.0,684.0,458.0,365.0
1000.0,556.0,684.0,458.0,367.0
1100.0,555.0,684.0,457.0,366.0
1200.0,555.0,684.0,457.0,365.0
1300.0,554.0,684.0,458.0,365.0
1400.0,553.0,683.0,458.0,364.0
1500.0,553.0,683.0,458.0,366.0
1600.0,553.0,684.0,456.0,367.0
1700.0,553.0,684.0,456.0,366.0
1800.0,552.0,684.0,457.0,367.0
1900.0,552.0,684.0,456.0,367.0
2000.0,552.0,684.0,456.0,368.0
2100.0,552.0,684.0,456.0,368.0
2200.0,552.0,683.0,457.0,368.0
2300.0,552.0,684.0,456.0,369.0
2400.0,552.0,683.0,456.0,368.0
2500.0,552.0,683.0,456.0,368.0
2600.0,552.0,683.0,457.0,368.0
2700.0,552.0,682.0,456.0,370.0
2800.0,552.0,682.0,456.0,369.0
2900.0,552.0,684.0,456.0,371.0
3000.0,552.0,683.0,457.0,370.0
3100.0,553.0,683.0,456.0,371.0
3200.0,552.0,683.0,457.0,370.0
3300.0,554.0,684.0,456.0,371.0
3400.0,554.0,683.0,456.0,370.0
3500.0,553.0,684.0,457.0,370.0
3600.0,554.0,683.0,456.0,370.0
3700.0,554.0,683.0,457.0,370.0
3800.0,553.0,683.0,456.0,370.0
3900.0,554.0,683.0,456.0,369.0
4000.0,554.0,683.0,456.0,369.0
4100.0,554.0,683.0,456.0,367.0
4200.0,553.0,682.0,457.0,366.0
4300.0,552.0,683.0,456.0,365.0
4400.0,552.0,682.0,456.0,365.0
4500.0,553.0,683.0,456.0,365.0
4600.0,552.0,683.0,456.0,364.0
4700.0,551.0,682.0,456.0,363.0
4800.0,551.0,682.0,455.0,363.0
4900.0,550.0,682.0,455.0,363.0
5000.0,551.0,682.0,456.0,364.0
5100.0,550.0,682.0,455.0,363.0
5200.0,550.0,682.0,455.0,364.0
5300.0,549.0,682.0,454.0,364.0
5400.0,550.0,682.0,455.0,364.0
5500.0,550.0,681.0,454.0,364.0
5600.0,549.0,682.0,455.0,365.0
5700.0,549.0,681.0,455.0,366.0
5800.0,549.0,682.0,454.0,366.0
5900.0,550.0,681.0,455.0,367.0
6000.0,550.0,682.0,455.0,367.0
6100.0,550.0,682.0,455.0,368.0
6200.0,549.0,682.0,455.0,367.0
6300.0,550.0,681.0,455.0,368.0
6400.0,551.0,682.0,455.0,369.0
6500.0,551.0,682.0,455.0,371.0
6600.0,551.0,682.0,455.0,370.0
6700.0,551.0,682.0,455.0,371.0
6800.0,551.0,681.0,455.0,371.0
6900.0,551.0,682.0,455.0,371.0
7000.0,551.0,682.0,456.0,373.0
7100.0,552.0,682.0,456.0,373.0
7200.0,551.0,682.0,456.0,373.0
7300.0,552.0,681.0,456.0,372.0
7400.0,553.0,682.0,456.0,372.0
7500.0,552.0,682.0,456.0,373.0
7600.0,552.0,682.0,455.0,373.0
7700.0,552.0,682.0,455.0,372.0
7800.0,553.0,683.0,456.0,373.0
7900.0,553.0,683.0,456.0,373.0
8000.0,553.0,683.0,456.0,374.0
8100.0,554.0,683.0,456.0,374.0
8200.0,554.0,683.0,456.0,375.0
8300.0,554.0,683.0,456.0,374.0
8400.0,554.0,683.0,456.0,375.0
8500.0,555.0,684.0,455.0,375.0
8600.0,555.0,683.0,456.0,374.0
8700.0,554.0,683.0,456.0,375.0
8800.0,555.0,684.0,456.0,375.0
8900.0,555.0,684.0,456.0,375.0
9000.0,555.0,683.0,456.0,375.0
9100.0,555.0,683.0,456.0,376.0
9200.0,555.0,683.0,456.0,376.0
9300.0,555.0,684.0,456.0,377.0
9400.0,555.0,684.0,455.0,376.0
9500.0,556.0,684.0,456.0,376.0
9600.0,556.0,684.0,456.0,376.0
9700.0,555.0,684.0,456.0,378.0
9800.0,555.0,684.0,456.0,378.0
9900.0,555.0,684.0,456.0,378.0
10000.0,555.0,684.0,455.0,379.0
10100.0,555.0,683.0,456.0,381.0
10200.0,556.0,683.0,456.0,380.0
10300.0,556.0,683.0,455.0,381.0
10400.0,556.0,684.0,456.0,382.0
10500.0,556.0,683.0,455.0,381.0
10600.0,557.0,683.0,456.0,381.0
10700.0,556.0,684.0,456.0,381.0
10800.0,558.0,683.0,456.0,381.0
10900.0,558.0,684.0,455.0,382.0
11000.0,558.0,684.0,456.0,383.0
11100.0,559.0,684.0,456.0,383.0
11200.0,559.0,684.0,456.0,382.0
11300.0,559.0,684.0,456.0,382.0
11400.0,559.0,684.0,456.0,385.0
11500.0,559.0,684.0,456.0,382.0
11600.0,560.0,684.0,456.0,382.0
11700.0,559.0,684.0,457.0,382.0
11800.0,560.0,684.0,456.0,382.0
11900.0,559.0,683.0,456.0,381.0
12000.0,560.0,684.0,457.0,381.0
12100.0,561.0,684.0,457.0,379.0
12200.0,560.0,684.0,456.0,380.0
12300.0,560.0,684.0,457.0,380.0
