timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,436.0,416.0,257.0,602.0
100.0,438.0,416.0,258.0,602.0
200.0,437.0,417.0,258.0,602.0
300.0,439.0,417.0,258.0,602.0
400.0,438.0,418.0,259.0,601.0
500.0,439.0,418.0,259.0,602.0
600.0,440.0,418.0,259.0,602.0
700.0,440.0,419.0,259.0,602.0
800.0,440.0,419.0,261.0,603.0
900.0,441.0,420.0,260.0,604.0
1000.0,442.0,420.0,262.0,604.0
1100.0,441.0,420.0,261.0,604.0
1200.0,442.0,421.0,260.0,604.0
1300.0,442.0,421.0,262.0,605.0
1400.0,442.0,421.0,262.0,606.0
1500.0,443.0,422.0,262.0,605.0
1600.0,443.0,422.0,263.0,607.0
1700.0,443.0,423.0,263.0,607.0
1800.0,444.0,423.0,263.0,607.0
1900.0,445.0,423.0,264.0,608.0
2000.0,444.0,423.0,264.0,608.0
2100.0,445.0,424.0,265.0,608.0
2200.0,445.0,425.0,265.0,609.0
2300.0,446.0,426.0,265.0,609.0
2400.0,445.0,426.0,265.0,610.0
2500.0,446.0,425.0,265.0,610.0
2600.0,447.0,426.0,265.0,610.0
2700.0,447.0,427.0,266.0,610.0
2800.0,447.0,427.0,266.0,611.0
2900.0,448.0,428.0,267.0,611.0
3000.0,448.0,428.0,267.0,612.0
3100.0,448.0,429.0,267.0,611.0
3200.0,449.0,429.0,268.0,612.0
3300.0,449.0,429.0,268.0,613.0
3400.0,450.0,429.0,270.0,614.0
3500.0,450.0,431.0,269.0,613.0
3600.0,450.0,430.0,269.0,615.0
3700.0,451.0,431.0,271.0,614.0
3800.0,452.0,432.0,271.0,615.0
3900.0,452.0,432.0,270.0,615.0
4000.0,452.0,433.0,271.0,615.0
4100.0,453.0,432.0,271.0,615.0
4200.0,453.0,433.0,272.0,616.0
4300.0,453.0,434.0,272.0,615.0
4400.0,454.0,434.0,273.0,615.0
4500.0,455.0,435.0,273.0,615.0
4600.0,454.0,434.0,273.0,615.0
4700.0,455.0,436.0,274.0,615.0
4800.0,455.0,435.0,274.0,615.0
4900.0,456.0,436.0,274.0,614.0
5000.0,457.0,437.0,275.0,613.0
5100.0,457.0,437.0,275.0,612.0
5200.0,457.0,437.0,276.0,612.0
5300.0,457.0,437.0,276.0,612.0
5400.0,458.0,438.0,277.0,611.0
5500.0,457.0,439.0,276.0,611.0
5600.0,458.0,438.0,276.0,611.0
5700.0,458.0,439.0,278.0,610.0
5800.0,459.0,439.0,277.0,610.0
5900.0,459.0,440.0,278.0,610.0
6000.0,459.0,440.0,279.0,609.0
6100.0,459.0,440.0,278.0,610.0
6200.0,459.0,440.0,278.0,609.0
6300.0,460.0,440.0,279.0,609.0
6400.0,460.0,442.0,279.0,609.0
6500.0,461.0,441.0,279.0,609.0
6600.0,460.0,441.0,280.0,610.0
6700.0,461.0,441.0,280.0,609.0
6800.0,461.0,442.0,281.0,609.0
6900.0,461.0,443.0,280.0,608.0
7000.0,462.0,443.0,281.0,608.0
