timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,283.0,268.0,156.0,708.0
100.0,287.0,269.0,156.0,696.0
200.0,289.0,270.0,156.0,680.0
300.0,291.0,271.0,157.0,663.0
400.0,292.0,271.0,158.0,644.0
500.0,296.0,271.0,159.0,623.0
600.0,297.0,270.0,158.0,602.0
700.0,298.0,271.0,159.0,582.0
800.0,300.0,270.0,159.0,561.0
900.0,301.0,270.0,158.0,543.0
1000.0,302.0,271.0,159.0,524.0
1100.0,302.0,270.0,159.0,509.0
1200.0,302.0,269.0,159.0,495.0
1300.0,302.0,270.0,159.0,482.0
1400.0,303.0,270.0,158.0,472.0
1500.0,303.0,270.0,158.0,461.0
1600.0,303.0,269.0,159.0,454.0
1700.0,303.0,268.0,159.0,448.0
1800.0,303.0,269.0,159.0,442.0
1900.0,303.0,269.0,158.0,438.0
2000.0,302.0,269.0,158.0,434.0
2100.0,302.0,269.0,158.0,432.0
2200.0,303.0,269.0,158.0,431.0
2300.0,302.0,269.0,157.0,428.0
2400.0,302.0,269.0,159.0,427.0
2500.0,302.0,270.0,158.0,427.0
2600.0,302.0,269.0,158.0,429.0
2700.0,303.0,269.0,158.0,429.0
2800.0,303.0,270.0,158.0,430.0
2900.0,303.0,270.0,159.0,431.0
3000.0,302.0,270.0,158.0,432.0
3100.0,302.0,270.0,158.0,434.0
3200.0,302.0,270.0,159.0,436.0
3300.0,302.0,270.0,159.0,438.0
3400.0,303.0,271.0,159.0,441.0
3500.0,303.0,271.0,159.0,442.0
3600.0,304.0,271.0,159.0,445.0
3700.0,303.0,272.0,159.0,447.0
3800.0,304.0,272.0,160.0,449.0
3900.0,303.0,273.0,160.0,454.0
4000.0,303.0,272.0,159.0,456.0
4100.0,304.0,272.0,160.0,460.0
4200.0,305.0,273.0,160.0,463.0
4300.0,305.0,273.0,159.0,466.0
4400.0,306.0,274.0,160.0,469.0
4500.0,305.0,274.0,160.0,472.0
4600.0,306.0,275.0,161.0,476.0
4700.0,306.0,275.0,161.0,478.0
4800.0,307.0,275.0,161.0,482.0
4900.0,307.0,276.0,162.0,485.0
5000.0,307.0,276.0,162.0,488.0
5100.0,307.0,277.0,162.0,492.0
5200.0,308.0,277.0,163.0,494.0
5300.0,308.0,278.0,162.0,498.0
5400.0,309.0,277.0,163.0,501.0
5500.0,309.0,279.0,163.0,505.0
5600.0,310.0,279.0,164.0,509.0
5700.0,309.0,279.0,164.0,513.0
5800.0,311.0,280.0,164.0,518.0
