timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,953.0,976.0,938.0,864.0
100.0,953.0,976.0,939.0,865.0
200.0,954.0,977.0,938.0,866.0
300.0,953.0,976.0,938.0,867.0
400.0,953.0,976.0,938.0,866.0
500.0,953.0,977.0,937.0,867.0
600.0,953.0,977.0,937.0,868.0
700.0,952.0,976.0,937.0,870.0
800.0,952.0,976.0,937.0,870.0
900.0,953.0,977.0,937.0,871.0
1000.0,952.0,976.0,938.0,873.0
1100.0,952.0,976.0,938.0,874.0
1200.0,953.0,976.0,937.0,876.0
1300.0,952.0,976.0,938.0,878.0
1400.0,952.0,976.0,939.0,879.0
1500.0,952.0,975.0,938.0,880.0
1600.0,952.0,976.0,939.0,884.0
1700.0,952.0,976.0,937.0,886.0
1800.0,953.0,976.0,938.0,886.0
1900.0,953.0,977.0,938.0,889.0
2000.0,953.0,976.0,938.0,889.0
2100.0,953.0,976.0,938.0,890.0
2200.0,953.0,976.0,938.0,891.0
2300.0,953.0,976.0,937.0,891.0
2400.0,952.0,976.0,938.0,893.0
2500.0,953.0,976.0,938.0,894.0
2600.0,952.0,976.0,938.0,894.0
2700.0,952.0,976.0,938.0,894.0
2800.0,952.0,976.0,938.0,896.0
2900.0,953.0,976.0,938.0,895.0
3000.0,953.0,977.0,938.0,896.0
3100.0,953.0,977.0,938.0,896.0
3200.0,952.0,977.0,937.0,896.0
3300.0,952.0,976.0,939.0,898.0
3400.0,952.0,976.0,937.0,897.0
3500.0,952.0,976.0,938.0,897.0
3600.0,952.0,976.0,939.0,897.0
3700.0,952.0,975.0,938.0,897.0
3800.0,952.0,976.0,938.0,897.0
3900.0,952.0,977.0,938.0,896.0
4000.0,952.0,976.0,939.0,896.0
4100.0,952.0,977.0,939.0,896.0
4200.0,952.0,977.0,938.0,895.0
4300.0,953.0,976.0,939.0,894.0
4400.0,952.0,977.0,938.0,893.0
4500.0,953.0,977.0,938.0,892.0
4600.0,952.0,976.0,939.0,889.0
4700.0,952.0,976.0,939.0,886.0
4800.0,953.0,976.0,939.0,880.0
4900.0,953.0,976.0,938.0,873.0
5000.0,953.0,976.0,938.0,866.0
5100.0,953.0,977.0,938.0,858.0
5200.0,952.0,976.0,938.0,852.0
5300.0,952.0,977.0,938.0,845.0
5400.0,952.0,976.0,938.0,838.0
5500.0,952.0,977.0,937.0,832.0
5600.0,952.0,976.0,938.0,825.0
5700.0,952.0,977.0,938.0,817.0
5800.0,953.0,976.0,937.0,811.0
5900.0,952.0,976.0,937.0,806.0
6000.0,952.0,976.0,937.0,801.0
6100.0,952.0,976.0,937.0,794.0
6200.0,952.0,976.0,936.0,790.0
6300.0,951.0,975.0,937.0,786.0
6400.0,952.0,976.0,936.0,782.0
6500.0,951.0,975.0,936.0,778.0
6600.0,951.0,975.0,936.0,775.0
6700.0,951.0,976.0,936.0,774.0
6800.0,951.0,976.0,936.0,773.0
6900.0,952.0,976.0,935.0,770.0
7000.0,951.0,976.0,935.0,769.0
7100.0,951.0,976.0,936.0,768.0
7200.0,951.0,975.0,935.0,768.0
7300.0,951.0,976.0,934.0,767.0
7400.0,951.0,975.0,935.0,769.0
7500.0,951.0,976.0,935.0,769.0
7600.0,951.0,975.0,934.0,770.0
7700.0,950.0,975.0,934.0,769.0
7800.0,951.0,975.0,934.0,768.0
7900.0,951.0,976.0,935.0,769.0
8000.0,951.0,975.0,934.0,770.0
8100.0,951.0,976.0,934.0,771.0
8200.0,951.0,975.0,935.0,771.0
8300.0,951.0,976.0,935.0,772.0
8400.0,951.0,976.0,934.0,772.0
8500.0,950.0,976.0,934.0,773.0
8600.0,951.0,975.0,934.0,773.0
8700.0,951.0,974.0,935.0,774.0
8800.0,951.0,976.0,934.0,775.0
8900.0,951.0,975.0,933.0,778.0
9000.0,951.0,975.0,935.0,778.0
9100.0,951.0,976.0,935.0,781.0
9200.0,951.0,976.0,935.0,782.0
9300.0,951.0,975.0,935.0,783.0
9400.0,951.0,975.0,935.0,786.0
9500.0,952.0,976.0,935.0,787.0
9600.0,952.0,976.0,935.0,789.0
9700.0,952.0,975.0,935.0,789.0
9800.0,951.0,976.0,934.0,792.0
9900.0,951.0,976.0,935.0,794.0
10000.0,952.0,975.0,934.0,797.0
10100.0,952.0,975.0,934.0,798.0
10200.0,950.0,975.0,935.0,800.0
10300.0,951.0,976.0,934.0,803.0
10400.0,951.0,976.0,935.0,805.0
10500.0,951.0,976.0,935.0,808.0
10600.0,951.0,976.0,934.0,810.0
10700.0,951.0,975.0,935.0,812.0
10800.0,951.0,975.0,935.0,814.0
10900.0,951.0,975.0,936.0,818.0
11000.0,951.0,975.0,935.0,821.0
11100.0,951.0,975.0,934.0,823.0
11200.0,951.0,976.0,936.0,826.0
11300.0,951.0,976.0,935.0,828.0
11400.0,952.0,974.0,936.0,831.0
11500.0,952.0,975.0,936.0,834.0
11600.0,951.0,976.0,936.0,836.0
11700.0,952.0,976.0,936.0,838.0
11800.0,951.0,976.0,936.0,842.0
11900.0,951.0,976.0,936.0,843.0
12000.0,951.0,975.0,936.0,845.0
12100.0,952.0,975.0,936.0,847.0
12200.0,952.0,976.0,936.0,850.0
12300.0,951.0,976.0,936.0,851.0
12400.0,951.0,975.0,936.0,852.0
12500.0,952.0,976.0,936.0,851.0
12600.0,951.0,976.0,936.0,854.0
12700.0,951.0,975.0,936.0,855.0
12800.0,951.0,975.0,937.0,856.0
12900.0,951.0,975.0,936.0,856.0
13000.0,951.0,975.0,936.0,857.0
13100.0,951.0,976.0,936.0,858.0
13200.0,951.0,976.0,937.0,859.0
13300.0,952.0,976.0,937.0,860.0
13400.0,952.0,975.0,937.0,860.0
13500.0,952.0,976.0,936.0,862.0
13600.0,952.0,976.0,937.0,862.0
13700.0,951.0,976.0,936.0,862.0
13800.0,952.0,975.0,936.0,863.0
13900.0,951.0,976.0,936.0,862.0
14000.0,952.0,976.0,936.0,864.0
14100.0,952.0,976.0,936.0,865.0
