timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,129.0,181.0,109.0,193.0
100.0,129.0,182.0,109.0,194.0
200.0,128.0,182.0,109.0,195.0
300.0,130.0,182.0,109.0,195.0
400.0,129.0,183.0,110.0,196.0
500.0,130.0,182.0,110.0,197.0
600.0,130.0,182.0,109.0,199.0
700.0,129.0,182.0,110.0,200.0
800.0,130.0,182.0,110.0,202.0
900.0,130.0,182.0,109.0,202.0
1000.0,130.0,183.0,109.0,203.0
1100.0,130.0,183.0,109.0,203.0
1200.0,130.0,183.0,110.0,204.0
1300.0,131.0,182.0,108.0,205.0
1400.0,130.0,182.0,109.0,205.0
1500.0,130.0,182.0,110.0,206.0
1600.0,130.0,182.0,110.0,207.0
1700.0,130.0,182.0,109.0,209.0
1800.0,129.0,182.0,109.0,211.0
1900.0,130.0,182.0,110.0,213.0
2000.0,129.0,182.0,110.0,215.0
2100.0,130.0,183.0,110.0,217.0
2200.0,129.0,183.0,109.0,219.0
2300.0,130.0,183.0,109.0,221.0
2400.0,129.0,183.0,110.0,222.0
2500.0,129.0,183.0,109.0,223.0
2600.0,129.0,183.0,110.0,224.0
2700.0,130.0,183.0,110.0,226.0
2800.0,130.0,184.0,110.0,225.0
2900.0,130.0,183.0,110.0,227.0
3000.0,129.0,184.0,110.0,226.0
3100.0,129.0,184.0,109.0,228.0
3200.0,130.0,184.0,111.0,228.0
3300.0,130.0,184.0,110.0,228.0
3400.0,130.0,184.0,110.0,229.0
3500.0,130.0,184.0,111.0,229.0
3600.0,130.0,185.0,110.0,229.0
3700.0,130.0,185.0,111.0,230.0
3800.0,130.0,185.0,111.0,232.0
3900.0,130.0,185.0,110.0,233.0
4000.0,131.0,185.0,110.0,235.0
4100.0,130.0,185.0,111.0,237.0
4200.0,130.0,185.0,111.0,238.0
4300.0,131.0,185.0,110.0,241.0
4400.0,130.0,185.0,111.0,243.0
4500.0,130.0,185.0,110.0,245.0
4600.0,130.0,184.0,111.0,248.0
4700.0,130.0,185.0,111.0,251.0
4800.0,129.0,185.0,110.0,252.0
4900.0,130.0,185.0,111.0,254.0
5000.0,130.0,185.0,111.0,256.0
5100.0,130.0,186.0,111.0,257.0
5200.0,130.0,186.0,111.0,259.0
