timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,288.0,426.0,270.0,186.0
100.0,288.0,426.0,271.0,187.0
200.0,288.0,426.0,271.0,187.0
300.0,288.0,425.0,270.0,188.0
400.0,288.0,426.0,270.0,188.0
500.0,288.0,425.0,270.0,188.0
600.0,289.0,425.0,270.0,188.0
700.0,288.0,425.0,271.0,188.0
800.0,288.0,425.0,270.0,188.0
900.0,288.0,424.0,269.0,188.0
1000.0,288.0,425.0,270.0,189.0
1100.0,288.0,424.0,269.0,187.0
1200.0,288.0,423.0,269.0,187.0
1300.0,288.0,422.0,270.0,186.0
1400.0,288.0,423.0,269.0,184.0
1500.0,288.0,422.0,268.0,183.0
1600.0,287.0,422.0,269.0,182.0
1700.0,287.0,422.0,269.0,181.0
1800.0,287.0,421.0,268.0,179.0
1900.0,287.0,422.0,268.0,178.0
2000.0,287.0,420.0,268.0,176.0
2100.0,287.0,421.0,268.0,176.0
2200.0,287.0,421.0,268.0,175.0
2300.0,287.0,421.0,268.0,174.0
2400.0,286.0,421.0,267.0,174.0
2500.0,287.0,421.0,268.0,172.0
2600.0,286.0,421.0,267.0,172.0
2700.0,285.0,420.0,267.0,171.0
2800.0,285.0,420.0,268.0,171.0
2900.0,284.0,420.0,267.0,171.0
3000.0,282.0,420.0,267.0,171.0
3100.0,282.0,421.0,266.0,171.0
3200.0,283.0,420.0,267.0,171.0
3300.0,285.0,421.0,266.0,171.0
3400.0,285.0,421.0,267.0,172.0
3500.0,286.0,421.0,267.0,171.0
3600.0,285.0,421.0,267.0,172.0
3700.0,285.0,420.0,267.0,171.0
3800.0,285.0,421.0,267.0,171.0
3900.0,285.0,421.0,267.0,171.0
4000.0,286.0,420.0,267.0,170.0
4100.0,284.0,419.0,266.0,171.0
4200.0,284.0,419.0,267.0,170.0
4300.0,285.0,420.0,267.0,169.0
4400.0,285.0,420.0,267.0,168.0
4500.0,285.0,420.0,267.0,169.0
4600.0,286.0,420.0,267.0,168.0
4700.0,286.0,418.0,267.0,167.0
4800.0,286.0,419.0,266.0,167.0
4900.0,286.0,418.0,266.0,166.0
5000.0,286.0,419.0,266.0,166.0
5100.0,286.0,419.0,266.0,165.0
5200.0,285.0,418.0,265.0,165.0
5300.0,285.0,418.0,265.0,165.0
5400.0,286.0,418.0,265.0,164.0
5500.0,285.0,417.0,266.0,164.0
5600.0,285.0,418.0,266.0,162.0
5700.0,284.0,417.0,265.0,163.0
5800.0,282.0,418.0,266.0,162.0
5900.0,282.0,418.0,264.0,162.0
6000.0,281.0,417.0,265.0,162.0
6100.0,281.0,417.0,265.0,161.0
6200.0,282.0,417.0,265.0,162.0
6300.0,282.0,417.0,265.0,161.0
6400.0,282.0,417.0,264.0,160.0
6500.0,282.0,417.0,265.0,161.0
6600.0,282.0,417.0,264.0,161.0
6700.0,282.0,417.0,264.0,160.0
6800.0,282.0,417.0,264.0,161.0
6900.0,284.0,417.0,264.0,160.0
7000.0,283.0,417.0,264.0,160.0
7100.0,284.0,416.0,264.0,160.0
7200.0,284.0,416.0,264.0,160.0
7300.0,284.0,417.0,264.0,160.0
7400.0,284.0,416.0,264.0,160.0
7500.0,283.0,416.0,264.0,160.0
7600.0,283.0,417.0,264.0,160.0
7700.0,283.0,417.0,264.0,160.0
7800.0,283.0,416.0,263.0,161.0
7900.0,282.0,417.0,264.0,160.0
8000.0,282.0,416.0,264.0,161.0
8100.0,282.0,417.0,264.0,161.0
8200.0,282.0,417.0,264.0,161.0
8300.0,282.0,417.0,263.0,162.0
8400.0,283.0,417.0,264.0,162.0
8500.0,284.0,416.0,263.0,162.0
8600.0,284.0,418.0,264.0,161.0
8700.0,284.0,417.0,264.0,162.0
8800.0,285.0,417.0,264.0,163.0
8900.0,286.0,417.0,264.0,164.0
9000.0,286.0,417.0,264.0,163.0
9100.0,286.0,417.0,264.0,163.0
9200.0,286.0,417.0,264.0,164.0
9300.0,286.0,417.0,265.0,165.0
9400.0,286.0,417.0,264.0,164.0
9500.0,286.0,417.0,265.0,164.0
9600.0,285.0,417.0,265.0,165.0
9700.0,285.0,417.0,264.0,165.0
9800.0,285.0,417.0,264.0,166.0
9900.0,285.0,418.0,265.0,165.0
10000.0,285.0,417.0,264.0,164.0
10100.0,285.0,417.0,264.0,165.0
10200.0,285.0,417.0,264.0,165.0
10300.0,285.0,417.0,265.0,166.0
10400.0,283.0,417.0,265.0,166.0
10500.0,284.0,417.0,264.0,165.0
10600.0,283.0,417.0,264.0,165.0
10700.0,283.0,417.0,265.0,165.0
10800.0,282.0,417.0,264.0,164.0
10900.0,282.0,416.0,264.0,164.0
11000.0,282.0,416.0,264.0,164.0
11100.0,282.0,416.0,264.0,164.0
11200.0,283.0,416.0,264.0,164.0
11300.0,283.0,417.0,263.0,164.0
11400.0,282.0,416.0,264.0,164.0
11500.0,282.0,416.0,263.0,164.0
11600.0,283.0,416.0,264.0,163.0
11700.0,283.0,416.0,264.0,163.0
11800.0,283.0,416.0,264.0,163.0
11900.0,283.0,416.0,263.0,163.0
12000.0,282.0,416.0,263.0,163.0
12100.0,283.0,416.0,263.0,162.0
12200.0,283.0,416.0,263.0,163.0
12300.0,283.0,416.0,264.0,161.0
12400.0,284.0,416.0,263.0,162.0
12500.0,284.0,415.0,263.0,163.0
12600.0,283.0,415.0,263.0,163.0
12700.0,284.0,415.0,263.0,162.0
