timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,743.0,901.0,834.0,906.0
100.0,742.0,902.0,833.0,913.0
200.0,743.0,901.0,834.0,919.0
300.0,743.0,902.0,833.0,926.0
400.0,744.0,902.0,834.0,932.0
500.0,745.0,904.0,834.0,938.0
600.0,745.0,905.0,834.0,943.0
700.0,748.0,905.0,837.0,948.0
800.0,749.0,907.0,838.0,952.0
900.0,752.0,908.0,838.0,956.0
1000.0,754.0,909.0,840.0,959.0
1100.0,757.0,910.0,841.0,962.0
1200.0,760.0,911.0,842.0,964.0
1300.0,763.0,912.0,845.0,967.0
1400.0,766.0,913.0,846.0,968.0
1500.0,769.0,914.0,847.0,970.0
1600.0,771.0,915.0,848.0,970.0
1700.0,775.0,916.0,850.0,972.0
1800.0,777.0,917.0,852.0,973.0
1900.0,781.0,918.0,853.0,972.0
2000.0,783.0,919.0,854.0,973.0
2100.0,785.0,920.0,856.0,974.0
2200.0,788.0,921.0,857.0,975.0
2300.0,790.0,921.0,858.0,973.0
2400.0,791.0,922.0,859.0,974.0
2500.0,794.0,924.0,861.0,974.0
2600.0,795.0,923.0,861.0,973.0
2700.0,797.0,924.0,862.0,974.0
2800.0,799.0,924.0,863.0,972.0
2900.0,801.0,926.0,863.0,971.0
3000.0,801.0,926.0,864.0,971.0
3100.0,803.0,926.0,865.0,970.0
3200.0,804.0,926.0,866.0,969.0
3300.0,804.0,927.0,866.0,967.0
3400.0,806.0,927.0,867.0,966.0
3500.0,807.0,928.0,867.0,965.0
3600.0,807.0,928.0,868.0,964.0
3700.0,808.0,929.0,868.0,963.0
3800.0,810.0,929.0,869.0,961.0
3900.0,810.0,929.0,870.0,959.0
4000.0,811.0,929.0,870.0,959.0
4100.0,812.0,930.0,871.0,956.0
4200.0,813.0,931.0,871.0,956.0
4300.0,814.0,931.0,871.0,953.0
4400.0,815.0,931.0,872.0,952.0
4500.0,816.0,931.0,872.0,951.0
4600.0,817.0,931.0,872.0,951.0
4700.0,817.0,932.0,873.0,949.0
