timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,308.0,400.0,256.0,311.0
100.0,308.0,400.0,256.0,312.0
200.0,308.0,400.0,256.0,312.0
300.0,307.0,400.0,255.0,311.0
400.0,307.0,399.0,255.0,311.0
500.0,306.0,399.0,255.0,311.0
600.0,307.0,400.0,256.0,311.0
700.0,306.0,399.0,256.0,311.0
800.0,306.0,399.0,255.0,311.0
900.0,307.0,399.0,256.0,312.0
1000.0,307.0,399.0,255.0,312.0
1100.0,307.0,399.0,255.0,311.0
1200.0,307.0,399.0,255.0,311.0
1300.0,307.0,399.0,255.0,312.0
1400.0,306.0,399.0,256.0,312.0
1500.0,307.0,399.0,255.0,312.0
1600.0,307.0,399.0,255.0,312.0
1700.0,306.0,399.0,254.0,313.0
1800.0,306.0,399.0,255.0,312.0
1900.0,306.0,399.0,255.0,313.0
2000.0,306.0,399.0,254.0,312.0
2100.0,306.0,399.0,254.0,312.0
2200.0,306.0,398.0,255.0,312.0
2300.0,306.0,399.0,254.0,312.0
2400.0,307.0,399.0,255.0,312.0
2500.0,307.0,399.0,255.0,311.0
2600.0,306.0,399.0,255.0,311.0
2700.0,305.0,399.0,255.0,310.0
2800.0,306.0,398.0,255.0,311.0
2900.0,306.0,399.0,255.0,311.0
3000.0,307.0,398.0,255.0,310.0
3100.0,306.0,398.0,254.0,310.0
3200.0,306.0,399.0,255.0,311.0
3300.0,306.0,398.0,254.0,311.0
3400.0,306.0,399.0,254.0,312.0
3500.0,306.0,399.0,255.0,311.0
3600.0,306.0,399.0,254.0,312.0
3700.0,306.0,398.0,254.0,313.0
3800.0,307.0,399.0,255.0,312.0
3900.0,306.0,398.0,254.0,313.0
4000.0,307.0,398.0,255.0,314.0
4100.0,307.0,399.0,255.0,314.0
4200.0,306.0,399.0,254.0,314.0
4300.0,307.0,398.0,255.0,315.0
4400.0,306.0,398.0,255.0,316.0
4500.0,307.0,399.0,255.0,317.0
4600.0,307.0,399.0,254.0,317.0
4700.0,306.0,400.0,255.0,318.0
4800.0,306.0,399.0,255.0,318.0
4900.0,307.0,399.0,255.0,319.0
5000.0,306.0,399.0,255.0,319.0
5100.0,307.0,399.0,255.0,319.0
5200.0,307.0,399.0,255.0,319.0
5300.0,307.0,399.0,255.0,319.0
5400.0,307.0,399.0,254.0,319.0
5500.0,308.0,400.0,255.0,319.0
5600.0,306.0,399.0,255.0,319.0
5700.0,307.0,399.0,255.0,318.0
5800.0,307.0,399.0,255.0,318.0
5900.0,306.0,399.0,255.0,318.0
6000.0,307.0,399.0,255.0,318.0
6100.0,307.0,398.0,255.0,317.0
6200.0,306.0,399.0,255.0,317.0
6300.0,307.0,399.0,255.0,317.0
6400.0,307.0,399.0,255.0,316.0
6500.0,306.0,399.0,255.0,315.0
6600.0,307.0,399.0,255.0,316.0
6700.0,307.0,399.0,255.0,315.0
6800.0,307.0,400.0,254.0,316.0
6900.0,307.0,399.0,255.0,316.0
7000.0,308.0,399.0,255.0,315.0
7100.0,308.0,399.0,255.0,315.0
7200.0,308.0,399.0,254.0,315.0
7300.0,308.0,399.0,255.0,315.0
7400.0,308.0,399.0,255.0,315.0
7500.0,307.0,399.0,254.0,314.0
7600.0,309.0,400.0,255.0,315.0
7700.0,309.0,399.0,255.0,314.0
7800.0,309.0,399.0,255.0,314.0
7900.0,309.0,399.0,255.0,313.0
8000.0,309.0,400.0,255.0,313.0
8100.0,310.0,399.0,255.0,312.0
8200.0,309.0,399.0,254.0,312.0
8300.0,310.0,399.0,255.0,312.0
8400.0,310.0,399.0,255.0,313.0
8500.0,310.0,400.0,254.0,312.0
8600.0,310.0,399.0,256.0,313.0
8700.0,310.0,399.0,255.0,312.0
8800.0,310.0,399.0,256.0,312.0
8900.0,311.0,399.0,255.0,312.0
9000.0,310.0,398.0,255.0,313.0
9100.0,310.0,399.0,255.0,312.0
9200.0,310.0,399.0,255.0,312.0
9300.0,310.0,399.0,255.0,313.0
9400.0,311.0,399.0,254.0,313.0
9500.0,311.0,399.0,255.0,314.0
9600.0,311.0,400.0,255.0,313.0
9700.0,311.0,400.0,255.0,314.0
9800.0,309.0,400.0,255.0,314.0
9900.0,310.0,400.0,255.0,315.0
10000.0,310.0,400.0,255.0,316.0
10100.0,311.0,400.0,255.0,315.0
10200.0,311.0,400.0,255.0,316.0
10300.0,311.0,400.0,255.0,316.0
10400.0,310.0,400.0,255.0,316.0
10500.0,309.0,400.0,255.0,317.0
10600.0,310.0,400.0,255.0,317.0
10700.0,309.0,400.0,256.0,316.0
10800.0,309.0,400.0,255.0,317.0
10900.0,309.0,400.0,256.0,316.0
11000.0,308.0,400.0,255.0,315.0
11100.0,307.0,399.0,256.0,316.0
11200.0,307.0,400.0,256.0,315.0
11300.0,308.0,400.0,256.0,313.0
11400.0,308.0,399.0,256.0,313.0
11500.0,307.0,400.0,255.0,312.0
11600.0,308.0,400.0,256.0,310.0
11700.0,307.0,399.0,256.0,310.0
11800.0,307.0,400.0,255.0,310.0
11900.0,308.0,399.0,256.0,308.0
12000.0,308.0,400.0,256.0,308.0
12100.0,307.0,399.0,255.0,305.0
12200.0,307.0,399.0,255.0,306.0
12300.0,307.0,400.0,255.0,305.0
12400.0,307.0,399.0,255.0,305.0
12500.0,308.0,399.0,256.0,303.0
12600.0,307.0,399.0,255.0,302.0
12700.0,306.0,398.0,255.0,303.0
12800.0,307.0,399.0,255.0,303.0
12900.0,307.0,399.0,254.0,302.0
13000.0,306.0,399.0,255.0,303.0
13100.0,307.0,399.0,254.0,303.0
13200.0,307.0,400.0,255.0,304.0
13300.0,307.0,400.0,255.0,305.0
13400.0,307.0,400.0,255.0,305.0
13500.0,307.0,399.0,255.0,306.0
13600.0,307.0,400.0,254.0,307.0
13700.0,307.0,400.0,255.0,308.0
13800.0,307.0,400.0,254.0,309.0
13900.0,308.0,400.0,255.0,311.0
14000.0,307.0,400.0,255.0,313.0
14100.0,307.0,400.0,255.0,314.0
14200.0,307.0,401.0,255.0,316.0
