timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,642.0,766.0,640.0,672.0
100.0,643.0,766.0,641.0,670.0
200.0,643.0,766.0,642.0,667.0
300.0,643.0,766.0,641.0,666.0
400.0,643.0,766.0,642.0,664.0
500.0,643.0,766.0,641.0,662.0
600.0,644.0,767.0,642.0,661.0
700.0,644.0,767.0,643.0,661.0
800.0,644.0,767.0,643.0,660.0
900.0,643.0,767.0,643.0,659.0
1000.0,644.0,767.0,644.0,661.0
1100.0,644.0,768.0,643.0,661.0
1200.0,644.0,768.0,644.0,662.0
1300.0,644.0,768.0,644.0,665.0
1400.0,644.0,768.0,646.0,667.0
1500.0,645.0,769.0,646.0,669.0
1600.0,645.0,769.0,645.0,671.0
1700.0,646.0,769.0,646.0,673.0
1800.0,646.0,769.0,646.0,674.0
1900.0,646.0,770.0,647.0,675.0
2000.0,646.0,770.0,647.0,676.0
2100.0,647.0,769.0,648.0,677.0
2200.0,646.0,770.0,648.0,678.0
2300.0,647.0,770.0,648.0,678.0
2400.0,647.0,770.0,649.0,678.0
2500.0,647.0,771.0,649.0,677.0
2600.0,647.0,771.0,649.0,676.0
2700.0,647.0,771.0,650.0,675.0
2800.0,647.0,771.0,651.0,674.0
2900.0,648.0,771.0,651.0,673.0
3000.0,648.0,771.0,651.0,673.0
3100.0,648.0,772.0,652.0,670.0
3200.0,648.0,772.0,652.0,669.0
3300.0,648.0,771.0,651.0,667.0
3400.0,648.0,771.0,652.0,667.0
3500.0,649.0,772.0,653.0,666.0
3600.0,648.0,771.0,653.0,665.0
3700.0,648.0,772.0,654.0,664.0
3800.0,649.0,772.0,653.0,663.0
3900.0,649.0,772.0,654.0,662.0
4000.0,648.0,772.0,654.0,661.0
4100.0,649.0,771.0,654.0,663.0
4200.0,649.0,772.0,654.0,662.0
4300.0,650.0,772.0,654.0,664.0
4400.0,650.0,772.0,654.0,663.0
4500.0,650.0,772.0,654.0,664.0
4600.0,649.0,773.0,654.0,664.0
4700.0,650.0,772.0,655.0,665.0
4800.0,650.0,773.0,656.0,666.0
4900.0,650.0,773.0,655.0,667.0
5000.0,651.0,773.0,656.0,667.0
5100.0,650.0,773.0,656.0,667.0
5200.0,651.0,773.0,656.0,669.0
5300.0,651.0,774.0,656.0,671.0
5400.0,651.0,774.0,656.0,671.0
5500.0,651.0,774.0,657.0,672.0
5600.0,650.0,774.0,657.0,672.0
5700.0,652.0,774.0,657.0,674.0
5800.0,651.0,774.0,657.0,675.0
5900.0,652.0,775.0,659.0,676.0
6000.0,652.0,775.0,658.0,677.0
6100.0,652.0,775.0,658.0,677.0
6200.0,652.0,775.0,659.0,678.0
6300.0,652.0,775.0,659.0,679.0
6400.0,653.0,776.0,659.0,680.0
6500.0,652.0,776.0,660.0,681.0
6600.0,652.0,776.0,660.0,682.0
6700.0,653.0,776.0,660.0,681.0
6800.0,653.0,776.0,660.0,683.0
6900.0,654.0,776.0,662.0,684.0
7000.0,653.0,777.0,661.0,684.0
7100.0,654.0,777.0,663.0,685.0
7200.0,654.0,777.0,662.0,685.0
7300.0,654.0,777.0,662.0,685.0
7400.0,654.0,777.0,664.0,685.0
7500.0,655.0,778.0,663.0,686.0
7600.0,655.0,779.0,664.0,686.0
7700.0,655.0,778.0,664.0,687.0
7800.0,654.0,778.0,664.0,688.0
7900.0,654.0,779.0,665.0,688.0
8000.0,655.0,779.0,665.0,690.0
8100.0,655.0,780.0,665.0,690.0
8200.0,656.0,779.0,666.0,690.0
8300.0,656.0,779.0,666.0,691.0
8400.0,656.0,780.0,667.0,690.0
8500.0,656.0,781.0,667.0,691.0
8600.0,657.0,780.0,668.0,692.0
8700.0,656.0,780.0,668.0,692.0
8800.0,657.0,781.0,668.0,692.0
8900.0,656.0,781.0,669.0,693.0
9000.0,657.0,781.0,669.0,693.0
9100.0,657.0,782.0,670.0,693.0
9200.0,657.0,782.0,669.0,694.0
9300.0,658.0,781.0,670.0,694.0
9400.0,658.0,782.0,671.0,695.0
9500.0,659.0,782.0,671.0,695.0
9600.0,658.0,782.0,671.0,696.0
9700.0,659.0,783.0,671.0,695.0
9800.0,659.0,783.0,672.0,696.0
9900.0,658.0,783.0,671.0,695.0
10000.0,659.0,784.0,673.0,696.0
10100.0,660.0,784.0,673.0,696.0
10200.0,659.0,784.0,673.0,697.0
10300.0,659.0,784.0,672.0,697.0
10400.0,660.0,784.0,673.0,698.0
10500.0,660.0,785.0,674.0,698.0
10600.0,660.0,784.0,674.0,699.0
10700.0,660.0,785.0,674.0,698.0
10800.0,661.0,784.0,674.0,698.0
10900.0,660.0,785.0,675.0,700.0
11000.0,660.0,785.0,674.0,701.0
11100.0,661.0,785.0,676.0,699.0
11200.0,660.0,786.0,675.0,701.0
11300.0,662.0,785.0,676.0,702.0
11400.0,662.0,786.0,676.0,702.0
11500.0,660.0,786.0,677.0,703.0
11600.0,661.0,785.0,678.0,704.0
11700.0,662.0,786.0,677.0,704.0
11800.0,661.0,787.0,678.0,705.0
11900.0,662.0,786.0,677.0,705.0
12000.0,663.0,787.0,678.0,705.0
12100.0,662.0,787.0,678.0,706.0
12200.0,663.0,788.0,679.0,706.0
12300.0,662.0,788.0,679.0,708.0
12400.0,664.0,787.0,680.0,708.0
12500.0,663.0,788.0,679.0,709.0
12600.0,662.0,788.0,680.0,710.0
12700.0,664.0,789.0,680.0,710.0
12800.0,664.0,789.0,680.0,709.0
12900.0,663.0,789.0,681.0,710.0
13000.0,664.0,789.0,680.0,710.0
13100.0,665.0,790.0,682.0,710.0
13200.0,664.0,789.0,682.0,709.0
13300.0,664.0,790.0,682.0,711.0
